"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Braunschweig",NA,NA,NA,0.00954486261402572,0.00909701351569298,0.00802289990993018,0.00753529675217031,0.00698128792272707,0.00665920599677226,0.006368632198003,0.00608551177124628,0.00604155133533966,0.00607992756281332,0.00616895404232612,0.00625581734121988,0.00629252352869574,0.00638250091130833,0.00635816618634153,0.00615213401998159,0.00576634974813755,0.00534834693718004
"epiforecasts",0.135963049890393,0.130982797000814,0.122497243874832,0.113539961184475,0.104115568029072,0.0940261723569052,0.0828459487415608,0.0731076559743472,0.0638606165618772,0.0545682102973808,0.0452987668688367,0.0379277125178981,0.0296170387594385,0.0243092441996933,0.0212532346312981,0.0194528587278099,0.0179404308201457,0.0167821465011776,0.0161520035386186,0.016057628081036,0.0164895634581359
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0838516840207329,0.0697363984217921,0.057428696163864,0.047249470035118,0.0396610668377673,0.0331913344176133,0.0282936279794491
"globalrt_7d",NA,NA,0.0948094188529279,0.0833872963367436,0.0726375234860641,0.0624471251295004,0.0539609629885238,0.0470374041318077,0.0421939010839955,0.038654399439693,0.0342940895873436,0.0286447061769213,0.0235203133959571,0.0184304364135951,0.014694163540221,0.0130926871691237,0.0124985422975593,0.0112752932275203,0.00986641302826666,0.0085338393076205,0.00681695425178313
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,0.346940139835002,0.0586582133466005,0.02138958654909,0.0105104588100204,0.00659675904231975,0.00469674785018269,0.00350270222196016,0.00315682251535092,0.00265731538645643,0.00231037241341722,0.00284733133711007,0.00207460041687632,0.00184425671630779
"RKI_7day",NA,NA,NA,NA,NA,0.0593373493975904,0.0417469879518072,0.0287951807228916,0.0198192771084337,0.0148192771084337,0.0117469879518072,0.00927710843373494,0.00801204819277108,0.00686746987951807,0.0053012048192771,0.00451807228915662,0.00337349397590361,0.00295180722891566,0.00289156626506024,0.00265060240963855,0.00246987951807229
"rtlive",NA,NA,0.128369047619048,0.125696428571429,0.122267857142857,0.119202380952381,0.115041666666667,0.112065476190476,0.109083333333333,0.105345238095238,0.101434523809524,0.0981666666666667,0.094875,0.0913452380952381,0.0877678571428571,0.0847261904761905,0.0818988095238095,0.0785654761904762,0.0750952380952381,0.0718809523809524,0.0688035714285714
"SDSC",NA,0.107938664699571,0.104545589639894,0.0995208670226407,0.0933257342320647,0.086342560765993,0.0781046315638465,0.0692396020091698,0.0600982416924301,0.0514765972690415,0.0437086656306242,0.0375200719136754,0.0336903486336759,0.0315252403690041,0.0299757697498803,0.0292555000844761,0.0293715224785428,0.0297024080175846,0.0294283160788402,0.0292946821309234,0.0283769271792931
