"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","num_CIs","min_lag","min_pub_date","max_pub_date"
"epiforecasts",0.905172413793103,0.913793103448276,0.896551724137931,0.879310344827586,0.853448275862069,0.870689655172414,0.862068965517241,0.853448275862069,0.853448275862069,0.862068965517241,0.862068965517241,0.862068965517241,0.870689655172414,0.905172413793103,0.931034482758621,0.939655172413793,0.939655172413793,0.96551724137931,0.956896551724138,0.956896551724138,0.956896551724138,116,0,"2020-10-01","2021-03-18"
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223776223776224,0.27027027027027,0.331081081081081,0.391891891891892,0.439189189189189,0.459459459459459,0.472972972972973,198,14,"2020-10-01","2021-05-10"
"globalrt_7d",NA,NA,0.969465648854962,0.969465648854962,0.969465648854962,0.969465648854962,0.961832061068702,0.969465648854962,0.977099236641221,0.961832061068702,0.977099236641221,0.984732824427481,1,1,1,1,1,1,1,1,1,156,2,"2021-02-18","2021-09-28"
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,0,0.0666666666666667,0.478787878787879,0.854545454545454,0.915151515151515,0.957575757575758,0.981818181818182,0.981818181818182,0.981818181818182,0.993939393939394,0.987878787878788,0.993939393939394,1,214,8,"2020-11-19","2021-06-28"
"RKI_7day",NA,NA,NA,NA,NA,0.746987951807229,0.879518072289157,0.94578313253012,0.969879518072289,0.987951807228916,0.993975903614458,0.993975903614458,1,0.993975903614458,1,1,1,1,1,1,1,216,5,"2020-10-01","2021-05-10"
"rtlive",NA,NA,0.988095238095238,0.994047619047619,0.994047619047619,0.982142857142857,0.970238095238095,0.970238095238095,0.964285714285714,0.964285714285714,0.958333333333333,0.958333333333333,0.958333333333333,0.964285714285714,0.952380952380952,0.958333333333333,0.952380952380952,0.952380952380952,0.958333333333333,0.958333333333333,0.964285714285714,218,2,"2020-10-01","2021-05-10"
"SDSC",NA,0.0352941176470588,0.0584795321637427,0.0467836257309941,0.0584795321637427,0.0233918128654971,0.0350877192982456,0.0409356725146199,0.0584795321637427,0.087719298245614,0.140350877192982,0.181286549707602,0.239766081871345,0.286549707602339,0.286549707602339,0.333333333333333,0.333333333333333,0.345029239766082,0.333333333333333,0.304093567251462,0.321637426900585,221,1,"2020-10-01","2021-05-10"
