Country/Region,Date,R,ci_95_u,ci_95_l,ci_50_u,ci_50_l,n_eff_pct,Rhat_diff,signal_to_noise,var_irregular,days_infectious,last_updated
Austria,2020-03-09,2.7626323208453307,3.0879880549626684,2.438017306171262,2.874637481758348,2.6506055998901483,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-10,2.842039190301725,3.137980902674489,2.551158806600452,2.9440816979723565,2.74088895674936,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-11,2.900310279609569,3.180488308493957,2.6250173690058287,2.993787009297112,2.8054231485831007,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-12,2.9544764348066246,3.2310518610023373,2.6839327381399523,3.0469335328886062,2.8587873526959067,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-13,3.086839244924532,3.3851065415429664,2.8047205506624397,3.18544886055914,2.986020340505153,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-14,2.942456398121199,3.213938178220593,2.6770833041012136,3.035230642091566,2.8495179523148564,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-15,2.8193933973354595,3.079389004768893,2.563983333441524,2.906864829860986,2.730134235978148,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-16,2.686168314067816,2.939998217277465,2.436801465624041,2.770756417928218,2.600393369414437,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-17,2.630032592138299,2.885702923279,2.3834889127068672,2.715145623019597,2.5438841273939707,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-18,2.5274982661939145,2.7769535852172744,2.278714309735122,2.6115994472285644,2.4425107806144206,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-19,2.433869004722415,2.683049610083656,2.1902827510137364,2.516343221826425,2.3490050177558115,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-20,2.3472400019356163,2.5952252390030983,2.102833987394104,2.4309432503032475,2.262806945122635,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-21,2.288390855481571,2.5414132273103265,2.041670605015434,2.372167021187489,2.2021667598181924,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-22,2.2554193100537887,2.5104673956374346,2.00566318721119,2.341914369368005,2.167214587275958,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-23,2.1465389452815296,2.402097273566076,1.8964361516702688,2.2325001878289497,2.060335587668805,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-24,1.9823277111757824,2.2323014029075137,1.7332338704127548,2.067247114815851,1.896661345958503,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-25,1.8147994679863289,2.061972516881084,1.5677529549001408,1.9011357376131368,1.7292991173568846,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-26,1.7451597411413573,1.995722051809182,1.4995174176261223,1.8309285117043863,1.6599278039862335,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-27,1.568364105873083,1.815559067820134,1.3183046644585146,1.6547730712277038,1.4830184454829567,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-28,1.4104820092955883,1.6575758550624722,1.1563598086236004,1.4977838931542868,1.3240794657142456,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-29,1.284750429355723,1.5347049226955884,1.0278333590777735,1.372080226402552,1.1973646262017936,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-30,1.1933740777610489,1.446458531786282,0.9351362412462692,1.280032716050978,1.1074716637083957,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-03-31,1.0809991876382474,1.330251375893316,0.8265244244253888,1.1684062388818226,0.9957566423337624,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-04-01,0.9832948748774596,1.2327233641063082,0.7290692545142444,1.0705289683909882,0.8983871776011834,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-04-02,0.8940403562025359,1.1433018862203903,0.6357646608969278,0.9806789839546745,0.8084447116569331,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-04-03,0.8210766002507491,1.0723936561886347,0.5626462338834608,0.9090144801835014,0.7349555203833504,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
Austria,2020-04-04,0.759322397032206,1.010300776183514,0.5037137070096477,0.8478267971291197,0.672108595929769,0.2331355789360754,0.0007358010016558,0.0846044676580571,0.0022969507267383,7,2021-09-06
