Date,R,lb_95,ub_95
2020-03-04,3.9228594095915774,3.486644069950757,4.388605336008889
2020-03-05,3.7580003959544133,3.3762650884811047,4.157085574860779
2020-03-06,3.5538044583557173,3.216266124356596,3.897853494375957
2020-03-07,3.381116879757087,3.0650417744688485,3.7013591782144024
2020-03-08,3.295288939877907,2.9868344628401706,3.605989574376348
2020-03-09,3.324235174806012,3.0266320435368916,3.631771449642062
2020-03-10,3.335696753504103,3.0302857789825097,3.653244563977756
2020-03-11,3.274819689933184,2.9775257732634213,3.587387595149738
2020-03-12,3.18462216991058,2.8856830444852113,3.494281240320437
2020-03-13,3.0726501094501852,2.7796188132970485,3.3715935856679495
2020-03-14,2.9157275578598845,2.6243850342179353,3.2092083324767486
2020-03-15,2.783496060498715,2.4907177810680707,3.0727993222868477
2020-03-16,2.719506996986406,2.43070381619851,3.015530465932405
2020-03-17,2.642990447855299,2.353082144437352,2.9394778798753367
2020-03-18,2.5237018241627527,2.234450366343207,2.8201389203342666
2020-03-19,2.376997850335158,2.0904641064236587,2.6672041790079133
2020-03-20,2.217529659872441,1.9308731076144037,2.5056733815472736
2020-03-21,2.0623283691146295,1.7685001984366067,2.3533961655753988
2020-03-22,1.9344878802609007,1.633578956457512,2.2257335551047346
2020-03-23,1.8600131523621948,1.5668526697589205,2.1468397756484885
2020-03-24,1.7989741770242058,1.5085886066998166,2.0838085565321087
2020-03-25,1.730540623227936,1.4380337004318904,2.0185753321764275
2020-03-26,1.6486600706138856,1.3564268109073665,1.9288011171936628
2020-03-27,1.5592383986581033,1.2671384521853764,1.8441099836810935
2020-03-28,1.4645803580311707,1.1702896848805147,1.749998690445754
2020-03-29,1.3844567409056596,1.0925702444550032,1.6746194310662923
2020-03-30,1.3392741574743907,1.0437020098556316,1.6290432511096697
2020-03-31,1.3092528716449863,1.0197990904765948,1.5939887627328884
2020-04-01,1.2684706589152872,0.9805788015310668,1.5544525668591058
2020-04-02,1.2166317259221473,0.9276641754485535,1.503634556031449
2020-04-03,1.1536966618058475,0.8620891272767035,1.439409943317378
2020-04-04,1.0836294898562773,0.7929401198009269,1.3710593784649965
2020-04-05,1.0248996476316958,0.7286747460219853,1.308896524920402
2020-04-06,0.9944444009974661,0.7024099838887603,1.2779034590383573
2020-04-07,0.9740798561444466,0.689157300620954,1.2615892246936988
2020-04-08,0.9444286553968235,0.6603144090993402,1.2265534426187483
2020-04-09,0.9027620306605,0.6177242924723136,1.182655874870608
2020-04-10,0.8528521860194742,0.5652973704257862,1.133027434880134
2020-04-11,0.8115983901374837,0.5198482493494094,1.096728576640359
2020-04-12,0.7789032151706792,0.4817070968519762,1.0629400564856835
2020-04-13,0.7629754085989928,0.4734271095041832,1.0440881518000307
2020-04-14,0.765171099229493,0.4732026670250895,1.0463580984254142
2020-04-15,0.7727909485922848,0.48576941964150966,1.0547731500098116
2020-04-16,0.7683853520874874,0.48145022281402905,1.0556966363661886
2020-04-17,0.7528617873125361,0.46572290766234226,1.0381137105971905
2020-04-18,0.72867289273557,0.44201360232250075,1.0101720616209355
2020-04-19,0.7095701188971575,0.42858860481647376,0.9914364300500377
2020-04-20,0.7052963201897646,0.4213008986004213,0.9898462760260627
2020-04-21,0.706790099146478,0.41915660122064413,0.9924928624672331
2020-04-22,0.7042173128514909,0.42156890856346463,0.9888797196727295
2020-04-23,0.69142643163283,0.4060602442210748,0.9788582037227744
2020-04-24,0.6730934053624644,0.38658729721369467,0.9572977807992894
2020-04-25,0.6518309744805089,0.3653237185323259,0.9335569547092402
2020-04-26,0.6356945281299771,0.3486198614639623,0.9194489112587818
2020-04-27,0.6392804845857869,0.34966103857704856,0.9238224162983696
2020-04-28,0.6468154477423479,0.36450048787847966,0.9265739781502847
2020-04-29,0.6479407492918123,0.3576832909974097,0.9290137052919457
2020-04-30,0.6446728157052761,0.35726161198260853,0.9321971849409492
2020-05-01,0.632578943048678,0.3410363724609662,0.9212249927512511
2020-05-02,0.6259383224683228,0.3380243018629445,0.9127482698472151
2020-05-03,0.6329932207413169,0.34479685152309725,0.9146226451706845
2020-05-04,0.6583003418929648,0.37262462758763537,0.9419543266553427
2020-05-05,0.6896723806219602,0.4032051461298458,0.9733460798840088
2020-05-06,0.7102369160065028,0.42478369746201494,0.9957846978837128
2020-05-07,0.7170293735731725,0.43157054359819935,1.0055189435054184
2020-05-08,0.7115014341894857,0.4265562433138047,0.9942649785690311
2020-05-09,0.6999659679974197,0.40977988847002456,0.9839923853905055
2020-05-10,0.6963775612600145,0.4122097532731086,0.9815066609566243
2020-05-11,0.7132917906251257,0.4285567800561153,0.9952827346092928
2020-05-12,0.7306967140210057,0.44408740994703644,1.0142909083316782
2020-05-13,0.7392079223452532,0.44899042216510066,1.0222263351805703
2020-05-14,0.736321317568986,0.4501533577350326,1.0207253619248928
2020-05-15,0.7288820031636201,0.44174548589910734,1.014716118606115
2020-05-16,0.7161745281423902,0.42777824510503915,1.0018894093678041
2020-05-17,0.7164881259885381,0.4299336878734481,1.002175647849885
2020-05-18,0.7345752771624281,0.4471426641301952,1.0212101238936566
2020-05-19,0.7534910184311157,0.4679014850701817,1.0417756627425137
2020-05-20,0.7591022668102723,0.47158361896228107,1.046248773171408
2020-05-21,0.7437818772746203,0.4614961246289053,1.03202308891298
2020-05-22,0.7383657184579482,0.4548179591731696,1.0262903922587814
2020-05-23,0.7326697091418273,0.4492518242443264,1.0177426445310138
2020-05-24,0.7382092518260597,0.4543869972829345,1.0242914174911868
2020-05-25,0.7643828572924716,0.47898914793618186,1.0485885143318527
