Date,R,lb_95,ub_95
2020-03-11,3.8498112401316202,3.6191704105914395,4.080452069671801
2020-03-12,3.7127612087920467,3.5348060597536786,3.890716357830415
2020-03-13,3.8040556373855914,3.638478697116325,3.9696325776548576
2020-03-14,3.144285440004661,2.981936331158175,3.306634548851147
2020-03-15,2.3509475707588643,2.1894650472917103,2.5124300942260187
2020-03-16,2.653630199094951,2.4923842765103905,2.8148761216795113
2020-03-17,3.0411222894749668,2.8799418638287433,3.20230271512119
2020-03-18,3.0348008329012957,2.8736387723730523,3.1959628934295385
2020-03-19,2.836717136682636,2.6755602896920183,2.9978739836732538
2020-03-20,2.4972428163558287,2.336087467327004,2.658398165384653
2020-03-21,2.021471694904337,1.860316780326206,2.182626609482469
2020-03-22,1.5002212740033267,1.3390664788212052,1.661376069185448
2020-03-23,1.5420241772318304,1.3808694061639633,1.7031789482996973
2020-03-24,1.7315913765627462,1.5704366083312586,1.8927461447942335
2020-03-25,1.8530726576708254,1.6919178896500016,2.0142274256916486
2020-03-26,1.8242808424404025,1.6631260744367187,1.985435610444086
2020-03-27,1.7332500003172444,1.572095232313561,1.8944047683209282
2020-03-28,1.462645449936417,1.3014906819327334,1.6238002179401005
2020-03-29,1.1123134747217818,0.9511587067180982,1.2734682427254653
2020-03-30,1.078479012574095,0.9173242445704116,1.2396337805777786
2020-03-31,1.2917363564770028,1.1305815884733192,1.4528911244806864
2020-04-01,1.3753558283430152,1.2142010603393316,1.5365105963466985
2020-04-02,1.3991554715496974,1.238000703546014,1.5603102395533812
2020-04-03,1.3433721767899243,1.1822174087862405,1.5045269447936076
2020-04-04,1.102192496778434,0.9410377287747506,1.2633472647821176
2020-04-05,0.8118651484439265,0.650710380440243,0.97301991644761
2020-04-06,0.8058627208120556,0.6447079528083721,0.9670174888157391
2020-04-07,0.9819399258687889,0.8207851578651052,1.1430946938724722
2020-04-08,1.0624012568207446,0.9012464888170613,1.2235560248244284
2020-04-09,1.0533448269290444,0.8921900589253607,1.2144995949327277
2020-04-10,0.8856358267425103,0.7244810587388267,1.0467905947461937
2020-04-11,0.7703594761206963,0.6092047081170128,0.9315142441243799
2020-04-12,0.6096182389730489,0.44846347096936545,0.7707730069767325
2020-04-13,0.5114671358172733,0.3503123678135898,0.6726219038209569
2020-04-14,0.5996958826769514,0.43854111467326795,0.7608506506806351
2020-04-15,0.7810186930241005,0.619863925020417,0.9421734610277841
2020-04-16,0.8844594315555169,0.7233046635518333,1.0456141995592003
2020-04-17,0.8907331166915116,0.7295783486878281,1.0518878846951951
2020-04-18,0.7613216494049574,0.6001668814012739,0.922476417408641
2020-04-19,0.6028681929964892,0.44171342499280575,0.7640229610001728
2020-04-20,0.5962381089964283,0.4350833409927448,0.7573928770001118
2020-04-21,0.6910105774605794,0.5298558094568958,0.8521653454642628
2020-04-22,0.7892373229558147,0.6280825549521313,0.9503920909594983
2020-04-23,0.7925132756665976,0.631358507662914,0.9536680436702811
2020-04-24,0.7692383957191657,0.6080836277154823,0.9303931637228494
2020-04-25,0.6453641490254381,0.4842093810217546,0.8065189170291216
2020-04-26,0.47665923291293427,0.3155044649092507,0.6378140009166178
2020-04-27,0.511550413909795,0.35039564590611155,0.6727051819134785
2020-04-28,0.626486989684778,0.4653322216810945,0.7876417576884616
2020-04-29,0.6855529566689714,0.524398188665288,0.8467077246726549
2020-04-30,0.74357706842063,0.5824223004169464,0.9047318364243135
2020-05-01,0.6364854264021216,0.47533065839843813,0.7976401944058051
2020-05-02,0.5134152306766905,0.3522604626730069,0.674569998680374
2020-05-03,0.39867532068260586,0.23752055267892233,0.5598300886862894
2020-05-04,0.4698335341188651,0.3086787661151816,0.6309883021225486
2020-05-05,0.6714933180761191,0.5103385500724357,0.8326480860798027
2020-05-06,0.8163497337653652,0.6551949657616818,0.9775045017690489
2020-05-07,0.8924782521634707,0.7313234841597871,1.0536330201671542
2020-05-08,0.8459854429178738,0.6848306749141904,1.0071402109215575
2020-05-09,0.712282500949767,0.5511277329460835,0.8734372689534504
2020-05-10,0.5132530517942155,0.35209828379053204,0.6744078197978991
2020-05-11,0.6042043266104722,0.44304955860678863,0.7653590946141556
2020-05-12,0.7427667741246691,0.5816120061209855,0.9039215421283526
2020-05-13,0.8444090599089866,0.6832542919053032,1.0055638279126702
2020-05-14,0.8480720049700882,0.6869172369664046,1.0092267729737716
2020-05-15,0.8184851499489062,0.6573303819452226,0.9796399179525898
2020-05-16,0.6662839497315471,0.5051291817278637,0.8274387177352308
2020-05-17,0.5272063915647821,0.3660516235610986,0.6883611595684657
2020-05-18,0.6223204784105945,0.46116571040691096,0.783475246414278
2020-05-19,0.8081974875611566,0.6470427195574731,0.9693522555648402
2020-05-20,0.9742677736335403,0.8131130056298568,1.135422541637224
2020-05-21,0.7699588673983307,0.6088040993946473,0.9311136354020144
2020-05-22,0.7700817241730926,0.6089269561694091,0.9312364921767761
2020-05-23,0.6417426975944304,0.4805879295907467,0.8028974655981138
2020-05-24,0.49330778388431107,0.33215301588062757,0.6544625518879946
2020-05-25,0.6157930531965767,0.4546382851928932,0.7769478212002602
2020-05-26,0.8733219124728759,0.7121671444691925,1.0344766804765595
2020-05-27,1.0070314102098448,0.8458766422061613,1.1681861782135283
2020-05-28,0.9580753302748355,0.7969205622711519,1.1192300982785188
2020-05-29,0.8600423897108214,0.6988876217071378,1.021197157714505
2020-05-30,0.7655915819918687,0.6044368139881853,0.9267463499955522
2020-05-31,0.5583835697376147,0.3972288017339312,0.7195383377412983
