Date,R,lb_95,ub_95,lb_50,ub_50
2020-03-11,3.3366943022912063,3.143813642929401,3.526436138031026,3.2711818174449947,3.40115432261811
2020-03-12,3.297467027415521,3.1335236913780964,3.4570854703529705,3.2421134783994394,3.3515956670636564
2020-03-13,3.2094535162291207,3.0622147353920868,3.358315433860298,3.1588930074582615,3.2603950440066454
2020-03-14,3.015263765606412,2.8726127157638954,3.155418138999189,2.9661456612810833,3.0631180362130874
2020-03-15,2.866483967572821,2.7245695355227713,3.003723026724452,2.818574127298666,2.9136903649994497
2020-03-16,2.834457810864871,2.6960276867114406,2.974350759047403,2.787161217715666,2.882364621942209
2020-03-17,2.7537900513596063,2.6132088185144764,2.8954831889008226,2.7063639308314187,2.8028513910823456
2020-03-18,2.5639988997625185,2.4233528919069784,2.703056337771925,2.5165438378015823,2.611633315581579
2020-03-19,2.334655329389026,2.197402556702039,2.4714530735107667,2.287097210520488,2.3808546181584367
2020-03-20,2.095956569421994,1.9567157543273719,2.2340964316364937,2.048483887113589,2.1430708799406832
2020-03-21,1.9455253119613718,1.8053036910599463,2.08431944562689,1.897645677653833,1.9933923675435519
2020-03-22,1.8280185384818874,1.6860306346292304,1.9662260604085444,1.7808734823961454,1.8748975631459046
2020-03-23,1.7175800013260176,1.5811838942979044,1.8550208069506802,1.6699616351507112,1.7650862492510522
2020-03-24,1.6357937950723067,1.4996130644599812,1.7720045791749048,1.588457712920289,1.682258810227258
2020-03-25,1.5866555091944399,1.4495358420987334,1.720725629875979,1.5404915842015212,1.6331742379975187
2020-03-26,1.531784493247219,1.3960583369838029,1.6672854809031397,1.4853399045101803,1.5775595170368852
2020-03-27,1.4802073924578771,1.3441475439924329,1.6189040688407093,1.4332252252384166,1.526990410978562
2020-03-28,1.432841559334693,1.297403153399625,1.5682915993766335,1.3858676813738864,1.4798139051385237
2020-03-29,1.3668628719526965,1.2306269809923585,1.501155384339405,1.3201603904277188,1.413186290792055
2020-03-30,1.2767676370440544,1.143561626924992,1.4147361104835503,1.2304384362144942,1.3232149045109445
2020-03-31,1.2191784670935792,1.0828054579658233,1.3533969855228478,1.172676917030539,1.2653471619788361
2020-04-01,1.1740451694366054,1.0379536587433131,1.306624760173484,1.1275645765235325,1.2199534078857581
2020-04-02,1.1502189401473464,1.0145704162050753,1.2874307867974746,1.1026892789348173,1.1981078033774064
2020-04-03,1.1267775703401584,0.9918796263672158,1.26360549072415,1.0799563302427801,1.1740365442752045
2020-04-04,1.0836160535710682,0.9463919678769487,1.2193855660247168,1.037391755177784,1.1296214625268748
2020-04-05,1.0330056815325053,0.8968445182458025,1.167544956216791,0.9873387421997091,1.0795919819884983
2020-04-06,0.9755712912261896,0.84019125818383,1.1115221700329376,0.9289087991654131,1.022638671280906
2020-04-07,0.9143631321032949,0.7778111452195835,1.049812191820123,0.8677737801159426,0.9602619019032428
2020-04-08,0.8523395480977831,0.7172699997044367,0.9885756259546199,0.8050623764069031,0.8991606934017213
2020-04-09,0.8029442094406702,0.6655062998969443,0.9377769399692117,0.7559716161666055,0.849700484161928
2020-04-10,0.767741399927522,0.6321381268901132,0.9027079294505875,0.7206233187278438,0.8138216029624986
2020-04-11,0.7782472283582973,0.6421412677181318,0.9137549187330196,0.731351911674823,0.8238919896387074
2020-04-12,0.7570682498563348,0.6211786714272629,0.8938382996540108,0.7108357978994008,0.803570389648667
2020-04-13,0.6888054647442536,0.5506659498150162,0.8243088780291745,0.6424100723456354,0.7354685261774602
2020-04-14,0.6566965654997994,0.5191647236500447,0.7932845106826502,0.6094624038513339,0.7038434000287171
2020-04-15,0.6862636573348724,0.5500500668426183,0.8218770383813612,0.6394535949937851,0.7335909066155597
2020-04-16,0.731269162589691,0.5947318688496783,0.8670831474695316,0.6854557296889476,0.7783945977589113
2020-04-17,0.7703070332488215,0.6335386323377059,0.906743289949606,0.7235191762588526,0.8165058613733346
2020-04-18,0.7799853358681308,0.6442774265058053,0.91729623787804,0.7333463311648072,0.8273618211503294
2020-04-19,0.7684191268896996,0.6304454715475101,0.9023496169971211,0.720551784078524,0.8153855084556058
2020-04-20,0.7264851269135564,0.5914062141311782,0.8643167481494942,0.6801800562209076,0.7736051986200596
2020-04-21,0.6773757622371326,0.5415518591286584,0.8110081384221282,0.6303301846980792,0.7242987822994347
2020-04-22,0.6468513502720665,0.5118872950936224,0.7810806616132309,0.6011652406091854,0.6931712928533262
2020-04-23,0.6375267406503654,0.5020370835810073,0.773889369764732,0.5917292895961852,0.6841069861533076
2020-04-24,0.6582233164901189,0.5224409018233432,0.7940121028780055,0.6118538130520103,0.705105386688271
2020-04-25,0.6684811984816375,0.5334701257439372,0.8054298983922474,0.6220384048153507,0.714303865882837
2020-04-26,0.6601969925606241,0.5243137689385269,0.7980177004545024,0.6133719163743263,0.7074879232457072
2020-04-27,0.6370710542014135,0.5001551880892248,0.7732992755837172,0.5901549089927765,0.6840840541709796
2020-04-28,0.5968950791024545,0.4598636020891589,0.7347194546569082,0.5503335479591354,0.6435539823257636
2020-04-29,0.5641366308001209,0.42739170480310784,0.6980145736797589,0.5173685345603005,0.611071783218624
2020-04-30,0.5625705893216653,0.42627144049142884,0.6995973853878916,0.5167130068077681,0.6088142821415911
2020-05-01,0.5632467699786586,0.4283160370796929,0.6995801105436965,0.51741904617428,0.6096224209344705
2020-05-02,0.5963111321051542,0.4612292416020408,0.7287947742162647,0.5494960523993362,0.6425254204142532
2020-05-03,0.6369265422389017,0.5010138367431916,0.7696093831022666,0.5910274611091234,0.6823673619835904
