Date,R_filtered,R_smoothed
2020-03-11,2.666121567360834,1.900387915185156
2020-03-12,2.577251524324228,1.887315762307629
2020-03-13,2.61218543394601,1.8639571050529535
2020-03-14,2.3698520329016315,1.826681134696
2020-03-15,2.0855306183602416,1.7916323608057976
2020-03-16,2.109950389503843,1.7688004661503862
2020-03-17,2.1816045304867995,1.7383843311327662
2020-03-18,2.1796068140140767,1.694536245041575
2020-03-19,2.1345820681651015,1.6425871638724767
2020-03-20,2.050286100377243,1.5865945454816281
2020-03-21,1.9223394365450632,1.5312993055986555
2020-03-22,1.7625037941943253,1.4829604853145015
2020-03-23,1.7013283557620542,1.447433983046059
2020-03-24,1.6874420324966672,1.4144711388601423
2020-03-25,1.6780649798454421,1.3784439779929596
2020-03-26,1.6486907455142599,1.3383951674486143
2020-03-27,1.60758472644953,1.2965125465592264
2020-03-28,1.5269125023983414,1.2542079982741896
2020-03-29,1.4152607547036902,1.216905687069604
2020-03-30,1.3557004575846248,1.1896519386644557
2020-03-31,1.3597802738450546,1.1667584455188982
2020-04-01,1.3539392698615211,1.140075459459344
2020-04-02,1.342893124747904,1.1104509022035858
2020-04-03,1.317161989927845,1.0782021824487864
2020-04-04,1.2481448986993127,1.0450090442759687
2020-04-05,1.1526127562765778,1.0167657612439283
2020-04-06,1.1084267481303798,0.9978645047358197
2020-04-07,1.117856988028185,0.9824727609881408
2020-04-08,1.1207619771756845,0.9636174298179951
2020-04-09,1.1089750095698565,0.9417242933025588
2020-04-10,1.058576885462208,0.9184172885410412
2020-04-11,1.0098844404714322,0.8988817272844061
2020-04-12,0.9431951086799624,0.883407756026915
2020-04-13,0.8837009268454448,0.8750723322573271
2020-04-14,0.8761663207258858,0.8738692451738511
2020-04-15,0.910099578605459,0.8735489414122699
2020-04-16,0.9374173824770498,0.8684520587911537
2020-04-17,0.9439608189033397,0.8588346492240297
2020-04-18,0.9118305574265865,0.8469631923079435
2020-04-19,0.859994528159894,0.8379167533500964
2020-04-20,0.8396525522787591,0.8348377173711472
2020-04-21,0.8531281177961751,0.8341662157332496
2020-04-22,0.8778748295942739,0.8315216622240699
2020-04-23,0.8822929535750679,0.825056885061954
2020-04-24,0.8781544683598557,0.817074240783376
2020-04-25,0.8426491307323574,0.8085554134847814
2020-04-26,0.7828261254295785,0.8038003621952564
2020-04-27,0.7720092001851246,0.8067256480645629
2020-04-28,0.7956386858900928,0.8115675771909299
2020-04-29,0.8127914908345669,0.8137891955885548
2020-04-30,0.8340727686935134,0.8139283466580056
2020-05-01,0.8086465648880146,0.8111187771909326
2020-05-02,0.7674628038837743,0.8114635802242022
2020-05-03,0.7175488269311121,0.8176004361014535
2020-05-04,0.7214459372241071,0.8315547944438667
2020-05-05,0.7817938285112283,0.8469118589719961
2020-05-06,0.8382246952256924,0.8559939810249201
2020-05-07,0.879042009284777,0.8584723035416881
2020-05-08,0.8837853225069915,0.8556034059707028
2020-05-09,0.8555085270490689,0.8516728182945115
2020-05-10,0.7947400915263807,0.8511378444029839
2020-05-11,0.8051314072818745,0.8590037506175674
2020-05-12,0.8415533065896179,0.866517432965259
2020-05-13,0.8776082906819699,0.8699992290791829
2020-05-14,0.8896113083256865,0.8689379781977964
2020-05-15,0.8892781015454806,0.8660546279287724
2020-05-16,0.8501323413828645,0.8628156041001889
2020-05-17,0.8006454545546426,0.8645845638537393
2020-05-18,0.8121557124679415,0.8735022779742134
2020-05-19,0.8626378327137605,0.8820584048808109
2020-05-20,0.9199083650998162,0.8847670305176125
2020-05-21,0.8815021909873546,0.8798657990326683
2020-05-22,0.8804441192268015,0.8796375682080462
2020-05-23,0.8429747190555624,0.8795250769411568
2020-05-24,0.7884261355831994,0.8846228276949251
2020-05-25,0.806160168213563,0.8980395707335987
2020-05-26,0.879606964242009,0.9108541728482583
2020-05-27,0.932082705051674,0.915212282876189
2020-05-28,0.9380456143073235,0.9128593317058978
2020-05-29,0.9225843918906094,0.9093465510234782
2020-05-30,0.8981947649610572,0.9075002431577683
2020-05-31,0.8345859235206223,0.9087980966190105
2020-06-01,0.7740561142887831,0.9191486152797376
2020-06-02,0.7917592690737311,0.9393849535560393
2020-06-03,0.8822052693920831,0.9599745999474874
2020-06-04,0.94590309050405,0.9708212423989729
2020-06-05,0.9623751762336528,0.9742966263610797
2020-06-06,0.9298712363611342,0.9759593346049587
2020-06-07,0.8657211963166898,0.9823873328833231
2020-06-08,0.8720857071865149,0.998658989852685
2020-06-09,0.9275154131418677,1.0163124160965007
2020-06-10,0.9985889635306422,1.028697109843173
2020-06-11,0.9661830531140708,1.0328963525985981
2020-06-12,0.9692640448301377,1.0422009885148353
2020-06-13,0.9534404574325139,1.0523736484053359
2020-06-14,0.8991517982635087,1.06617205635617
2020-06-15,0.8976807052047223,1.0894667023142615
2020-06-16,1.0056507956590413,1.1162154749087074
2020-06-17,1.1899066207162046,1.1316361495502352
2020-06-18,1.242612834665338,1.123509051609401
2020-06-19,1.3148374854337315,1.106897411259653
2020-06-20,1.2596478254348251,1.0778955975653102
2020-06-21,1.1482008097395304,1.052546254625331
2020-06-22,1.1092732606314692,1.0392051245066851
2020-06-23,1.105172127418525,1.0294325828844306
2020-06-24,1.0900482590016631,1.018869038706634
2020-06-25,1.0910087141244793,1.0089415319761281
2020-06-26,1.0912179253502756,0.9974954596567847
2020-06-27,1.0313678553451646,0.9844238018735832
2020-06-28,0.9557153310063566,0.9778764218255204
2020-06-29,0.9623653222266054,0.9809672730226915
2020-06-30,0.9788864879442758,0.9835617239166917
