Date,R,lb_95,ub_95
2020-03-04,7.017629951309784,6.173589301749872,7.861670600869697
2020-03-05,5.719574097770657,5.113772385176817,6.325375810364497
2020-03-06,4.735147200019536,4.2261636414221915,5.244130758616879
2020-03-07,3.8691966115346275,3.4106970256040965,4.327696197465158
2020-03-08,3.1704449986507206,2.7409277739928313,3.5999622233086104
2020-03-09,3.2908776408111358,2.8787932378689987,3.702962043753272
2020-03-10,3.5998818329940527,3.1985564665617057,4.001207199426399
2020-03-11,3.653819576834778,3.2592390963594413,4.048400057310116
2020-03-12,3.646244267316394,3.255936174554999,4.036552360077788
2020-03-13,3.697173432619427,3.3095916229448945,4.08475524229396
2020-03-14,3.4424832463471264,3.056650934587694,3.8283155581065587
2020-03-15,3.046446959451717,2.6617424387083797,3.431151480195055
2020-03-16,3.031526496792188,2.6475517973106553,3.415501196273721
2020-03-17,3.11764106743961,2.7341402592449744,3.5011418756342456
2020-03-18,3.1000835551408157,2.716891406524223,3.4832757037574082
2020-03-19,3.004353322618481,2.6213627894834866,3.3873438557534756
2020-03-20,2.8280980661707185,2.445239583837115,3.210956548504322
2020-03-21,2.56153517993916,2.17876340938966,2.9443069504886594
2020-03-22,2.233464002523507,1.8507493132041906,2.616178691842823
2020-03-23,2.1024293549978594,1.719752331945535,2.485106378050183
2020-03-24,2.0690001765624517,1.6863480665769963,2.4516522865479073
2020-03-25,2.052300174651934,1.6696645801873398,2.434935769116529
2020-03-26,2.000979761489582,1.618355140010231,2.3836043829689335
2020-03-27,1.927915935581399,1.5452986205474981,2.3105332506152996
2020-03-28,1.775833100045946,1.3932206604286035,2.1584455396632887
2020-03-29,1.5661023149117952,1.1834931353198748,1.9487114945037156
2020-03-30,1.4604581669426666,1.0778511715395755,1.8430651623457575
2020-03-31,1.4729652459632094,1.0903597166054646,1.8555707753209543
2020-04-01,1.472059751913025,1.0894552079654567,1.8546642958605934
2020-04-02,1.4633017832346158,1.0806979020721903,1.8459056643970415
2020-04-03,1.427629783172969,1.0450263472699137,1.810233219076024
2020-04-04,1.3100272296585727,0.9274240921392053,1.6926303671779401
2020-04-05,1.1465978719845324,0.763994933187088,1.529200810781977
2020-04-06,1.076366628658937,0.6937638207213076,1.4589694365965664
2020-04-07,1.0957350971418407,0.7131323742290675,1.4783378200546138
2020-04-08,1.1070470369883716,0.7244443682695474,1.489649705707196
2020-04-09,1.0947590596736099,0.7121564248175325,1.4773616945296872
2020-04-10,1.0165984161830481,0.6339958020445834,1.399201030321513
2020-04-11,0.9420816918388635,0.5594790899621147,1.3246842937156122
2020-04-12,0.8401220421186198,0.45751944732398214,1.2227246369132576
2020-04-13,0.7524791071708473,0.369876516287564,1.1350816980541305
2020-04-14,0.7408880572984676,0.35828546854346843,1.1234906460534668
2020-04-15,0.7885803952124002,0.40597780750033013,1.1711829829244702
2020-04-16,0.8309954668907509,0.44839287970169206,1.2135980540798097
2020-04-17,0.8449430928092253,0.4623405058887038,1.2275456797297468
2020-04-18,0.8003449111695181,0.41774232438864245,1.1829474979503938
2020-04-19,0.7261848104490181,0.343582223733893,1.1087873971641429
2020-04-20,0.6982787165372827,0.3156761298654217,1.0808813032091438
2020-04-21,0.7174149370071908,0.33481235036194235,1.1000175236524394
2020-04-22,0.7534526524504028,0.3708500658126419,1.1360552390881635
2020-04-23,0.7622750596307408,0.3796724729929799,1.1448776462685017
2020-04-24,0.7588432196395599,0.37624063300179905,1.141445806277321
2020-04-25,0.7091677373475047,0.3265651507097438,1.0917703239852656
2020-04-26,0.6254628192118818,0.24286023257412098,1.0080654058496428
2020-04-27,0.6096407790921491,0.22703819245438822,0.99224336572991
2020-04-28,0.6379173069585655,0.25531472032080466,1.0205198935963264
2020-04-29,0.6606118267067833,0.2780092400690224,1.043214413344544
2020-04-30,0.6902280261517103,0.30762543951394944,1.0728306127894711
2020-05-01,0.6562725271972737,0.2736699405595128,1.0388751138350345
2020-05-02,0.6007519063223927,0.21814931968463183,0.9833544929601535
2020-05-03,0.5349482332033697,0.15235032339447602,0.9175508198411306
2020-05-04,0.5371053959445938,0.1545039328823061,0.9197079825823549
2020-05-05,0.6079310967898083,0.2253285101520474,0.9905336834275691
2020-05-06,0.6816705659290422,0.2990679792912813,1.064273152566803
2020-05-07,0.7412008681308173,0.35859828149305645,1.1238034547685782
2020-05-08,0.7525939970357752,0.36999141039801436,1.135196583673536
2020-05-09,0.7155208885504695,0.33291830191270866,1.0981234751882305
2020-05-10,0.6313310394170099,0.24872845277924893,1.0139336260547707
2020-05-11,0.6452543030571353,0.2626517164193744,1.0278568896948963
2020-05-12,0.6949785245806663,0.3123759379429055,1.0775811112184273
2020-05-13,0.7473833070023683,0.36478072036460746,1.1299858936401292
2020-05-14,0.7687253883374223,0.38612280169966146,1.1513279749751832
2020-05-15,0.7726762954126729,0.39007370877491204,1.1552788820504338
2020-05-16,0.7181335809781897,0.33553099434042877,1.1007361676159506
2020-05-17,0.6491697756182094,0.2665671889804485,1.0317723622559702
2020-05-18,0.664075925734094,0.2814733390963332,1.046678512371855
2020-05-19,0.7334761729512346,0.3508735863134737,1.1160787595889954
2020-05-20,0.8183494400156519,0.43574685337789104,1.2009520266534128
2020-05-21,0.7645676006073963,0.3819650139696354,1.1471701872451572
2020-05-22,0.7655685588057574,0.38296597216799644,1.1481711454435182
2020-05-23,0.7126320661426808,0.33002947950491995,1.0952346527804417
2020-05-24,0.6359260955977089,0.25332350895994793,1.0185286822354698
2020-05-25,0.6581417504242377,0.27553916378647686,1.0407443370619986
