"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","num_CIs","min_lag","min_pub_date","max_pub_date"
"epiforecasts",NA,NA,NA,NA,0.483048435684192,0.431833039050115,0.382304355597593,0.334884837667933,0.29020459361025,0.249141584218203,0.212883001384985,0.183015662526894,0.161630231937844,0.150329831510379,0.14780978254192,0.150978016371487,0.156893565970677,0.163142536019111,0.167841703524278,0.169718820983618,0.168235037262129,16,4,"2021-04-14","2021-05-01"
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115795262643845,0.109240240522777,0.102504106509213,0.0957279846641542,0.0905923629366738,0.089100288081545,143,14,"2020-11-16","2021-05-01"
"globalrt_7d",NA,NA,0.864206645409834,0.804115760669033,0.757844562497801,0.722827706450379,0.697347822281731,0.680108052910834,0.667143663151871,0.658228370930727,0.651326424157113,0.646359510677807,0.642538705576951,0.640238660413278,0.63751338367499,0.636684994041802,0.635518094720476,0.635142968829626,0.634180226743722,0.633563918418043,0.633399137505119,68,2,"2021-02-15","2021-05-01"
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0315357453739076,0.0322323361106492,0.0325478886418284,0.032695646764091,0.0329311869896558,0.0330484053768574,0.0328257476253164,0.0327071118166927,0.0327480146696937,0.0328417144150506,0.0328711971312098,0.0330143987486504,159,8,"2020-11-16","2021-05-01"
"RKI_7day",NA,NA,NA,NA,NA,0.161901840490798,0.128834355828221,0.100981595092025,0.0833128834355828,0.0671779141104294,0.055521472392638,0.0476687116564417,0.0394478527607362,0.0348466257668712,0.0298159509202454,0.0269325153374233,0.0241104294478528,0.0212883435582822,0.0195092024539877,0.0175460122699387,0.0166871165644172,163,5,"2020-11-16","2021-05-01"
"rtlive",0.701435582822086,0.68758282208589,0.672110429447853,0.657546012269939,0.64180981595092,0.628638036809816,0.612650306748466,0.596938650306748,0.579092024539877,0.563944785276074,0.545865030674847,0.528460122699386,0.508312883435583,0.490226993865031,0.470938650306748,0.451503067484663,0.431055214723926,0.411803680981595,0.394300613496933,0.375552147239264,0.358730061349693,163,0,"2020-11-16","2021-05-01"
"SDSC",NA,NA,NA,NA,NA,NA,NA,NA,0.0165275597899883,0.0165385126517169,0.0165515118991889,0.0165652907546046,0.0165787733222281,0.0165912857537256,0.0166028008862677,0.0166135263138209,0.0166237971221072,0.0166339677233418,0.0166444085266963,0.0166555163929551,0.0166677563483872,167,8,"2020-11-16","2021-05-01"
