"","Braunschweig_coef","epiforecasts_coef","ETHZ_sliding_window_coef","globalrt_7d_coef","ilmenau_coef","RKI_7day_coef","rtlive_coef","SDSC_coef","Braunschweig_l","epiforecasts_l","ETHZ_sliding_window_l","globalrt_7d_l","ilmenau_l","RKI_7day_l","rtlive_l","SDSC_l","Braunschweig_u","epiforecasts_u","ETHZ_sliding_window_u","globalrt_7d_u","ilmenau_u","RKI_7day_u","rtlive_u","SDSC_u"
"Monday",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tuesday",-0.00274540322550069,-0.000911329873043835,-0.00392073459318139,0.0106487586336456,0.636062256504508,-0.00380044552481742,-0.000405119177289322,-0.000291811375471047,-0.03369161590846,-0.0186567830871087,-0.0179191006890707,-0.00169625532322572,0.605771604019987,-0.0157867929104699,-0.0116643987380007,-0.0104307457021954,0.0282008094574586,0.016834123341021,0.0100776315027079,0.022993772590517,0.666352908989029,0.00818590186083505,0.0108541603834221,0.00984712295125329
"Wednesday",0.000292308926160493,-0.00461081934631273,-0.0129613138589316,0.0203622818400471,0.818327950177353,-0.0106486228676776,-0.000459716090936466,-0.000302194700507346,-0.0307017990750046,-0.02235408036471,-0.0269630856105776,0.00802261993642835,0.788037915025521,-0.0226345964319428,-0.0117192160331623,-0.0104411285156713,0.0312864169273256,0.0131324416720845,0.00104045789271431,0.0327019437436658,0.848617985329186,0.00133735069658748,0.0107997838512894,0.00983673911465663
"Thursday",0.0011453388662036,-0.00739519425807519,-0.0225105452727765,0.0193206352236139,0.758176309894637,-0.0176842137113622,-0.00067712908704347,4.46274184954981e-05,-0.029815152664724,-0.0251397440724721,-0.0365249254494894,0.00698377762578656,0.727884474651255,-0.0296705535065305,-0.0119366221333097,-0.0100941607033828,0.0321058303971312,0.0103493555563217,-0.00849616509606352,0.0316574928214413,0.788468145138019,-0.00569787391619385,0.0105823639592227,0.0101834155403738
"Friday",-0.00320291221838821,-0.00816980436237753,-0.025556881255791,0.0110339986398068,0.633019605837901,-0.0162245998669379,-0.000588687694149223,0.000502994448785732,-0.0342293390827087,-0.0259143537703145,-0.0395714297460514,-0.00130289843314308,0.602703664322607,-0.0282109495383246,-0.0118480748523079,-0.00963579430416927,0.0278235146459323,0.0095747450455595,-0.0115423327655306,0.0233708957127566,0.663335547353194,-0.00423825019555109,0.0106706994640094,0.0106417832017407
"Saturday",-0.000194431549040802,-0.00799376764202183,-0.0171317021696758,0.00256236462390972,0.35505947985081,-0.00815891563243265,-0.000264364791271898,0.000175012872839232,-0.0311558113216629,-0.0257370467086978,-0.0311335068634893,-0.00977735974296246,0.324744654340722,-0.0201449045175314,-0.0115239358367864,-0.00996392447425137,0.0307669482235813,0.00974951142465419,-0.00312989747586234,0.0149020889907819,0.385374305360898,0.00382707325266614,0.0109952062542426,0.0103139502199298
"Sunday",0.00324592520928145,-0.00139075279219571,-0.00431771608125093,-0.00301379544320647,-0.312172031527821,-0.002017577497017,0.000181835334739943,5.13344094411675e-05,-0.027645810829944,-0.0191362007556633,-0.0183160925689454,-0.0153586816458428,-0.342462660446081,-0.0140039244415122,-0.0110694540754705,-0.0100876011430696,0.0341376612485069,0.0163546951712719,0.00968066040644356,0.0093310907594299,-0.281881402609562,0.00996876944747817,0.0114331247449504,0.010190269961952
