"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","num_datapoints","min_lag","min_pub_date","max_pub_date"
"Braunschweig",NA,NA,NA,NA,0.00458829411764704,0.00244618843734011,0.00150432362200694,0.000990305613091821,0.000628281513565837,0.000424301512871119,0.000330395847879602,0.000303796362531262,0.000257274624569444,0.000224732162653775,0.000176462338961366,0.00015268776116292,0.000141169966402911,0.000142730765242568,0.000121890923028787,0.000121598944304324,0.000111419977372641,36,3,"2020-11-17","2021-03-31"
"epiforecasts",NA,NA,NA,NA,NA,0.0509736933625923,0.0470097485892527,0.0424743528912716,0.0375980083770548,0.0323609636473082,0.0274166650045367,0.0218904014312233,0.0165355035649012,0.0116613577344081,0.00900176605116908,0.00739501506546449,0.00734605275171923,0.0070868970627357,0.00676665328835711,0.00765646303186784,0.00848080062777431,14,4,"2021-04-14","2021-05-01"
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0598959270949582,0.0515330561209057,0.0416687115383603,0.0318221950086823,0.0229192015142666,0.0152103806498683,135,14,"2020-11-16","2021-05-01"
"globalrt_7d",NA,NA,NA,0.0480657629966034,0.0409597652492456,0.034467692066866,0.0289483224807871,0.0244103783928078,0.0204172357021764,0.0167232819318701,0.0147286150981454,0.0128167194190714,0.0109747140131204,0.00960298650944312,0.00830804458403606,0.00681678500937386,0.00541164408523342,0.00506321097131297,0.00451218125277135,0.00391541211110645,0.00341132476490331,59,2,"2021-02-16","2021-05-01"
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.295929074779826,0.0390021937368323,0.0121097077920523,0.00480193258915038,0.0029126261268909,0.0017467239218301,0.00123309490775131,0.00113979781885293,0.00079238885266584,0.000898070881926381,0.0010410567933723,0.000662277787807905,152,8,"2020-11-19","2021-05-01"
"RKI_7day",NA,NA,NA,NA,NA,NA,0.0320625,0.0196875,0.011625,0.007625,0.00525,0.0030625,0.0033125,0.0021875,0.0018125,0.00125,0.001125,0.00130434782608696,0.000993788819875776,0.00111801242236025,0.000931677018633541,161,5,"2020-11-16","2021-05-01"
"rtlive",NA,0.03439375,0.0345,0.0347125,0.0344,0.03419375,0.03476875,0.03441875,0.034925,0.0344625,0.03438125,0.034425,0.03425,0.03395,0.03305,0.03289375,0.03285,0.03176875,0.030675,0.0291,0.02843125,160,0,"2020-11-16","2021-05-01"
"SDSC",NA,NA,0.0341295248503353,0.0351626789655146,0.0354410375585333,0.035196937310182,0.034633320634289,0.0337536967965014,0.0324834517810184,0.0307457442508212,0.028559764187505,0.0260271146054687,0.023439178708214,0.0210074524736925,0.0188835299648002,0.0169858615248316,0.0159924446781801,0.0157539207307506,0.0155969524280046,0.0156018931990765,0.0154611026845837,167,1,"2020-11-16","2021-05-01"
