"","Braunschweig","epiforecasts","ETHZ_sliding_window","globalrt_7d","ilmenau","RKI_7day","rtlive","SDSC"
"Monday",0,0,0,0,0,0,0,0
"Tuesday",-0.00398686934014827,-0.0020743979977189,-0.00992057337520975,0.0117082650195799,0.655888999455549,-0.00695728287320681,-1.67926559226297e-06,0.000221066888839716
"Wednesday",-0.00119512620644996,-0.00665298842731706,-0.0256125739283197,0.0232608560319885,0.83929076780251,-0.0204595047230318,1.94629347115795e-05,0.000293111449675248
"Thursday",-0.0032027755137468,-0.0092196561025828,-0.0404573861636198,0.0217339341123617,0.773312259755765,-0.0332811394560159,-0.000344574355641147,9.12120453636761e-05
"Friday",-0.0100803735741544,-0.00809294733867787,-0.0442313411009891,0.0121160313047948,0.65082981838941,-0.0308209802285324,-0.00021261818265587,-2.27200491483148e-05
"Saturday",-0.010108829796922,-0.00690793633367879,-0.0283311621367066,0.00258996821412437,0.378807089007521,-0.0158729746465023,0.000234039808781139,-0.000317303275830959
"Sunday",-0.00618800225132503,0.000186599947166896,-0.00540417285853174,-0.00333368400762938,-0.292472260047928,-0.00361106036942475,4.43242881471588e-05,-0.000131610631591226
