"","Braunschweig_coef","epiforecasts_coef","ETHZ_sliding_window_coef","globalrt_7d_coef","ilmenau_coef","RKI_7day_coef","rtlive_coef","SDSC_coef","Braunschweig_l","epiforecasts_l","ETHZ_sliding_window_l","globalrt_7d_l","ilmenau_l","RKI_7day_l","rtlive_l","SDSC_l","Braunschweig_u","epiforecasts_u","ETHZ_sliding_window_u","globalrt_7d_u","ilmenau_u","RKI_7day_u","rtlive_u","SDSC_u"
"0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",NA,NA,NA,NA,NA,NA,-0.000540625149407535,NA,NA,NA,NA,NA,NA,NA,-0.0167075321131768,NA,NA,NA,NA,NA,NA,NA,0.0156262818143617,NA
"2",NA,NA,NA,0,NA,NA,0.00287218272972118,NA,NA,NA,NA,NA,NA,NA,-0.0131625026073871,NA,NA,NA,NA,NA,NA,NA,0.0189068680668294,NA
"3",0,NA,NA,0.00241391107733452,NA,NA,0.00208010743423765,NA,NA,NA,NA,-0.0150286898315776,NA,NA,-0.0139577279738987,NA,NA,NA,NA,0.0198565119862466,NA,NA,0.018117942842374,NA
"4",-0.00156765084779579,0,NA,0.00492046856163143,NA,NA,0.00148201863594834,NA,-0.0456903028024619,NA,NA,-0.0125249885932764,NA,NA,-0.0145593855008653,NA,0.0425550011068703,NA,NA,0.0223659257165392,NA,NA,0.017523422772762,NA
"5",-0.00114869398802768,0.00061494040203391,NA,0.00733814748621432,NA,0,0.000962841121647691,NA,-0.0453192919929009,-0.0244701084102169,NA,-0.0101154893884638,NA,NA,-0.0150830555185524,NA,0.0430219040168455,0.0256999892142847,NA,0.0247917843608924,NA,NA,0.0170087377618478,NA
"6",-0.00282743553347636,0.00186805423036653,NA,0.00966877045134583,NA,0.00922492848685767,0.000176205381873672,NA,-0.0468896840258383,-0.0232170763648485,NA,-0.0077984929901465,NA,-0.00772617031812831,-0.0158745947794948,NA,0.0412348129588856,0.0269531848255815,NA,0.0271360338928382,NA,0.0261760272918436,0.0162270055432422,NA
"7",-0.005184935526508,0.00423505982892615,NA,0.0116940767585493,NA,0.0170585670507927,-0.000819461274468324,NA,-0.0492525251286123,-0.020853748648786,NA,-0.00579172642759084,NA,0.000106624874616407,-0.0168755719071847,NA,0.0388826540755963,0.0293238683066383,NA,0.0291798799446895,NA,0.0340105092269691,0.015236649358248,NA
"8",-0.00902154875721506,0.00596563188888702,NA,0.0139554374982516,0,0.0220870454231389,-0.00189442242375164,0,-0.0531049621010084,-0.0191268930223379,NA,-0.00355379749575613,NA,0.0051330300336141,-0.0179571710995259,NA,0.0350618645865783,0.031058156800112,NA,0.0314646724922593,NA,0.0390410608126638,0.0141683262520226,NA
"9",-0.0130607430765657,0.00834740434628355,NA,0.0168908389259811,0.376463977532634,0.025097422254676,-0.0024607844811005,0.000909257287712127,-0.0571068701769698,-0.016748837249319,NA,-0.000623013621560649,0.333491524673138,0.00814089664499193,-0.0185307184669405,-0.0134294421210471,0.0309853840238384,0.0334436459418861,NA,0.0344046914735229,0.419436430392131,0.04205394786436,0.0136091495047395,0.0152479566964714
"10",-0.0177696581228171,0.010642251410911,NA,0.0200443138781741,0.422209405343509,0.0274722487300978,-0.0035987130460192,0.00184034349160029,-0.0616707104391149,-0.0144611094595202,NA,0.00248698541822289,0.379233761913053,0.0105127780840152,-0.0196765731377607,-0.0124992083766414,0.0261313941934808,0.0357456122813422,NA,0.0376016423381254,0.465185048773966,0.0444317193761805,0.0124791470457223,0.016179895359842
"11",-0.023578838260436,0.012733257551643,NA,0.022773214048779,0.434956239904651,0.0285189821989065,-0.00502886699319227,0.00270944009859805,-0.0676664574247426,-0.0123653309001572,NA,0.00518995893795898,0.391974092704427,0.0115553605138053,-0.0211151196151909,-0.0116314136233519,0.0205087809038707,0.0378318460034433,NA,0.040356469159599,0.477938387104876,0.0454826038840078,0.0110573856288064,0.017050293820548
"12",-0.0288396901139549,0.0152572959811525,NA,0.0258229263360653,0.438218778901805,0.0292088626676711,-0.00573031905734628,0.00343495305184707,-0.0729879736209125,-0.00986000584904613,NA,0.00820921272520205,0.395229867897619,0.0122411804310198,-0.0218259484516729,-0.0109078456594899,0.0153085933930027,0.0403745978113512,NA,0.0434366399469285,0.481207689905991,0.0461765449043224,0.0103653103369804,0.017777751763184
