"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206"
"Braunschweig",NA,NA,NA,0.00695251107910722,0.00673079855121448,0.00620249312964239,0.00624457154206761,0.00600671419083674,0.00575298203782095,0.00546967099780041,0.00520931307102733,0.00498385302101499,0.00478500662118045,0.00460185715450612,0.00444218300440103,0.00429940422509784,0.00416655184850655,0.00407182986658186,0.00400044428562937,0.00393244277418468,0.00381246057422314,0.00361690499628403,0.00331430769996385,0.00293562954328019,0.00250592104259383,0.00212306875406099,0.00191023893751052,0.0018257115968611,0.00169368341811754,0.00157564957072491,0.00160148943768374,0.00146775087974364,0.00130874971952876,0.00134789981132821,0.00156369609623028,0.00160154940302716,0.001727788682978,0.00173362366683643,0.00163377243824271,0.00130593530322094,0.00125484557134474,0.00113689714732514,0.00101526378957872,0.00104876272415819,0.00122121630061592,0.00115197596433544,0.00119650174087999,0.0012029428007404,0.000983825168325124,0.000780917233560125,0.000802305646258524,0.000802541451247197,0.000784867414965998,0.000758847165532902,0.000756489493087596,0.000746227751756455,0.000751094333333346,0.000724033171912853,0.000686273177339892,0.000646821604010047,0.000624928877551021,0.000623515064935084,0.000635948941798974,0.000666466657681932,0.000706266538461566,0.000728242549019648,0.000719613714285741,0.000699086851311957,0.000704492142857176,0.0006933341033435,0.000695540516717336,0.000682122950310603,0.000667656825396838,0.00064857068181821,0.000652383986710951,0.000685530680272127,0.000712139825783984,0.000739280071428544,0.000720301678571464,0.00068034164285713,0.000660943260073268,0.00066356567669177,0.000650980451127813,0.000670866525096535,0.000676042393822408,0.000654097976190531,0.000588942857142881,0.000522881551020446,0.00046565205882353,0.000445978319327741,0.000429188311688313,0.00040722952380951,0.000387436190476209,0.000378275848214319,0.000364811797235035,0.000365044239631351,0.000352742619047645,0.000315214236453206,0.000284282463054154,0.000274895812807899,0.000301025763546836,0.000322678226601033,0.000333675663265377,0.000348821071428616,0.000363104132653066,0.00040328397959192,0.000430907040816366,0.000422428571428578,0.000411951734693907,0.000394679795918404,0.000379641632653118,0.000353340102040859,0.0003202633163265,0.00031406892857147,0.000323697193877533,0.000345115079365135,0.000377103862433832,0.000392477037037055,0.000388520549450552,0.000390677692307721,0.000392493131868147,0.000371719505494532,0.000333202857142867,0.000335172742857162,0.000340438399999998,0.000363480800000007,0.000393221942857132,0.000383779047619072,0.000381409464285697,0.000358421428571444,0.000348836708074565,0.000345347639751562,0.000370247080745309,0.000380409935064976,0.000392253831168865,0.00039765993506497,0.000410102380952415,0.000411887500000024,0.000412528571428622,0.000408900451127812,0.000433057593985066,0.0004497321052632,0.000457435563909811,0.00046854373015873,0.000490745714285688,0.000548517563025195,0.000552330588235287,0.000494790504201726,0.000440103949579796,0.000403977946428546,0.000376242666666671,0.000373911714285705,0.00044090000000003,0.000517099120879135,0.000566569166666725,0.000539939285714247,0.000479912987012978,0.000488461142857188,0.000479730317460255,0.000482305178571424,0.000473062678571501,0.000462193214285797,0.000438243469387764,0.000363642244897853,0.000358677142857163,0.000400103999999946,0.000473406428571577,0.000555551785714203,0.000580356428571238,0.000556351785714337,0.000499044999999976,0.000506966666666756,0.000340753333333203,0.000200921904761842,0.000387143333333488,0.000565235238095152,0.000679486190476419,0.000676383809523839,0.000799064285714635,0.000675545714285741,0.000738575714285483,0.000794183571428686,0.000792760000000059,0.000788602857142662,0.000813201428571442,0.000733994999999932,0.000576067142856851,0.000397678571428473,0.000232992857142511,0.000103554285714402,0.000243878571428713,0.000328359999999916,0.00034837142857147,0.000365729999999953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"epiforecasts",NA,NA,NA,NA,0.143138437278122,0.134385407424459,0.125087625815196,0.116401004923927,0.105766033499495,0.0932327850028771,0.0808820423623694,0.0679035357326642,0.0571373855538544,0.0483391152679833,0.0448263523277533,0.0453271606153176,0.0536506780122001,0.0632570156303247,0.0713829930548938,0.0772555087664258,0.0802499836490211,0.0799892816961326,0.0769677899735763,0.0714733328881137,0.0629667205142651,0.051417483627134,0.0371153646004992,0.0301004175080063,0.0286563947968957,0.0288670117152099,0.0311113861756201,0.0343518028169758,0.0354306016397835,0.0395213446937352,0.0371979751226288,0.0323687988783317,0.027879865069562,0.0194620399869829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833822346884473,0.0697229618453412,0.05795463530321,0.0480304563689574,0.0393465963032534,0.0309622003917504,0.0237294248447523,0.0190687505436125,0.0185229219027864,0.0180592426124702,0.0167521179473827,0.0150054708289686,0.0129521549850707,0.0111782982351349,0.00986084192180496,0.00874645747329432,0.00806029920953955,0.0075798895105939,0.00710979188162755,0.00717381035446136,0.00727886510345048,0.00753840505120893,0.00767143395194188,0.00736602060120233,0.00685623616062687,0.00647934430016188,0.00620416579713109,0.00624314566413724,0.00632883239835188,0.00616709103885125,0.0060985372816045,0.00612519115395267,0.00597373919342211,0.00618102731896053,0.00639335126753879,0.00623932308970043,0.00594360176539601,0.00559123869385632,0.00526575285546095,0.00512122218592688,0.00521383721893568,0.00563248894755586,0.00579843108800016,0.00577134222129909,0.00591719163853661,0.00578985333878452,0.00550101812751149,0.00515783899768739,0.00509789431878906,0.00542764832607039,0.00571119669005881,0.00555619381356293,0.0056512730049137,0.00589971827987938,0.00585709123530649,0.00576081735088088,0.00580606202729046,0.00600681772742509,0.0060648542501542,0.00602685167917401,0.00582067160305553,0.00548488842961838,0.00511186178623024,0.00527206150074402,0.00525684992810223,0.00509923515000234,0.00508200193465457,0.0050682055632538,0.00501915187627866,0.00508435846756303,0.00511316207714183,0.00500659241886045,0.00469550234181793,0.00457504067168391,0.0047597300617267,0.00484556894434679,0.00462621096144789,0.00452402871960078,0.00453807934518842,0.00452812947545428,0.00456842780471975,0.00485844175398103,0.00523805413835332,0.00538340713230161,0.00506360140510349,0.00502158091359448,0.00527770455178946,0.00558286213205112,0.00603033209572055,0.00645151336520741,0.00686121559066823,0.00685127928732059,0.00721473174801167,0.00757517566774753,0.00778473182474964,0.00787881000083934,0.00794258568809667,0.00795775104788042,0.00760843894298777,0.0072987992234708,0.00701473348664438,0.00649479944098847,0.00641814481663841,0.00626432304424476,0.00651062841783294,0.00651133459219612,0.00617754760531081,0.00596769981519406,0.00531276535546083,0.00494497662088627,0.00445560225648692,0.00387554742396906,0.00353328095584606,0.00301841057113765,0.00223450514920117,0.00264176117158419,0.0027595502517201,0.00228848394375533,0.00192683161097183,0.00192278614920963,0.00202441288650371,0.00193337935364235,0.00198903352324207,0.00225508655318579,0.00237464897675492,0.00209128130722391,0.00183236996772035,0.00198886942789091,0.00219702657535585,0.00206100396090171,0.00185548758362716,0.00188939741868727,0.00191991452457433,0.00193001076920347,0.0018706004337133,0.00183008925279129,0.0020444294693597,0.00221435720473475,0.00218476279790142,0.00191048573598552,0.00191951294749621,0.00193408947042797,0.00179843294552284,0.00161544093950788,0.00175289054260686,0.00215279540480367,0.00253385029759095,0.00259316771672691,0.00247752055820708,0.00242563925879361,0.00269755739696983,0.00306335283204755,0.00324504096997189,0.00278487749871367,0.00230016318009962,0.0024746167950877,0.00366948677256475,0.00410820688682446,0.00346264778985298,0.00212152923996352,0.00159552328146353,0.00286859693905629,0.00375450735218133,0.00388855165365944,0.00343436926767457,0.00286975782652273,0.00239046972091902,0.00252556475947008,0.00361505289698792,0.00447847550162602,0.00420586170361314,0.00339425302647258,0.00337569767816788,0.00376035855951641,0.00389574342493209,0.003397958409249,0.00273496216651535,0.00266201224636542,0.00340029061583671,0.0047231828054015,0.00512646944817396,0.00456230816322671,0.00347001889793122,0.00194339757965212,0.00118279463193617,0.00366194631695918,0.00531032961469902,0.00479686894946933,0.00246581798382262,0.00179709740341183,0.00111758313874503,0.0025322193458599,0.00427185290226473
"globalrt_7d",NA,NA,0.0744046755973327,0.0629256412017552,0.052026299985612,0.0425313447964664,0.0343070853693707,0.0287894877535515,0.0250059122409404,0.0234446474758437,0.0208135241467717,0.0174975975881923,0.0141165721037901,0.0103055562420252,0.00728797680056771,0.00806855312125612,0.00933450505244074,0.00920244962374443,0.00853704875486744,0.00746778572577426,0.00621310156977789,0.00538553660834265,0.0059265772190069,0.0068552277770042,0.0066764791427447,0.00607233271850606,0.00610357385963299,0.00626529673467674,0.00575660600315054,0.00593356607699943,0.00617497206242526,0.00578418072446741,0.00561985374932788,0.00591256502770837,0.00628711896021195,0.00543164872001344,0.00563125516221051,0.00551977150825457,0.00523147613940025,0.00488487203708144,0.0053455070405745,0.00564292372975731,0.00528826269079532,0.00505602504820738,0.005063927728676,0.00477905482995268,0.0039546598273593,0.00401981370679857,0.00405209231487765,0.0036460979860434,0.0033285545804949,0.0035362137864465,0.00315949517255609,0.00245414402114205,0.00252567608362846,0.00265591826308712,0.00216390749091794,0.00221957743756263,0.0022325171661672,0.00210796417850014,0.00142998892741054,0.00126957046113394,0.00120471787883399,0.00119509667616219,0.00117459451510394,0.00119340808674144,0.00135561159641469,0.00140032018770544,0.00133737405340418,0.00152912265726794,0.0015684259449706,0.00157819146238833,0.00172003427569617,0.00190926413768775,0.0015949520563114,0.00161105446175909,0.0017394936630273,0.00161005244779287,0.00160672440239655,0.00164631987011391,0.00174963183258746,0.00171917384357252,0.00167300405052175,0.00165915332571824,0.00165531286388802,0.0015997101775392,0.00167256549190137,0.0012759565634596,0.00137096971851507,0.00128448113114201,0.00119148122666187,0.00126029172136926,0.00184082394531163,0.00196316661490004,0.00147879916378385,0.000142580352797572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,0.351893922000268,0.059454191285971,0.0215930841409923,0.0105159812850123,0.00662138228604924,0.00479373169772752,0.00357855499753178,0.00316666060629943,0.00269950691087998,0.0024447872315521,0.00278077528140279,0.00231381774844772,0.00212689956144632,0.00199215586307739,0.00199944301445808,0.00191011822151604,0.00187399026146236,0.00188525378128998,0.00177751069701666,0.00192347196409564,0.00157179465125995,0.0019735150983937,0.00176556218248078,0.00156999360687446,0.00163764014157146,0.00166030908354607,0.0016459785461988,0.00152575997835422,0.00159852560520069,0.00145110336211196,0.0015198657933769,0.00148268477728552,0.00148894988114761,0.001726282649467,0.00138243301890008,0.00141026718931354,0.00144368412404534,0.00131542194697361,0.00140727893929295,0.00154812774855314,0.00147564407610838,0.00140620964980071,0.00153756710629177,0.00141289377376694,0.00153454105222216,0.00141733616516341,0.00163527143037154,0.0016199902679541,0.00135179692595983,0.00126773918739625,0.00154800384765394,0.00159551163378309,0.00146723674209758,0.00160963651942309,0.00153085300176814,0.00136140875475693,0.00143216740684458,0.00142330891779265,0.00137951978303891,0.00124080817886158,0.00168138232795393,0.00134394936235508,0.00116664080747853,0.00121702717716747,0.00144466044063875,0.00150099029448312,0.00149610639470002,0.00158687453308685,0.00110256433683123,0.00127194303511993,0.00128402398729734,0.00140299391487688,0.00149592311781461,0.00158360664785075,0.00160956279960426,0.00113300266258022,0.00122953273855649,0.0012514943675171,0.00123043102390854,0.00112610450488552,0.00109163116640062,0.00121870043412102,0.000978709624702553,0.00104348633489959,0.00106257056697186,0.00102325659449258,0.000985037327948334,0.000971482074588338,0.000964109616572153,0.000998834327184049,0.000978205712118485,0.000952639704112789,0.00098231976893577,0.00095071675636365,0.000918610369570783,0.000967789851752675,0.000964117981929755,0.000981605134453811,0.000975545967934177,0.000977832698535665,0.000934266633541576,0.00095421345919912,0.000965019656283622,0.000962587283346384,0.000982982277737017,0.000924103547258932,0.000920571758501694,0.000935008047881718,0.000931938051201179,0.000930027447509601,0.00088723437043371,0.00090413503334604,0.000906222611633379,0.000854625320400078,0.000821293969562474,0.000815561501923345,0.000819711040789482,0.000756620234955984,0.000751279953296569,0.000755047955711964,0.000719341093151235,0.000704819806525309,0.000721107252349672,0.000709377283917489,0.000661793257441281,0.000685572580795398,0.000703221885269051,0.000691513610061656,0.000701212986799942,0.000691164577592012,0.000723206659236767,0.000666172896709093,0.000622782827262309,0.000619496953047459,0.000622817772580175,0.000586804154894109,0.000570611399236286,0.000551701428736707,0.000556311234955621,0.000549238019484254,0.0005254536230336,0.000485259782732321,0.000487826817813587,0.000499087226351214,0.000470607097285588,0.000475126892593979,0.000423135792263626,0.000448656756581318,0.000450602721936298,0.000453931347094724,0.000413918312359673,0.000392361165778933,0.000434885522653805,0.000449658202431356,0.000403492797518133,0.000365925951119187,0.000376593970480061,0.000419271335032571,0.000389562862424443,0.000396766799556195,0.000392226733008676,0.000409772044799846,0.000405010543533969,0.000399542617818171,0.00040320584932575,0.000411657464405595,0.00042725012243047,0.000411839914956478,0.000442876379093843,0.000395178577855038,0.000402860577354589,0.000415770288660341,0.000430626185176007,0.000504692711195964,0.000309738724149566,0.000370123656777521,0.000460972643186712,0.000226109832485055,0.000247759196980057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RKI_7day",NA,NA,NA,NA,NA,0.0542331288343558,0.035398773006135,0.0230061349693251,0.0153374233128834,0.0111656441717791,0.00858895705521472,0.00687116564417178,0.0054601226993865,0.0049079754601227,0.00386503067484663,0.00325153374233129,0.00269938650306748,0.00220858895705521,0.00196319018404908,0.00196319018404908,0.00190184049079754,0.00220858895705521,0.00202453987730061,0.00196319018404908,0.00196319018404908,0.00214723926380368,0.00202453987730061,0.00177914110429448,0.00177914110429448,0.00141104294478528,0.00171779141104294,0.00171779141104294,0.00147239263803681,0.00128834355828221,0.00153374233128834,0.00134969325153374,0.00141104294478528,0.00134969325153374,0.00128834355828221,0.00122699386503067,0.00128834355828221,0.000987654320987654,0.00111801242236025,0.000937499999999999,0.0010062893081761,0.000949367088607594,0.000955414012738853,0.000961538461538461,0.000838709677419354,0.000779220779220778,0.000718954248366012,0.000657894736842104,0.000662251655629138,0.000666666666666666,0.000671140939597315,0.000675675675675675,0.000544217687074829,0.000547945205479451,0.000689655172413792,0.000555555555555554,0.000419580419580418,0.000492957746478872,0.000425531914893616,0.000285714285714284,0.000215827338129495,0.000217391304347825,0.00021897810218978,7.35294117647059e-05,7.40740740740741e-05,7.46268656716419e-05,7.51879699248121e-05,7.57575757575758e-05,7.63358778625955e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rtlive",0.12140490797546,0.116883435582822,0.112907975460123,0.108699386503067,0.104276073619632,0.0998650306748466,0.095079754601227,0.0914355828220859,0.0875092024539877,0.0831349693251534,0.0792208588957055,0.0756319018404908,0.0719386503067485,0.0686257668711656,0.0654907975460123,0.0621963190184049,0.0597423312883436,0.0571411042944785,0.0545398773006135,0.0520368098159509,0.0502085889570552,0.0480061349693252,0.0454907975460123,0.0434601226993865,0.0411472392638037,0.039558282208589,0.0378773006134969,0.0360552147239264,0.0344539877300613,0.0324539877300613,0.0315092024539877,0.0293312883435583,0.0274049079754601,0.0260613496932515,0.0247300613496932,0.0234969325153374,0.0216625766871166,0.0204171779141104,0.0189938650306748,0.0177730061349693,0.0162760736196319,0.0154074074074074,0.0146086956521739,0.01388125,0.0128427672955975,0.0120379746835443,0.0115031847133758,0.0108397435897436,0.0102064516129032,0.00957792207792209,0.0089607843137255,0.00881578947368422,0.00799337748344372,0.00772666666666667,0.00657046979865772,0.00686486486486487,0.00630612244897959,0.00585616438356166,0.00579310344827586,0.00558333333333334,0.0054965034965035,0.0055281690140845,0.00523404255319149,0.00550714285714286,0.00528776978417267,0.00533812949640288,0.00507194244604317,0.00547826086956522,0.0052043795620438,0.00464705882352941,0.00444444444444444,0.00445522388059702,0.00449624060150377,0.00437878787878788,0.00425190839694657,0.00405384615384614,0.00428682170542635,0.0045078125,0.00409448818897638,0.0040873015873016,0.00424,0.00404838709677419,0.00392682926829269,0.0038360655737705,0.00382644628099174,0.00370000000000001,0.00361344537815126,0.00390677966101695,0.00392307692307692,0.00369827586206897,0.00387826086956522,0.00364912280701756,0.00374336283185841,0.00360714285714286,0.00341441441441441,0.00336363636363637,0.00321100917431193,0.00341666666666667,0.00320560747663552,0.00339622641509434,0.00312380952380952,0.00329807692307692,0.00313592233009709,0.00345098039215687,0.00352475247524753,0.00316000000000002,0.00356565656565657,0.00365306122448981,0.0033298969072165,0.00335416666666668,0.00365263157894738,0.00373404255319149,0.00348387096774194,0.00357608695652174,0.00321978021978022,0.00360000000000001,0.00324719101123597,0.0034659090909091,0.00344827586206896,0.00341860465116279,0.00328235294117648,0.00308333333333334,0.00330120481927711,0.0033780487804878,0.00360493827160494,0.00359999999999999,0.00377215189873419,0.00326923076923078,0.00322077922077923,0.00278947368421053,0.00313333333333335,0.00321621621621622,0.00312328767123289,0.00354166666666667,0.00340845070422537,0.00288571428571429,0.0036376811594203,0.00339705882352941,0.0038358208955224,0.00356060606060606,0.00315384615384616,0.00329687500000002,0.00384126984126986,0.00370967741935484,0.00367213114754099,0.00323333333333333,0.00344067796610171,0.00394827586206897,0.00363157894736841,0.0039107142857143,0.00394545454545455,0.0040925925925926,0.00384905660377358,0.00336538461538461,0.00307843137254904,0.00376,0.00422448979591837,0.00437500000000001,0.00414583333333334,0.00480851063829787,0.00510869565217392,0.00488888888888888,0.00463636363636365,0.00386363636363637,0.00427906976744186,0.00440476190476192,0.00402439024390246,0.0041,0.00407692307692309,0.00365789473684211,0.00394594594594595,0.00380555555555555,0.00411428571428574,0.00388235294117648,0.00360606060606061,0.00362500000000002,0.00390322580645161,0.00469999999999999,0.00427586206896552,0.00410714285714286,0.00388888888888886,0.0049230769230769,0.00396,0.00454166666666667,0.00404347826086957,0.00331818181818184,0.00457142857142856,0.00399999999999997,0.00410526315789475,0.00377777777777772,0.00388235294117649,0.00518749999999996,0.00426666666666666,0.0055,0.00399999999999999,0.00416666666666663,0.00454545454545455,0.00319999999999998,0.00366666666666666,0.00325,0.00442857142857145,0.00399999999999993,0.00559999999999996,0.00600000000000001,0.00333333333333326,0.00149999999999995,0.002
"SDSC",NA,0.0847901100407681,0.0823173540090565,0.07819368392388,0.0732143757824746,0.0675856844456876,0.0621189498258177,0.0567561196309105,0.0510388392328099,0.0450815195372896,0.0389837886470671,0.0340287175635363,0.0318977364052107,0.0313961792089527,0.0313988858991171,0.0316446824626264,0.032356164217584,0.0332414979345738,0.0332944021535261,0.0335073255443248,0.0332323028052677,0.0333851758136828,0.0336058339004534,0.0334567995259026,0.0331594253824725,0.0323448824771726,0.0309219818143967,0.0291222809602309,0.0274244956606819,0.0270394810623189,0.0275004478956485,0.0283481906978765,0.0294464962075643,0.0308751674321114,0.0320145211577468,0.0321256441040378,0.0307540410367349,0.0279637741699279,0.0239204663064231,0.0190309720023594,0.0140148692526499,0.00945217554365865,0.00620404952320269,0.00517087424035866,0.00543429599679212,0.00593944330890664,0.0063148096503073,0.0064058684028221,0.00600381297881725,0.00499268046474725,0.00371351486966405,0.00275115428106452,0.00240203862465961,0.0026168320131155,0.0027742867909315,0.00271406376060042,0.00258245700847189,0.00230555413573188,0.00206813488204107,0.00177892660108134,0.0015846528361898,0.0015613760843239,0.00165176636815972,0.00179186598987574,0.00190485196867113,0.00198299724939571,0.00204116404090652,0.00202678955766958,0.00200462840186138,0.00191236334371055,0.0017140817072879,0.00148456894108742,0.00141120175802225,0.00166184201367419,0.00204840846192588,0.00234286377768643,0.00242760241778654,0.00227907091286905,0.00197992245402034,0.00168747762898908,0.0014445468712818,0.00132326936229216,0.00139154022912861,0.00154229795150949,0.00167371735176044,0.00177378071039622,0.00181054631104127,0.00181056347606135,0.00176913081620649,0.00174835243417942,0.00168920766630769,0.00161396841306271,0.00149435774558132,0.00149958993100868,0.00183575807138971,0.00227294930526469,0.00265704061612307,0.0027127831236875,0.00250687376119411,0.00215846709630786,0.0018876924421307,0.00168037982983879,0.001493261370365,0.00148670369994666,0.00160025638693727,0.00168292852701208,0.00171607599303908,0.00174992784047399,0.00175581595875027,0.00169713186603178,0.00165080085243141,0.00157059910445968,0.00149885999423693,0.00138041717755122,0.00148328494901645,0.00185487746364551,0.00231679436142427,0.00275167270928443,0.00289154134964667,0.00268872520818735,0.00224872577129216,0.00185812503558785,0.0015611807422397,0.00140964474355138,0.00139734136386382,0.00149977600984025,0.0015398059049016,0.00150309625780815,0.0015014566429785,0.00152164736738974,0.00144043672727592,0.00140118308921858,0.00131431913944455,0.0012988024018695,0.0013238997420239,0.00153138046911015,0.00198863172500028,0.00246874446650252,0.00285278768592584,0.00290322413890391,0.0027176716169271,0.00229192589198769,0.00193130653465058,0.00161413172339571,0.00144506637866451,0.00138453183417067,0.00141007021951375,0.00138640784181369,0.00129761561097826,0.00134740445404475,0.00137875764883601,0.00136737543183251,0.00134206442556722,0.00120749836991824,0.00118301003493546,0.00127195190109798,0.00150065047785117,0.00199042485026835,0.00249880793420758,0.00297700606494992,0.00313001286747085,0.0030756423468586,0.00268022952152718,0.00223302569262044,0.00182905431949265,0.00155303259260344,0.00142017080666694,0.00149476853880887,0.00161108504456784,0.00155123471477873,0.0015851445086439,0.00153981322938459,0.00152819987402105,0.00164217397312009,0.0015927300820938,0.00155775568501951,0.0015443792488076,0.0016807010986392,0.00229509761885002,0.00300085953856963,0.00381250868612891,0.00419365020606192,0.0042430521444996,0.00365631261092499,0.00291043656955172,0.00217389139318909,0.00158274073671235,0.00148925997872345,0.0017142583118042,0.00211710894563994,0.00225759079674177,0.00244767678991874,0.00235994638235533,0.00240282152750854,0.00257625664304613,0.00248272717579249,0.00226552852251917,0.00231633469083501,0.00251892804477776,0.00348751794222874,0.0047242000038685,0.00683650495171995,0.00764877908234003,0.00810066563915995,0.00711004615504329,0.00591165992522003,0.00314767589724996
