"","Braunschweig_coef","epiforecasts_coef","ETHZ_sliding_window_coef","globalrt_7d_coef","ilmenau_coef","RKI_7day_coef","rtlive_coef","SDSC_coef","Braunschweig_l","epiforecasts_l","ETHZ_sliding_window_l","globalrt_7d_l","ilmenau_l","RKI_7day_l","rtlive_l","SDSC_l","Braunschweig_u","epiforecasts_u","ETHZ_sliding_window_u","globalrt_7d_u","ilmenau_u","RKI_7day_u","rtlive_u","SDSC_u"
"0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",NA,NA,NA,NA,NA,NA,5.37367588580895e-05,NA,NA,NA,NA,NA,NA,NA,-0.0173759996971982,NA,NA,NA,NA,NA,NA,NA,0.0174834732149144,NA
"2",NA,NA,NA,0,NA,NA,0.0166164219902322,NA,NA,NA,NA,NA,NA,NA,-0.000356638221660134,NA,NA,NA,NA,NA,NA,NA,0.0335894822021246,NA
"3",0,NA,NA,0.000582228537786641,NA,NA,0.0158812959749399,NA,NA,NA,NA,-0.017321711455888,NA,NA,-0.00109348125499921,NA,NA,NA,NA,0.0184861685314613,NA,NA,0.0328560732048791,NA
"4",0.00179752655648323,0,NA,0.00140267187176324,NA,NA,0.0153699869567688,NA,-0.0464964892956874,NA,NA,-0.016503227243423,NA,NA,-0.00160667453464053,NA,0.0500915424086539,NA,NA,0.0193085709869495,NA,NA,0.0323466484481781,NA
"5",0.00333449134527521,0.0013747567182234,NA,0.00210378355194716,NA,0,0.0149423641795608,NA,-0.0449941300509438,-0.020769926541832,NA,-0.0158069774742216,NA,NA,-0.00203658399416646,NA,0.0516631127414942,0.0235194399782788,NA,0.0200145445781159,NA,NA,0.0319213123532881,NA
"6",0.00201249475696733,0.00316890843120449,NA,0.00275257271171083,NA,0.010144068023388,0.0141410521319114,NA,-0.0461686055798816,-0.0189758510735691,NA,-0.0151657638845696,NA,-0.00849875280000473,-0.0028403293842165,NA,0.0501935950938163,0.0253136679359781,NA,0.0206709093079913,NA,0.0287868888467807,0.0311224336480394,NA
"7",0.00138926580589801,0.00599220305658017,NA,0.00300199499937444,NA,0.0189008479114324,0.0132368226849024,NA,-0.0467963341382839,-0.0161540870047517,NA,-0.014926166437873,NA,0.000257617191779812,-0.00374712956508622,NA,0.0495748657500799,0.0281384931179121,NA,0.0209301564366219,NA,0.0375440786310851,0.0302207749348911,NA
"8",-0.00067943716464268,0.00828018777107574,NA,0.00347779825011352,0,0.0247881283267607,0.0124156355168301,0,-0.0488808282125036,-0.0138676434867169,NA,-0.0144622541331705,NA,0.00614390735691346,-0.00457145404005458,NA,0.0475219538832183,0.0304280190288683,NA,0.0214178506333975,NA,0.043432349296608,0.0294027250737147,NA
"9",-0.00412303394940443,0.0111382978403056,NA,0.00462998561951126,0.376413526957064,0.0284637159895516,0.0119843738528062,0.0025634088392863,-0.0522878603891967,-0.0110110665944728,NA,-0.0133115733950064,0.333364635862042,0.00981830782740168,-0.00500604004995215,-0.015095629418883,0.0440417924903878,0.033287662275084,NA,0.0225715446340289,0.419462418052086,0.0471091241517015,0.0289747877555645,0.0202224470974556
