"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Braunschweig",NA,NA,NA,NA,0.00163694029824656,0.00102552661639682,0.000664394206430918,0.00046894091814372,0.000353883832612364,0.000279512704276683,0.000230699963129424,0.000203545178165893,0.00018409105747427,0.000168347612571942,0.000148269940578741,0.000125151975525242,0.000108540287739964,0.000102553803994981,0.000101376829305524,9.75183092835286e-05,9.59293066050415e-05
"epiforecasts",NA,0.0272,0.0276,0.0272,0.0272,0.0232,0.022,0.0208,0.0192,0.0164,0.0152,0.0136,0.0136,0.0136,0.0104,0.00960000000000001,0.00840000000000001,0.00680000000000001,0.0048,0.0024,0.0028
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0496972578436121,0.0425131833326103,0.0340136518468131,0.02570490514349,0.0182523956559226,0.0122692205625186
"globalrt_7d",NA,NA,NA,0.0479329265507876,0.0405174816641654,0.0340271847742037,0.0283988816615435,0.0236703868737917,0.0195352924574199,0.0154633949819355,0.0137730182955759,0.0120275718290599,0.0102623694696602,0.0088079803014101,0.00739648217423677,0.00604072968149532,0.0046493613948822,0.00441249468089309,0.00408632263777776,0.00365825075149426,0.00312514953981539
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255357521558389,0.0336400262446837,0.0104040930975869,0.0041124119783877,0.0025647992487993,0.00154289484904951,0.00110039536471127,0.00096942597572769,0.000690201639474968,0.00078338084185146,0.0008533371814678,0.000578569361633982
"RKI_7day",NA,NA,NA,NA,NA,NA,0.0340692640692641,0.0220779220779221,0.0138528138528139,0.00922077922077922,0.00623376623376623,0.00411255411255411,0.00376623376623377,0.0029004329004329,0.00199134199134199,0.00164502164502164,0.00134199134199134,0.00116883116883117,0.00121212121212121,0.00103896103896104,0.000952380952380952
"rtlive",NA,0.0338285714285714,0.0338628571428571,0.0355656108597285,0.0355294117647059,0.0353212669683258,0.0355746606334842,0.0356108597285068,0.0357194570135747,0.0353257918552036,0.0353031674208145,0.0353257918552036,0.0352443438914027,0.0352986425339366,0.0340859728506787,0.0341719457013575,0.0337647058823529,0.0327647058823529,0.0314524886877828,0.0299683257918552,0.0289864253393665
"SDSC",NA,NA,0.032047642625571,0.0319911540229653,0.0319789861802511,0.0317353218790826,0.0313015809096031,0.0306717717282521,0.0296761833499651,0.0281778859472657,0.026216836549061,0.023905817922137,0.0215308979352431,0.0193319738415757,0.0173466806598825,0.0156351477720763,0.0148894843451092,0.0147746475784129,0.0147284980144953,0.0148181882705064,0.0149168050941789
