"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","num_CIs","min_lag","min_pub_date","max_pub_date"
"epiforecasts",1,1,1,1,1,1,1,1,1,1,0.96969696969697,0.939393939393939,0.96969696969697,1,0.96969696969697,0.939393939393939,0.939393939393939,0.939393939393939,0.96969696969697,1,1,33,0,"2020-10-13","2020-12-14"
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347150259067358,0.388888888888889,0.44949494949495,0.51010101010101,0.565656565656566,0.565656565656566,0.595959595959596,198,14,"2020-10-01","2021-05-10"
"globalrt_7d",NA,NA,0.974193548387097,0.974358974358974,0.974358974358974,0.974358974358974,0.967948717948718,0.974358974358974,0.980769230769231,0.967948717948718,0.980769230769231,0.993589743589744,0.993589743589744,0.993589743589744,0.987179487179487,0.993589743589744,0.987179487179487,0.987179487179487,0.980769230769231,0.974358974358974,0.980769230769231,156,2,"2021-02-18","2021-09-28"
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,0,0.149532710280374,0.598130841121495,0.878504672897196,0.939252336448598,0.976635514018692,0.990654205607477,0.995327102803738,0.995327102803738,1,0.995327102803738,0.995327102803738,1,214,8,"2020-11-19","2021-06-28"
"RKI_7day",NA,NA,NA,NA,NA,0.740740740740741,0.884259259259259,0.949074074074074,0.962962962962963,0.986111111111111,0.99537037037037,0.99537037037037,1,0.99537037037037,1,1,1,1,1,1,1,216,5,"2020-10-01","2021-05-10"
"rtlive",1,1,1,0.995412844036697,0.995412844036697,0.995412844036697,1,0.990825688073395,0.986238532110092,0.981651376146789,0.981651376146789,0.972477064220184,0.972477064220184,0.972477064220184,0.967889908256881,0.967889908256881,0.963302752293578,0.963302752293578,0.967889908256881,0.967889908256881,0.967889908256881,218,0,"2020-10-01","2021-05-10"
"SDSC",NA,0.05,0.0678733031674208,0.0407239819004525,0.0723981900452489,0.0542986425339367,0.0588235294117647,0.0678733031674208,0.085972850678733,0.0950226244343891,0.131221719457014,0.171945701357466,0.208144796380091,0.208144796380091,0.257918552036199,0.271493212669683,0.276018099547511,0.276018099547511,0.289592760180996,0.244343891402715,0.271493212669683,221,1,"2020-10-01","2021-05-10"
