"","Braunschweig","epiforecasts","ETHZ_sliding_window","globalrt_7d","ilmenau","RKI_7day","rtlive","SDSC"
"Monday",0,0,0,0,0,0,0,0
"Tuesday",-0.00385387210410809,-0.002084555561891,-0.00991671269961903,0.0116885103933601,0.656053585846594,-0.00695620537099076,-4.3935995322027e-06,0.000221211212698065
"Wednesday",-0.00149207654117785,-0.00665034319597459,-0.0256090061824199,0.0232570012911284,0.839496422664513,-0.0204574447911464,1.72996152933381e-05,0.000293435755709089
"Thursday",-0.00327955442445178,-0.00922329653905783,-0.040454031023577,0.0217222949532086,0.772785279031472,-0.0332842448928447,-0.000345062972527503,9.13462183595343e-05
"Friday",-0.0104613498190977,-0.00809327485462424,-0.0444417846864313,0.012117918491539,0.651475691674851,-0.0308185869949498,-0.00021151596584414,-2.29282053224391e-05
"Saturday",-0.00983120766381007,-0.00690847570798075,-0.0283339389167097,0.00260798920688027,0.378936908035063,-0.0158758570023019,0.000238020052602827,-0.000317110296408912
"Sunday",-0.00585222494181157,0.000194888364916863,-0.00541310515181441,-0.0033344715412139,-0.292346240995409,-0.00361032445041466,5.02676540366541e-05,-0.000131159498832112
