Country/Region,Date,Province/State,total_cases,new_cases,infected_4,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_4,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Germany,2020-03-04,0.0,313,157.0,274.0,281.8,287.0,290.7142857142857,293.5,295.66666666666663,,0.7564102564102564,0.8064102564102564,0.8397435897435896,0.8635531135531136,0.8814102564102564,0.895299145299145,
Germany,2020-03-05,0.0,499,186.0,391.5,411.44000000000005,425.1666666666667,435.18367346938777,442.8125,448.8148148148148,453.65999999999997,0.4288321167883211,0.46004258339247706,0.4814169570267133,0.496946296946297,0.5087308347529813,0.5179756983590129,0.5254203093476799
Germany,2020-03-06,0.0,685,186.0,479.625,515.152,540.3055555555557,559.0145772594752,573.4609375,584.9465020576131,594.294,0.22509578544061304,0.25207077581178305,0.27080883313733195,0.28454859715411196,0.2950423429781228,0.303313711466872,0.3099986774236212
Germany,2020-03-07,0.0,827,142.0,501.71875,554.1216000000001,592.2546296296298,621.155351936693,643.7783203125,661.9524462734338,676.8646,0.04606463382851178,0.07564679939124774,0.0961475845286448,0.11116127772885287,0.12261930711278834,0.13164613164613148,0.13893897633158003
Germany,2020-03-08,0.0,929,102.0,478.2890625,545.29728,595.5455246913582,634.4188730885941,665.3060302734375,690.4021744652745,711.17814,-0.04669884771099342,-0.015924880026333632,0.005556554389091639,0.0213529853852934,0.03343963175163722,0.042978507522712484,0.05069483616073289
Germany,2020-03-09,0.0,1262,333.0,691.716796875,769.237824,829.2879372427985,876.7876055045092,915.1427764892578,946.6908217469106,973.060326,0.4462316852060568,0.41067607012453844,0.3924845420886631,0.38203266437514904,0.3755215417379256,0.3712164543516032,0.3682371142622578
Germany,2020-03-10,0.0,1845,583.0,1101.78759765625,1198.3902592,1274.0732810356653,1334.5322332895794,1383.7499294281006,1424.5029526639205,1458.7542934,0.5928304800950985,0.5578930492112668,0.5363460914090721,0.5220701398050456,0.5120590633262168,0.5047182458527613,0.49914065389610807
Germany,2020-03-11,0.0,2579,734.0,1560.3406982421875,1692.7122073599999,1795.727734196388,1877.8847713910682,1944.781188249588,2000.2248468123737,2046.87886406,0.41619010920197597,0.41248828949092986,0.4094383430886186,0.4071483060114196,0.40544266481253577,0.40415633612539237,0.4031690417782594
Germany,2020-03-12,0.0,3550,971.0,2141.2555236816406,2325.1697658880003,2467.4397784969897,2580.615518335201,2672.6835397183895,2748.977641610999,2813.190977654,0.3722999894150596,0.37363561022248337,0.3740611850611093,0.3742139867418892,0.3742849611394865,0.37433431346074064,0.3743807838603668
Germany,2020-03-13,0.0,4984,1434.0,3039.9416427612305,3294.1358127104004,3490.1998154141584,3645.95615857303,3772.598097253591,3877.535681431999,3965.8718798886002,0.41970054911260823,0.4167291614736546,0.4145025324752487,0.4128242400576967,0.4115393914728471,0.41053736586945266,0.40974143291041454
Germany,2020-03-14,0.0,6272,1288.0,3567.956232070923,3923.3086501683206,4196.499846178465,4413.105278776883,4589.023335096892,4734.69838349511,4857.28469189974,0.17369234391949973,0.1909978438139257,0.20236664607137822,0.21041095582018832,0.21640927997012183,0.22105862395225073,0.22477095554488247
Germany,2020-03-15,0.0,7233,961.0,3636.967174053192,4099.646920134657,4458.083205148721,4743.661667523043,4976.3954182097805,5169.620785328986,5332.556222709766,0.019341868984254162,0.04494631590068021,0.06233369916800213,0.07490335441029305,0.08441275078081723,0.09185852331164135,0.09784716378733438
