"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Braunschweig",NA,NA,NA,NA,0.00163694029824656,0.00102552661639682,0.000664394206430918,0.00046894091814372,0.000353883832612364,0.000279512704276683,0.000230699963129424,0.000203545178165893,0.00018409105747427,0.000168347612571942,0.000148269940578741,0.000125151975525242,0.000108540287739964,0.000102553803994981,0.000101376829305524,9.75183092835286e-05,9.59293066050415e-05
"epiforecasts",NA,0.0551886175237973,0.0531994776585209,0.0507812560911301,0.0481807314666694,0.0446012829538198,0.0412713279891245,0.0377333688770694,0.0337888233412395,0.0294385588103088,0.0254535929171546,0.021391203480406,0.0176571884264594,0.0140041330887408,0.0105652100300811,0.00778161774619404,0.00595735162293571,0.00493042913967022,0.00460879352604371,0.00464600075839396,0.00503767640434385
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0520940630714884,0.0441306884455038,0.035194815721395,0.0262044689022204,0.0181926009638727,0.011714230733113
"globalrt_7d",NA,NA,NA,0.0479329265507876,0.0405174816641654,0.0340271847742037,0.0283988816615435,0.0236703868737917,0.0195352924574199,0.0154633949819355,0.0137730182955759,0.0120275718290599,0.0102623694696602,0.0088079803014101,0.00739648217423677,0.00604072968149532,0.0046493613948822,0.00441249468089309,0.00408632263777776,0.00365825075149426,0.00312514953981539
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25204075785315,0.0365663046722178,0.0126632799250767,0.00521989319243419,0.0030034830663353,0.00157257391014053,0.00117876883479001,0.0010308772052555,0.000814129098626596,0.000788802392649455,0.000803418135033503,0.000600621841598936
"RKI_7day",NA,NA,NA,NA,NA,NA,0.0322413793103448,0.0205714285714286,0.0122857142857143,0.00771428571428571,0.00511428571428571,0.00368571428571428,0.00317142857142857,0.0022,0.00174285714285714,0.00157142857142857,0.00145714285714286,0.00122857142857143,0.0012,0.000914285714285715,0.00111428571428571
"rtlive",NA,NA,NA,0.0349070796460177,0.0350088495575221,0.0346946902654867,0.0349557522123894,0.0350044247787611,0.0350752212389381,0.0347654867256637,0.0346371681415929,0.0347345132743363,0.0347256637168142,0.0347699115044248,0.0334601769911504,0.0335530973451327,0.0333451327433628,0.0322654867256637,0.0309823008849558,0.0294424778761062,0.0285796460176991
"SDSC",NA,NA,0.0349767222208703,0.0341782065030315,0.0337360522235228,0.0333252464388768,0.0327389054963502,0.0318934699564993,0.0306363469012144,0.0288936213085309,0.0267358591416581,0.0242598194785879,0.0216976502801359,0.0193167720014406,0.0172216857952377,0.0155056830160363,0.0146399044684425,0.0143162306678069,0.0141108422963008,0.0141033118632849,0.0141752865001325
