"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","num_est"
"Braunschweig",NA,NA,NA,0.000822398292881366,-0.000186535867613175,-0.000651788630256291,-0.000852952152668052,-0.000962352168185345,-0.00102927471860306,-0.0010556662055446,-0.00109613007936075,-0.00117196034992776,-0.00129775076833053,-0.00149155471850666,-0.00171452167212672,-0.00191443366482836,-0.00204167726749967,-0.00206171100829832,-0.00197031528986676,-0.00176850660436711,-0.00147694564324129,-0.00112645197273823,-0.000738892536328193,-0.000378445011875944,-7.98970384767351e-05,0.000100048056588437,0.00014356246681696,7.86180591922339e-05,-9.3461133215537e-05,-0.000377892963848643,-0.000717278617501865,-0.00107029454375422,-0.00137235683870765,-0.00159627713466738,-0.00176710713191527,-0.00193322921979729,-0.00210300095262191,-0.00231531762331638,-0.00255622474826734,-0.00280350037895628,90
"epiforecasts",0.0237256233959134,0.0239925118367953,0.0240726069665649,0.0237263001312565,0.0232848229442788,0.0232224969267978,0.0228494315072908,0.0215628213551756,0.0204393350357139,0.0187864198367762,0.0168936688163772,0.0149862926362263,0.0127949684500432,0.0102615289701091,0.00817436332205512,0.00623257983583615,0.00369334595125885,0.0014747359362051,-0.000221199575517642,-0.00165448103583045,-0.00278558440655897,-0.00417987745253748,-0.00498278171478001,-0.00546657452661703,-0.00600530446739372,-0.00706498454540737,-0.00786278905355355,-0.00914857903814072,-0.0107558532919602,-0.0128739199388175,-0.0158618266501386,-0.019397627877084,-0.0233021556272962,-0.0278646252945426,-0.0325732385949814,-0.0380270939640775,-0.0433112371012006,-0.0489245234771679,-0.0545271086867714,-0.059741102694175,202
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0145973612853303,0.00531228105307027,-0.00258632633240122,-0.00819987865770802,-0.0109517182875976,-0.0109596940769474,-0.00929496186531412,-0.00669827632934633,-0.00383161665351237,-0.00117244901561239,0.000674718512562674,0.0018848595002514,0.00293055029281354,0.00379923534349854,0.00424195725585879,0.00476100508171162,0.00522381674228772,0.00543027388278862,0.00529233787741407,0.00507551525266134,0.00499360963623048,0.00490377404645965,0.00486483679280197,0.00477866769078453,0.00457060093583111,0.00447998156082084,266
"globalrt_7d",NA,NA,0.0130818829662544,0.0114351601571553,0.00974584974574522,0.00829103143809953,0.00698599797295142,0.00584238287875182,0.00504220610570061,0.00426981781131864,0.00361175018349062,0.00285326109959855,0.00209674628694841,0.0014646537282357,0.000965761894277363,0.000714235467481669,0.000582124797602526,0.000426933779184096,9.78900291235975e-05,-0.000387852570227894,-0.000798204640895113,-0.0010206750004243,-0.000823230312921995,-0.000775248049058994,-0.000816016432243027,-0.000913896375919271,-0.00126751258626563,-0.00142223985904458,-0.00155955019031986,-0.00130720453877608,-0.00132447196452538,-0.00131288474438171,-0.00135657855012926,-0.00170285158979054,-0.00181142246294731,-0.00186278103539535,-0.00158560549654324,-0.00133586894804519,-0.00109136759458486,-0.00108104286890365,120
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,0.309210405785783,0.0511737390529677,0.0189389790685936,0.00861096966584055,0.00494453017311446,0.0029789227124457,0.00233024373497908,0.00196833464234731,0.00117597721432014,0.0010933755928432,0.00114734943488378,0.000762157223194669,0.000661016368896192,0.000556674465352933,0.000331044249356047,0.000296374800550544,0.000319549551032909,0.000273438554106618,0.000105665194550308,-0.000104311594235446,8.27606002611671e-05,0.000144749276323139,9.59719648140976e-05,0.000139627946710815,-5.92476797435065e-05,-0.000189547838191072,-9.90687992005881e-05,1.9685396626736e-05,0.000201164323965618,4.12846158549797e-05,3.14360687212333e-05,-7.85071886438664e-05,238
"RKI_7day",NA,NA,NA,NA,NA,0.0232280701754386,0.0161754385964912,0.0105964912280702,0.00691228070175438,0.00505263157894737,0.00378947368421052,0.00305263157894737,0.00235087719298245,0.00168421052631579,0.0011578947368421,0.000421052631578946,-0.000280701754385968,-0.000315789473684214,-0.000456140350877194,-0.000877192982456142,-0.00105263157894737,-0.000982456140350877,-0.000947368421052631,-0.000912280701754386,-0.000701754385964913,-0.000982456140350878,-0.000842105263157896,-0.000912280701754387,-0.000982456140350878,-0.000912280701754386,-0.00087719298245614,-0.000771929824561403,-0.000631578947368422,-0.000315789473684211,-0.000421052631578948,-0.000280701754385965,-0.000385964912280703,-0.000456140350877194,-0.000315789473684212,-0.00024561403508772,285
"rtlive",NA,NA,0.0236894409937888,0.0245776397515528,0.0253975155279503,0.0262795031055901,0.0269627329192547,0.0281987577639752,0.0290496894409938,0.0290186335403727,0.0297639751552795,0.0306459627329193,0.0314347826086957,0.0322422360248447,0.032416149068323,0.0324844720496894,0.0326770186335404,0.0328012422360248,0.0324472049689441,0.0327639751552795,0.0324596273291926,0.0317142857142857,0.0307267080745342,0.0302608695652174,0.0297204968944099,0.0286645962732919,0.0273540372670807,0.0265031055900621,0.0253788819875776,0.0246024844720497,0.0235900621118013,0.022167701863354,0.021248447204969,0.0197204968944099,0.0188695652173913,0.0175714285714286,0.0159937888198758,0.0149627329192547,0.013888198757764,0.0127080745341615,161
"SDSC",NA,0.050795879305147,0.0502382758411122,0.0483170234606478,0.0456054097283234,0.0422755102162142,0.0383609539020807,0.0338842654833852,0.0289746593660793,0.0238997443463495,0.0190682930295479,0.0148045185723026,0.0113045452987609,0.00860214737163612,0.00657192103764408,0.00506464987695914,0.00394231640785249,0.00312412714899406,0.00256688659753379,0.00225458430247473,0.00216695400846589,0.0022309653836379,0.00233227852740308,0.00232900165486436,0.00213946194813301,0.00171080303677606,0.00103638290163233,0.000158073058078496,-0.000892431175860863,-0.00202854947608852,-0.00311359161305065,-0.00405542162223103,-0.00477366320818181,-0.00522426680856566,-0.00540415194963806,-0.00527011279219395,-0.00481390033434576,-0.00407271082908032,-0.00311665545354033,-0.00203156129911711,293
"ETH_old",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0169357133073881,-0.0190149857244758,-0.0203996600863693,-0.0203777508508533,-0.0184679516853801,-0.0151690541003325,-0.0112266575661098,-0.0067550455966881,-0.00221595019082612,0.00206011663430272,0.00473773403851739,0.00632492641230664,0.00784657067758389,0.00895121952898201,0.00935323565392689,0.00997122874857652,0.0107823642415522,0.0112958594538536,0.0110711916076162,0.0109457126943903,0.0111770182061756,0.0114506618473823,0.0120416138858456,0.01241945231389,0.0121408059681323,0.012094147352274,95
"ETH_new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0321157360590628,0.0188274292628181,0.00730997019758104,-0.00143439410596066,-0.00677603306660724,-0.0086211607306224,-0.00822179758709428,-0.0066667378474898,-0.00472920913278251,-0.00296831882112079,-0.00158251233518994,-0.000581844339779289,0.000199427856830012,0.000937021907118831,0.00140235814582095,0.00186643637789779,0.00213573479825188,0.00217161523219695,0.00208186358285733,0.00181429445170082,0.00155838265292763,0.00126661415705816,0.000877738407777757,0.000533787344614848,0.000364931473441566,0.000249889454457997,171
