"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","num_CIs","min_lag","min_pub_date","max_pub_date","num_est"
"epiforecasts",0.896039603960396,0.900990099009901,0.900990099009901,0.861386138613861,0.856435643564356,0.846534653465347,0.826732673267327,0.811881188118812,0.797029702970297,0.797029702970297,0.806930693069307,0.831683168316832,0.856435643564356,0.876237623762376,0.900990099009901,0.910891089108911,0.915841584158416,0.945544554455445,0.940594059405941,0.930693069306931,0.930693069306931,0.930693069306931,0.900990099009901,0.891089108910891,0.881188118811881,0.881188118811881,0.876237623762376,0.876237623762376,0.876237623762376,0.866336633663366,0.876237623762376,0.876237623762376,0.856435643564356,0.826732673267327,0.801980198019802,202,0,"2020-10-29","2021-07-16",NA
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43609022556391,0.503759398496241,0.586466165413534,0.639097744360902,0.665413533834586,0.699248120300752,0.710526315789474,0.714285714285714,0.706766917293233,0.736842105263158,0.74812030075188,0.729323308270677,0.736842105263158,0.75187969924812,0.774436090225564,0.793233082706767,0.81203007518797,0.804511278195489,0.842105263157895,0.842105263157895,0.853383458646617,266,14,"2020-10-02","2021-07-22",NA
"globalrt_7d",NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,120,2,"2021-02-15","2021-07-22",NA
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,0,0.19327731092437,0.642857142857143,0.894957983193277,0.949579831932773,0.970588235294118,0.991596638655462,0.987394957983193,0.991596638655462,1,0.995798319327731,0.991596638655462,1,1,1,0.995798319327731,0.987394957983193,0.995798319327731,0.995798319327731,0.991596638655462,1,0.991596638655462,0.991596638655462,0.991596638655462,0.991596638655462,0.991596638655462,0.991596638655462,238,8,"2020-11-16","2021-07-22",NA
"RKI_7day",NA,NA,NA,NA,NA,0.768421052631579,0.898245614035088,0.957894736842105,0.971929824561404,0.989473684210526,0.996491228070175,0.996491228070175,1,0.996491228070175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.996491228070175,0.989473684210526,0.989473684210526,0.985964912280702,285,5,"2020-10-01","2021-07-22",NA
"rtlive",NA,NA,1,0.993788819875776,0.993788819875776,0.981366459627329,0.975155279503106,0.968944099378882,0.975155279503106,0.962732919254658,0.962732919254658,0.950310559006211,0.950310559006211,0.956521739130435,0.950310559006211,0.956521739130435,0.950310559006211,0.950310559006211,0.956521739130435,0.956521739130435,0.962732919254658,0.962732919254658,0.968944099378882,0.962732919254658,NA,0.981366459627329,0.981366459627329,0.981366459627329,0.987577639751553,0.993788819875776,0.993788819875776,1,0.993788819875776,1,1,161,2,"2020-10-01","2021-03-12",NA
"SDSC",NA,0.068259385665529,0.0853242320819113,0.0614334470989761,0.068259385665529,0.0546075085324232,0.068259385665529,0.0784982935153584,0.0853242320819113,0.116040955631399,0.156996587030717,0.204778156996587,0.245733788395904,0.221843003412969,0.276450511945392,0.307167235494881,0.300341296928328,0.296928327645051,0.31740614334471,0.262798634812287,0.262798634812287,0.273037542662116,0.300341296928328,0.303754266211604,0.286689419795222,0.283276450511945,0.300341296928328,0.313993174061433,0.358361774744027,0.337883959044369,0.320819112627986,0.303754266211604,0.276450511945392,0.296928327645051,0.310580204778157,293,1,"2020-10-01","2021-07-22",NA
"ETH_old",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0736842105263158,0.0736842105263158,0.115789473684211,0.178947368421053,0.168421052631579,0.2,0.221052631578947,0.221052631578947,0.189473684210526,0.263157894736842,0.294736842105263,0.242105263157895,0.263157894736842,0.305263157894737,0.368421052631579,0.421052631578947,0.473684210526316,0.452631578947368,0.557894736842105,0.557894736842105,0.589473684210526,NA,NA,NA,NA,95
"ETH_new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.637426900584795,0.742690058479532,0.847953216374269,0.894736842105263,0.941520467836257,0.976608187134503,0.982456140350877,0.988304093567251,0.994152046783626,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,171
