"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","num_CIs","min_lag","min_pub_date","max_pub_date"
"epiforecasts",0.588654871757569,0.588182582600943,0.538148704701081,0.489411616052517,0.43996121568623,0.386709676317451,0.337348485648997,0.293391722074161,0.250215863155354,0.214521960282494,0.182595974011665,0.155410307876036,0.140553938361602,0.130316523225489,0.127335767686539,0.118819780721071,0.116804829002236,0.11784505320496,0.117484822065918,0.11631642586016,0.114598264930835,83,0,"2020-10-29","2021-02-26"
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10651493745063,0.100190611611788,0.0951300696498887,0.0900422870132244,0.085001254258322,0.0812256653278001,0.0802436286028746,198,14,"2020-10-01","2021-05-10"
"globalrt_7d",NA,NA,0.811926972310288,0.752354231271746,0.706081292621237,0.67204698331901,0.647513530064948,0.630502611139123,0.618767160209535,0.611318144525585,0.605356886112409,0.60028611606341,0.596953407867777,0.595063382026581,0.593100166469365,0.59245661393248,0.591947471830718,0.591545739448975,0.590742046659058,0.590014826990356,0.589618644520557,156,2,"2021-02-18","2021-09-28"
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,0.0313449429985108,0.0364291130695406,0.0368370037285519,0.0366460250113933,0.0362695401070194,0.0359795277138299,0.0356283392963282,0.0352376133435827,0.0350435291216772,0.0348988902092147,0.034714077435831,0.0344489912851419,0.0342702168055406,214,8,"2020-11-19","2021-06-28"
"RKI_7day",NA,NA,NA,NA,NA,0.179259259259259,0.144166666666667,0.114907407407407,0.0948611111111111,0.0774074074074074,0.064537037037037,0.0553703703703704,0.0459259259259259,0.0399537037037037,0.0348148148148148,0.0306944444444444,0.0275925925925926,0.0245833333333333,0.0227777777777778,0.0205555555555555,0.0194907407407407,216,5,"2020-10-01","2021-05-10"
"rtlive",NA,NA,0.696435779816514,0.680238532110092,0.664192660550459,0.648885321100917,0.633087155963303,0.615912844036697,0.597788990825688,0.580990825688073,0.562738532110092,0.544403669724771,0.52352752293578,0.504380733944954,0.4845,0.46443119266055,0.443183486238532,0.423142201834862,0.404701834862385,0.385610091743119,0.368334862385321,218,2,"2020-10-01","2021-05-10"
"SDSC",NA,0.0182880610837868,0.0183577280535993,0.0184454952467604,0.018540795571544,0.0186484868547421,0.0187712360056174,0.0189083654507596,0.0190575042022964,0.0192150596384889,0.0193782707488499,0.0195448600872832,0.0197135161835581,0.0198838519538336,0.0200547124545641,0.0202256156228595,0.0203966153322879,0.0205678939087969,0.0207396938653074,0.0209121441952417,0.0210853173153008,221,1,"2020-10-01","2021-05-10"
