date,R.consensus,lower.consensus,upper.consensus,R.SDSC,upper.SDSC,lower.SDSC,R.ETH,lower.ETH,upper.ETH,R.Ilmenau,lower.Ilmenau,upper.Ilmenau,R.epiforecasts,lower.epiforecasts,upper.epiforecasts,R.globalrt,lower.globalrt,upper.globalrt,R.rtlive,lower.rtlive,upper.rtlive,R.HZI,lower.HZI,upper.HZI
2020-03-02,NA,NA,NA,NA,NA,NA,2.9736526905699745,2.79272928811952,3.154576093020429,3.0798479087452466,2.7490557207695563,3.410640096720937,2.286904118015488,1.9829877990851008,2.5865147360312424,NA,NA,NA,1.967,1.712,2.247,7.108503499999999,6.8234374,7.473001
2020-03-03,NA,NA,NA,NA,NA,NA,2.9310534003351383,2.7584370219921914,3.103669778678085,4.599403927068724,4.226054606493873,4.972753247643574,2.319875990255731,2.0688571295202225,2.565662429022637,NA,NA,NA,1.897,1.669,2.173,6.8384805,6.5495497,7.220727449999999
2020-03-04,NA,NA,NA,NA,NA,NA,2.8277139183298057,2.6742931503342677,2.9811346863253436,4.948685294778636,4.590679631029862,5.306690958527411,2.3462771546642474,2.1440211933226396,2.544723392599143,NA,NA,NA,1.822,1.62,2.074,6.926547,6.6148975,7.345641825
2020-03-05,NA,NA,NA,NA,NA,NA,2.6758154505180785,2.545499849299028,2.806131051737129,5.159709511719903,4.835172877411218,5.484246146028588,2.357827261654834,2.1912324406435673,2.527884561070135,NA,NA,NA,1.759,1.558,1.989,6.8693065,6.546071575,7.312162449999999
2020-03-06,NA,NA,NA,2.9995254150078723,3.0966244925587443,2.904477671306467,2.4869712627364273,2.3763861634994776,2.597556361973377,5.554790393388998,5.267288180947151,5.8422926058308455,2.3469599235238094,2.2017384468409777,2.5051967349727438,NA,NA,NA,1.687,1.491,1.912,6.5328865,6.218226875,6.975039374999999
2020-03-07,NA,NA,NA,2.885558057657767,2.9685590529038537,2.8041188224278097,2.287542409074061,2.1844795802519594,2.3906052378961626,3.578898658028691,3.383522739320492,3.7742745767368895,2.3165272334854077,2.178237176838423,2.4755627214458316,NA,NA,NA,1.619,1.439,1.813,5.918533999999999,5.6322968499999995,6.335794349999999
2020-03-08,1.8460726177277902,1.7277371093953984,1.9696920812908323,2.7583208281254734,2.829543074171972,2.688303888850153,2.0961577593100866,1.992717079767499,2.1995984388526746,1.8867100493514437,1.7673613646475792,2.0060587340553084,2.260857690822472,2.123850801707744,2.42246983698423,NA,NA,NA,1.55,1.38,1.729,5.1585015,4.911277125,5.537347724999998
2020-03-09,2.007731542945257,1.8957041565846309,2.1240879623605804,2.6033500250333983,2.6643898543977658,2.543249656939941,1.9167630215354314,1.8169534549180968,2.016572588152766,2.9482253337675024,2.81940192802472,3.077048739510285,2.1847863016359943,2.054598170505496,2.341455606110228,NA,NA,NA,1.482,1.324,1.662,4.793347000000001,4.5627391,5.153242049999999
2020-03-10,2.2677430999108625,2.161296742171376,2.377628497417965,2.4267189295628304,2.4790138953723386,2.3751646331168352,1.7496427188203132,1.659713178755062,1.8395722588855643,3.5525065963060682,3.4252142799652234,3.679798912646913,2.092069080095977,1.96511828153901,2.236611076812289,NA,NA,NA,1.421,1.269,1.596,4.7910699999999995,4.55758345,5.151590099999998
2020-03-11,2.2710871999214057,2.1788518900166185,2.365889531668658,2.2419066389139997,2.286841932422254,2.197563875664897,1.5963213004446877,1.5156063791556562,1.6770362217337191,3.494629536455713,3.3796726327776625,3.6095864401337634,1.9833588930754134,1.8702717857724926,2.1214994652079526,3.3366943022912063,3.143813642929401,3.526436138031026,1.357,1.215,1.531,4.8595975,4.620724975,5.226131274999999
2020-03-12,2.2724291574463256,2.1927426339581118,2.35402329603241,2.0634457421458454,2.1023276096639067,2.0250462621765557,1.4624267313268409,1.3868335771875198,1.538019885466162,3.16368942341705,3.0653396492231826,3.2620391976109175,1.8705226290955974,1.7665065539642226,1.9920638585921993,3.297467027415521,3.1335236913780964,3.4570854703529705,1.299,1.159,1.45,4.915363,4.671975025,5.287977049999999
2020-03-13,2.3829606975740747,2.3124334504138244,2.4549075941259795,1.9022646210915457,1.9362663294103872,1.868663319895965,1.3484427966050596,1.2771379171409485,1.4197476760691707,2.4979642968994678,2.420436624937197,2.5754919688617384,1.7546681398159225,1.653972415392581,1.8635919517421073,3.2094535162291207,3.0622147353920868,3.358315433860298,1.24,1.109,1.388,5.0094294999999995,4.759540375,5.390632199999999
2020-03-14,2.1980602017291186,2.140196459097709,2.2569576288023585,1.7635614215264244,1.793680805447211,1.7337811158449297,1.2519468527746542,1.1859993248908944,1.317894380658414,1.6362552900345957,1.5803862196398646,1.6921243604293268,1.641623949033181,1.539770267354052,1.7438283010652889,3.015263765606412,2.872612715763895,3.155418138999189,1.191,1.06,1.333,4.861743,4.618945775,5.236220574999999
2020-03-15,1.9194235132273043,1.872433540967283,1.9671931519928434,1.6479312578748555,1.6749798131485156,1.6211754798620877,1.168187914650777,1.1068621054870562,1.2295137238144977,0.8949954634878143,0.8577151018357416,0.932275825139887,1.5344723889321292,1.4336063790273859,1.6313644739500328,2.866483967572821,2.7245695355227713,3.003723026724452,1.143,1.025,1.271,4.466895,4.245237075,4.817957574999999
2020-03-16,1.951552016175592,1.9090563906157996,1.9946736483554957,1.5531047190464211,1.5777203911937965,1.5287464253565486,1.0959071499293416,1.0366345102334722,1.155179789625211,1.2718109141466805,1.2306021648335472,1.3130196634598137,1.4358958145522136,1.3350681540154883,1.528093384173034,2.834457810864871,2.696027686711441,2.974350759047403,1.097,0.975,1.227,4.2324114999999995,4.023837950000001,4.567777574999999
2020-03-17,2.0334902827233727,1.9946450386776542,2.072836618411436,1.475035714134236,1.4977047473786151,1.4525965869717352,1.0362547076869824,0.9779428443936734,1.0945665709802912,1.5505396748396671,1.50681189689166,1.5942674527876743,1.348516591071337,1.250297265633733,1.4375499219849353,2.7537900513596063,2.6132088185144764,2.8954831889008226,1.054,0.941,1.193,4.1678370000000005,3.9637304,4.496567024999999
