date,consensus,RKI,SDSC,ETH,Ilmenau,epiforecasts,globalrt,rtlive,HZI
2020-03-12,2.2724291574463256,2.842700156985871,2.227158856930348,1.6930083508792526,3.2923783026339835,1.8705226290955974,3.297467027415521,1.299,4.915363
2020-03-13,2.3829606975740747,2.500231964741359,2.071773677798456,1.5628358317082887,2.9965934494872433,1.7546681398159225,3.2094535162291207,1.24,5.0094294999999995
2020-03-14,2.1980602017291186,2.1820173516782053,1.9281313977175327,1.4464928432526405,2.6240451854326388,1.641623949033181,3.015263765606412,1.191,4.861743
2020-03-15,1.9194235132273043,1.9914535805362188,1.799407850595824,1.3422536380796317,2.2291366332091136,1.5344723889321292,2.866483967572821,1.143,4.466895
2020-03-16,1.951552016175592,1.7426551800309256,1.6868820263100692,1.2508670137239843,1.9604139139268084,1.4358958145522136,2.834457810864871,1.097,4.2324114999999995
2020-03-17,2.0334902827233727,1.5589831609222062,1.5902510433426178,1.1726611242315572,1.7779765361830642,1.348516591071337,2.7537900513596063,1.054,4.1678370000000005
2020-03-18,2.025858443114932,1.3948752961966344,1.5076929876974345,1.106714307355682,1.661648955720291,1.2707037135414425,2.5639988997625185,1.01,4.13094
2020-03-19,1.9491441337555038,1.2356890703952377,1.4371209600719397,1.051758129921434,1.5684086515725986,1.20313985827266,2.334655329389026,0.976,4.0486275
2020-03-20,1.7989541925976604,1.1317340600836607,1.3759983204491404,1.006918797687231,1.50581137204803,1.145373180926077,2.095956569421994,0.942,3.8689955
2020-03-21,1.642998510423108,1.0370756092480733,1.322867021041251,0.9713594592322066,1.4362916473405183,1.0952946937576749,1.945525311961372,0.909,3.562169
2020-03-22,1.4926878726344648,0.9787797644755406,1.276104745987081,0.9443915741757593,1.3588827045709266,1.053425098164678,1.8280185384818872,0.884,3.138025
2020-03-23,1.4263284130348906,0.919644857719023,1.233739939037459,0.9247567498386658,1.2805921550810238,1.0164061401461901,1.7175800013260176,0.858,2.7809955
2020-03-24,1.3902792415484524,0.8950522218799877,1.19388850075351,0.9107203442691677,1.2408431617816373,0.9835446506781945,1.6357937950723067,0.837,2.527475
2020-03-25,1.369643197038321,0.8962786560697787,1.1557798050455501,0.9011495163908577,1.192779969252424,0.9531026533216694,1.58665550919444,0.817,2.358015
2020-03-26,1.3363894697975105,0.8834206036359358,1.1195225737735293,0.8945562038060303,1.1571139639747468,0.9252053865908856,1.531784493247219,0.801,2.2280065
2020-03-27,1.3118093939741817,0.8977310796406274,1.0854444552526858,0.8892658567462178,1.119949423724896,0.8997049552348516,1.4802073924578771,0.782,2.1091865
2020-03-28,1.268615384774689,0.9047395588925388,1.0528161135166407,0.8840819787410351,1.0722354967409362,0.8758943878934835,1.432841559334693,0.767,1.9453545
2020-03-29,1.2175192196609104,0.9013701261284334,1.0202321634397888,0.8782837548446206,1.0299692900407809,0.8529643510877769,1.3668628719526963,0.756,1.7113055
2020-03-30,1.1696809085323376,0.9208817555192967,0.987066423274249,0.8711605279711684,0.9976649531920981,0.8317904957148647,1.2767676370440544,0.745,1.495637
2020-03-31,1.160917231113325,0.925365539233979,0.9539355133653367,0.8622028840104404,0.9622492717548161,0.8130256395897555,1.2191784670935792,0.734,1.3641645
2020-04-01,1.1352972932188063,0.9337136929460581,0.9214438265959471,0.8514600790954269,0.9283114369159099,0.7968692522256602,1.1740451694366054,0.724,1.292367
2020-04-02,1.1174310492999449,0.9450935824128991,0.8896307940924562,0.8394200373745808,0.8832575872001649,0.7842866026959154,1.1502189401473464,0.719,1.264699
2020-04-03,1.0934627079712163,0.9303561742903634,0.8584745099914042,0.8267522137332157,0.8087702696849394,0.7741545655543429,1.1267775703401584,0.712,1.2448169999999998
2020-04-04,1.057396660470171,0.9226821131356088,0.8282510179743785,0.8142281924143159,0.7817706781637911,0.765533521337717,1.0836160535710682,0.71,1.177482
2020-04-05,1.0288337752891925,0.8930859534125838,0.800634215353005,0.8029096070204403,0.7824904857442136,0.7608133785376643,1.0330056815325053,0.704,1.0391735
2020-04-06,1.011127854836455,0.8867009883131036,0.7776743894036491,0.7935520538339564,0.7473812276677056,0.7583910754180898,0.9755712912261896,0.702,0.906697
2020-04-07,0.9870019598776594,0.8717011932061098,0.7608191526394706,0.7864569901304701,0.6941452298616115,0.7570793216156244,0.9143631321032948,0.699,0.834767
2020-04-08,0.9632142489932565,0.8504450095359186,0.7507602262192811,0.7816113105089406,0.6649161600092387,0.7566826021111994,0.8523395480977831,0.695,0.8116114999999999
2020-04-09,0.9272070620118488,0.829324929507381,0.7473689303564255,0.7791083726570501,0.6510260220697506,0.757322499733083,0.8029442094406702,0.695,0.812422
2020-04-10,0.8617199722213534,0.8056450245804374,0.7498894361771664,0.7789468498590161,0.6827409239917379,0.7583121427440616,0.767741399927522,0.699,0.7852625
2020-04-11,0.8545348836679203,0.8142500445871232,0.7577088258608483,0.7805168755821663,0.699339725759582,0.7589645832962779,0.7782472283582973,0.7,0.732605
2020-04-12,0.8714497799331367,0.7852270603625491,0.7695100604265006,0.7825623049187164,0.7303521949208821,0.7578099851880098,0.7570682498563348,0.702,0.6390395
2020-04-13,0.833790230255627,0.78525,0.7823632058736273,0.784086036839621,0.7887979133207436,0.7573655023841437,0.6888054647442536,0.706,0.5227185000000001
2020-04-14,0.7768882256047973,0.7771173066806943,0.7926031158444017,0.7846145839864752,0.8259920363311714,0.7556644152565327,0.6566965654997994,0.71,0.4387865
2020-04-15,0.7554961209952111,0.7569817106560071,0.7977282960499509,0.7837500104745496,0.8263267727103484,0.7537954653731,0.6862636573348724,0.712,0.4269905
2020-04-16,0.7503093010663112,0.7818171000178497,0.7970316671773151,0.7810212559638523,0.7964144144362096,0.7522668180552111,0.731269162589691,0.716,0.480471
2020-04-17,0.7912915315743647,0.7995542820757721,0.7910715223267949,0.7762723146963363,0.7618776289359129,0.7503503184792021,0.7703070332488215,0.72,0.5638510000000001
2020-04-18,0.7986629769840109,0.8065389562038855,0.780575812808778,0.7700764122845509,0.7394767591906928,0.7516459115253864,0.7799853358681308,0.729,0.617501
2020-04-19,0.8158825524976,0.8395543981481481,0.766417900559226,0.7637086375247477,0.7244820905028203,0.7532338713723085,0.7684191268896996,0.733,0.611648
2020-04-20,0.8593819993644589,0.8374429223744292,0.7506947034493545,0.7583395317450904,0.7189884593554897,0.7564372213484021,0.7264851269135564,0.738,0.5914090000000001
