date,none,none.lower,none.upper,RKI,RKI.lower,RKI.upper,SDSC,SDSC.lower,SDSC.upper,R_calc,lower,upper
2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2287691225084547,2.0469875024112576,2.421007399370461
2020-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1171404007600256,1.963090370033997,2.279046592532547
2020-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02507406653347,1.8925625415907401,2.1636313712751654
2020-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9653643841351405,1.8494215314442415,2.086054728698327
2020-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9380637535716592,1.8351465487938827,2.044758758450729
2020-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9379779048974421,1.845724897869377,2.033254910360825
2020-03-09,2.081978231002119,1.9658080286170254,2.202637555756605,NA,NA,NA,2.886868420565923,2.748593237010919,3.029705231679853,1.9515773453698997,1.86861664782461,2.0369579387051506
2020-03-10,2.3116530092281833,2.2031455494548364,2.423666098289071,NA,NA,NA,2.6308883087008126,2.5233596237965545,2.7414292556155373,1.9794424145856744,1.904706878262371,2.0561078096747867
2020-03-11,2.2949718272154547,2.2017664946710687,2.390771178522532,NA,NA,NA,2.421500726979541,2.3354074234976374,2.5096843406139597,2.0204736901342146,1.9531569737467782,2.0893196716180076
2020-03-12,2.285813041207078,2.205657189482967,2.367887743274235,2.494755849300455,2.4339955778067157,2.5565189879612413,2.2702649675623947,2.1992848729562784,2.342756103295324,2.054846751336286,1.9920760213334774,2.1176174813390944
2020-03-13,2.3909868170773163,2.320222025036649,2.4631760400722045,2.404438837276737,2.3540448527682556,2.4555469457441044,2.1640723151459866,2.1041508545565177,2.2251207436327953,2.0671076162100883,2.0012195633647427,2.132995669055434
2020-03-14,2.2022546117674002,2.1442804516584553,2.2612644288284804,2.3076516510910947,2.2655709822264596,2.3502501932136464,2.0849377278489234,2.0335223529642046,2.1372125419408694,2.060593426551628,1.995373978147934,2.1258128749553222
2020-03-15,1.9215922785990294,1.8745492121552838,1.9694158924970293,2.1694886887695883,2.134379787157185,2.2049805057741105,2.0175757362875593,1.9729975489819305,2.0628203923795625,2.0326494663195547,1.9705703013671354,2.094728631271974
2020-03-16,1.9529510554557485,1.9104249653995449,1.996103600907112,2.060182986498882,2.0303223574062907,2.0903349706745202,1.9538759014538776,1.914937605865012,1.9933385014579694,1.9843054813366592,1.9279497336125104,2.0406612290608077
2020-03-17,2.0344170008417883,1.995554053937208,2.073781267750121,1.911721811603032,1.8863157853629002,1.9373549427321708,1.8810184268432009,1.8468762443488498,1.915578818145692,1.9196041155263512,1.8698854912805634,1.9693227397721391
2020-03-18,2.0264354963306594,1.9920735157238572,2.0611903719092832,1.7777011114175802,1.7557119017222882,1.799873160154845,1.802704469565021,1.7725973148679772,1.8331506187841777,1.8457610871521561,1.8006161821363005,1.8909059921680118
2020-03-19,1.9494923080350395,1.9196377644736347,1.9796547944695242,1.7134405502609376,1.6937600066764193,1.7332729579884696,1.7242150853594904,1.6974575518178074,1.7512523440721226,1.7680630725104853,1.7244752325524437,1.811650912468527
2020-03-20,1.7991597482355735,1.7735414688952873,1.825023547036499,1.5784603197499885,1.5611088157390973,1.5959399229926354,1.648987981579951,1.6249928124606952,1.673218209987696,1.687395231226776,1.644967837209524,1.7298226252440279
2020-03-21,1.6431230758202269,1.620879704364329,1.6655690201695195,1.4619643484271243,1.4463897722810222,1.4776503290023089,1.5785141213227476,1.5567959804079021,1.6004333158285575,1.6053517590761133,1.5644080984905824,1.6462954196616442
2020-03-22,1.492766004304146,1.4731391358710844,1.5125664314924339,1.3533688121036982,1.33918551197365,1.3676519039759778,1.5140682096280211,1.4942266199686012,1.5340846756421604,1.525098316392362,1.484977912255394,1.5652187205293298
2020-03-23,1.4263819931650783,1.4082892410272578,1.4446290481656932,1.280384466402116,1.2671495019245211,1.2937112682632639,1.456326958103116,1.438033918807666,1.4747744792050652,1.4497127227944022,1.4101349865781263,1.4892904590106781
2020-03-24,1.39031743289408,1.3733266280951804,1.407447803455122,1.200735537242341,1.1883254393200493,1.2132317379125943,1.4052538816076783,1.3882437688549307,1.4224023798578664,1.3799363167271466,1.3416761028026842,1.4181965306516089
2020-03-25,1.369670956544814,1.3535694300875285,1.3858996712028329,1.1203004845925884,1.1085802339057091,1.1321030523901827,1.3599177338395207,1.3439794314304503,1.3759815496264585,1.3145013323032384,1.2780789039181593,1.3509237606883175
2020-03-26,1.3364095599491495,1.3211935479625814,1.3517419531586372,1.0666390571215902,1.0553405886436917,1.0780178801991287,1.3195071969061853,1.3044711466939833,1.3346583481837162,1.2527666516133074,1.2177843727661917,1.287748930460423
2020-03-27,1.3118241463574527,1.2973482799255944,1.3264072960090425,1.0198125688559294,1.0088218032343796,1.0308828731864526,1.2828371824425706,1.2685683788793674,1.2972125836380122,1.1966881358105637,1.1624323800650351,1.2309438915560922
2020-03-28,1.2686261330236106,1.2549157230970402,1.282436042017311,0.993844949873573,0.9829897944965398,1.0047797283098203,1.24970999175069,1.2360949339625353,1.2634246604741115,1.1471966228996218,1.1133430355530212,1.1810502102462224
2020-03-29,1.2175270799294677,1.2045237271781573,1.2306236822205963,0.9781321581740867,0.9673254808900448,0.9890190233909112,1.2194270525660316,1.2063724440500136,1.2325755023647462,1.1037932020290222,1.070268741155768,1.1373176629022763
