date,consensus,RKI,SDSC,ETH,Ilmenau,epiforecasts,globalrt,rtlive,HZI
2020-03-10,2.2677430999108625,NA,2.4267189295628304,1.7496427188203132,3.5525065963060682,2.092069080095977,NA,1.421,5.86362527
2020-03-11,2.2710871999214057,3.1182033096926713,2.2419066389139997,1.5963213004446877,3.494629536455713,1.9833588930754134,3.3366943022912063,1.357,5.5694615885714285
2020-03-12,2.2724291574463256,2.842700156985871,2.0634457421458454,1.4624267313268409,3.16368942341705,1.8705226290955974,3.297467027415521,1.299,5.2912491585714285
2020-03-13,2.3829606975740747,2.500231964741359,1.9022646210915457,1.3484427966050596,2.4979642968994678,1.7546681398159225,3.2094535162291207,1.24,5.074132914285714
2020-03-14,2.1980602017291186,2.1820173516782053,1.7635614215264244,1.2519468527746542,1.6362552900345957,1.641623949033181,3.015263765606412,1.191,4.923304262857143
2020-03-15,1.9194235132273043,1.9914535805362188,1.6479312578748555,1.168187914650777,0.8949954634878143,1.5344723889321292,2.866483967572821,1.143,4.8243499128571425
2020-03-16,1.951552016175592,1.7426551800309256,1.5531047190464211,1.0959071499293416,1.2718109141466805,1.4358958145522136,2.834457810864871,1.097,4.744095191428571
2020-03-17,2.0334902827233727,1.5589831609222062,1.475035714134236,1.0362547076869824,1.5505396748396671,1.348516591071337,2.7537900513596063,1.054,4.655143272857143
2020-03-18,2.025858443114932,1.3948752961966344,1.4092191899452196,0.9897342060368358,1.7207481661759452,1.2707037135414425,2.5639988997625185,1.01,4.551186554285715
2020-03-19,1.9491441337555038,1.2356890703952377,1.3522145110958925,0.9552646325144254,1.7024244458712068,1.20313985827266,2.334655329389026,0.976,4.427577038571429
2020-03-20,1.7989541925976604,1.1317340600836607,1.3011856802822315,0.9308248472645627,1.6184581406415874,1.145373180926077,2.095956569421994,0.942,4.265036931428572
2020-03-21,1.642998510423108,1.0370756092480733,1.2554482657171222,0.9148196813915717,1.1723606632046268,1.0952946937576749,1.945525311961372,0.909,4.079821045714286
2020-03-22,1.4926878726344648,0.9787797644755406,1.2146149061560694,0.9044304759721474,0.6899874993928642,1.053425098164678,1.8280185384818872,0.884,3.8903793728571423
2020-03-23,1.4263284130348906,0.919644857719023,1.1771757838859158,0.8971717943110306,0.8638076346310815,1.0164061401461901,1.7175800013260176,0.858,3.683464848571429
2020-03-24,1.3902792415484524,0.8950522218799877,1.1413806004936455,0.8918131415513632,1.2232347026716461,0.9835446506781945,1.6357937950723067,0.837,3.4496193714285712
2020-03-25,1.369643197038321,0.8962786560697787,1.105459263441677,0.8881056525324913,1.2696674450438843,0.9531026533216694,1.58665550919444,0.817,3.196809877142857
2020-03-26,1.3363894697975105,0.8834206036359358,1.0696248523024465,0.8849847712218807,1.3233491039823777,0.9252053865908856,1.531784493247219,0.801,2.9370678242857142
2020-03-27,1.3118093939741817,0.8977310796406274,1.0351894078339074,0.8811202122679526,1.2561364569169708,0.8997049552348516,1.4802073924578771,0.782,2.6858087257142857
2020-03-28,1.268615384774689,0.9047395588925388,1.0031974066661906,0.8751448622811308,0.8420117180522311,0.8758943878934835,1.432841559334693,0.767,2.4546892700000003
2020-03-29,1.2175192196609104,0.9013701261284334,0.9723569875843875,0.8661829841138564,0.4724571678753164,0.8529643510877769,1.3668628719526963,0.756,2.2505514
2020-03-30,1.1696809085323376,0.9208817555192967,0.9404463404581974,0.8540967673167789,0.67258957423535215,0.8317904957148647,1.2767676370440544,0.745,2.06631383
2020-03-31,1.160917231113325,0.925365539233979,0.90656266308033,0.8393759127819056,0.9678505551661264,0.8130256395897555,1.2191784670935792,0.734,1.8993931357142857
2020-04-01,1.1352972932188063,0.9337136929460581,0.8712032382341186,0.8237635436942391,1.018619280178363,0.7968692522256602,1.1740451694366054,0.724,1.7462227085714286
2020-04-02,1.1174310492999449,0.9450935824128991,0.836824534568737,0.8091081740090035,0.9923294176571799,0.7842866026959154,1.1502189401473464,0.719,1.6072798114285711
2020-04-03,1.0934627079712163,0.9303561742903634,0.8058259414440616,0.7969140779662269,0.7071979155357726,0.7741545655543429,1.1267775703401584,0.712,1.482433197142857
2020-04-04,1.057396660470171,0.9226821131356088,0.7789940587035737,0.787439647784548,0.6368745845445618,0.765533521337717,1.0836160535710682,0.71,1.371322087142857
2020-04-05,1.0288337752891925,0.8930859534125838,0.7572636724541298,0.7810520514435749,0.42075757729913427,0.7608133785376643,1.0330056815325053,0.704,1.2738497928571428
2020-04-06,1.011127854836455,0.8867009883131036,0.7420835956833843,0.7776631205060625,0.37118536868181096,0.7583910754180898,0.9755712912261896,0.702,1.1883771942857142
2020-04-07,0.9870019598776594,0.8717011932061098,0.7351436512750052,0.7763947565655284,0.6164643986740158,0.7570793216156244,0.9143631321032948,0.699,1.1115292714285714
2020-04-08,0.9632142489932565,0.8504450095359186,0.7376065808490706,0.7762702617342022,0.9024804370293814,0.7566826021111994,0.8523395480977831,0.695,1.0419604914285714
2020-04-09,0.9272070620118488,0.829324929507381,0.7484400758365101,0.7776430348346506,1.0274205339950782,0.757322499733083,0.8029442094406702,0.695,0.9771039485714286
2020-04-10,0.8617199722213534,0.8056450245804374,0.7643753636783764,0.7816111353172185,1.0311695739205036,0.7583121427440616,0.767741399927522,0.699,0.9113694128571428
2020-04-11,0.8545348836679203,0.8142500445871232,0.7814521135514513,0.7870015264711085,0.7599975428466124,0.7589645832962779,0.7782472283582973,0.7,0.8478179228571429
2020-04-12,0.8714497799331367,0.7852270603625491,0.7964888484486787,0.7908283977504729,0.5128205128205129,0.7578099851880098,0.7570682498563348,0.702,0.7905657871428571
2020-04-13,0.833790230255627,0.78525,0.8064269608306223,0.7904368641201613,0.637610840855866,0.7573655023841437,0.6888054647442536,0.706,0.7356154785714286
2020-04-14,0.7768882256047973,0.7771173066806943,0.8091792346390907,0.7852586496687018,0.8187374274475636,0.7556644152565327,0.6566965654997994,0.71,0.6788997342857143
2020-04-15,0.7554961209952111,0.7569817106560071,0.8038268418705533,0.7767143724488923,0.9396779727652882,0.7537954653731,0.6862636573348724,0.712,0.6236621542857143
2020-04-16,0.7503093010663112,0.7818171000178497,0.7908779364393461,0.7670755280021138,0.8693114420741467,0.7522668180552111,0.731269162589691,0.716,0.5755697371428571
2020-04-17,0.7912915315743647,0.7995542820757721,0.7732189453832568,0.758835861467132,0.8286899822169533,0.7503503184792021,0.7703070332488215,0.72,0.5430073342857142
2020-04-18,0.7986629769840109,0.8065389562038855,0.7544757512283307,0.7529477663135005,0.5802987861811392,0.7516459115253864,0.7799853358681308,0.729,0.5255914028571429
2020-04-19,0.8158825524976,0.8395543981481481,0.7371194823229267,0.7499478072443367,0.3264218457779748,0.7532338713723085,0.7684191268896996,0.733,0.52091557285714285
2020-04-20,0.8593819993644589,0.8374429223744292,0.7224712802202656,0.7497152552086261,0.5629876421492801,0.7564372213484021,0.7264851269135564,0.738,0.5300772885714286
2020-04-21,0.872103549488433,0.8247989169387593,0.7114167504517932,0.7525188461165548,0.7745473759649196,0.7626413514987633,0.6773757622371326,0.745,0.55196865
2020-04-22,0.8479660240404867,0.8287033151489719,0.7043625739251475,0.7590107159318137,0.8116859468013959,0.7724440189088434,0.6468513502720665,0.752,0.5821827014285714
2020-04-23,0.8089670435016323,0.8080303291401,0.7014704836904236,0.7703125970560367,0.919609218509332,0.7839808847356684,0.6375267406503654,0.758,0.6119715385714286
2020-04-24,0.7834029998676075,0.8135223555070883,0.7026893660812775,0.7871650746966115,0.6310687226466297,0.797129924350188,0.6582233164901189,0.766,0.6357139885714286
2020-04-25,0.779145813634359,0.8251424157574587,0.7085675252938596,0.8069058479566263,0.45985950827897637,0.8111103958955567,0.6684811984816375,0.776,0.6505805071428571
2020-04-26,0.7806478495106319,0.817095402066032,0.720646991243421,0.8252124707386432,0.3205670757511638,0.8273755982949265,0.6601969925606241,0.783,0.6553325185714286
2020-04-27,0.7857434189605286,0.8168052889741949,0.7405135484408636,0.838293569488188,0.5934969966048578,0.8444586759511689,0.6370710542014135,0.79,0.6522441571428571
2020-04-28,0.7775156790801597,0.8079758713136729,0.7682607868192298,0.8458647420080094,0.987737584304108,0.8610409421578634,0.5968950791024545,0.8,0.6438123542857143
2020-04-29,0.7472362760169563,0.8075122864498011,0.8013041263236554,0.8498245303682864,1.1699727208432964,0.8759551711408993,0.5641366308001209,0.809,0.6292836014285714
2020-04-30,0.7448450327056261,0.8144521566683193,0.8346429275769095,0.8523797014103253,1.269381143198178,0.889790954624655,0.5625705893216653,0.818,0.6131151557142858
2020-05-01,0.7106845339973861,0.8231070496083551,0.8611633394313444,0.8543978772014034,1.0883571099861944,0.9015160844551615,0.5632467699786586,0.825,0.5928261585714286
2020-05-02,0.706080034657199,0.8510991289921195,0.877119757625606,0.855169480968182,0.7595374390103347,0.910459985240442,0.5963111321051542,0.834,0.5690939614285715
2020-05-03,0.735059235360867,0.861614258803072,0.8815122897633092,0.8531817426303517,0.37077602837762147,0.9161491470622017,0.6369265422389017,0.84,0.5453119285714286
2020-05-04,0.7424055562565449,0.88555775376655,0.8762271141097095,0.8479268896915229,0.7467742132004436,0.9193409470485212,0.6620429422120119,0.849,0.5241804871428571
2020-05-05,0.7506951045216111,0.9035685963521015,0.8657621516731137,0.8413397724666841,0.9236146400109068,0.919489202067961,0.6878944502378901,0.857,0.51016644
2020-05-06,0.7726789440377834,0.8879142300194932,0.8537704543714542,0.8362808826665051,1.0203949414325697,0.9167343832826722,0.7077811196700474,0.868,0.5091054928571429
2020-05-07,0.7828992352624892,0.8962327615203498,0.8430178170770114,0.8353803155714908,0.9596146721007781,0.9129260672772451,0.7314454006906228,0.876,0.5226390714285715
2020-05-08,0.8314671949407221,0.888125107406771,0.835609852949275,0.8412853809676123,0.9069246669728985,0.9064951809673422,0.7418971743865591,0.886,0.5522480657142858
2020-05-09,0.8710030015089517,0.8722134456731613,0.8316389969348826,0.8530216168102343,0.5876652901802352,0.8998432127906535,0.7461445705422833,0.892,0.5940996814285714
2020-05-10,0.8839606138191682,0.8680936699597512,0.8298080310718811,0.8674901162183951,0.4166855794108302,0.89140517732835,0.7410730126127892,0.9,0.6398362857142857
2020-05-11,0.9016351601091526,0.8540063801838994,0.8285283850991179,0.8788491297344082,0.7398256491538857,0.88372270125877606,0.7408993257512074,0.909,0.6871164042857143
2020-05-12,0.8829668801206876,0.8506191950464397,0.8265306526245237,0.8848885175201457,1.0359521943573666,0.8747674016927564,0.7173427630536005,0.917,0.7312163257142857
2020-05-13,0.8623531799010499,0.8490641980277722,0.824919396309377,0.8859240730479359,1.2664590979457655,0.8668703324206244,0.7002030696942738,0.93,0.76714103
2020-05-14,0.8303505856716541,0.8889357218124342,0.8241345883220866,0.8833638138067557,0.6563099698437356,0.8596939056790953,0.7099228590177477,0.936,0.7894473814285714
2020-05-15,0.8259926488013464,0.9224346297517029,0.8259044725935026,0.8776305817554539,0.8739993625916274,0.8524249589274907,0.7227955602917229,0.947,0.7987773142857143
2020-05-16,0.8250986450929926,0.9290263876251137,0.8300242695604872,0.8687876863240978,0.5706490412327557,0.8472737484960651,0.7396652995502249,0.956,0.7966911671428571
2020-05-17,0.8581674221915294,0.9559137236311922,0.835595914238949,0.8575190539252328,0.35732357634969447,0.8427631052556108,0.7681264656647152,0.966,0.7892192028571429
2020-05-18,0.8594076044719589,0.9193930772878142,0.8437179508963154,0.8452405436894468,0.7420838313648427,0.8391171568510557,0.7777381002595958,0.975,0.7790863785714286
2020-05-19,0.8640223269247723,0.9173415912339209,0.8534215917939794,0.8331777188342273,1.1650673021188898,0.8384514675541872,0.7596628843805426,0.983,0.7698734657142857
2020-05-20,0.8794551440843997,0.9089128305582762,0.863111108257085,0.8232564694527713,1.2957483983692488,0.8388761945627157,0.7200752946631256,0.988,0.7654748585714286
2020-05-21,0.8250243551202177,0.848251921646417,0.8685497751404441,0.8191776727844697,1.1020588451817135,0.8408152255981366,0.6654791338240778,0.997,0.7569568257142857
2020-05-22,0.8212904738338919,0.8321299638989169,0.8652665879000612,0.8238740125460762,0.9244957636649922,0.8436504027318593,0.6895270975820762,1.005,0.74519413
2020-05-23,0.8360419780627697,0.8195273954816931,0.8537060438961591,0.8370752321507352,0.7788633207696886,0.8496569317363638,0.726575119243623,1.011,0.7319494728571428
2020-05-24,0.8468655997837292,0.810614224137931,0.8373230174026242,0.8544873876061269,0.3714674176944741,0.8574347649064763,0.7745502430443105,1.017,0.7181194685714286
2020-05-25,0.8486680339767303,0.8705057000876937,0.8245992980224502,0.8726119958989758,0.27702880049631345,0.8666947276160335,0.8224720770297789,1.019,0.7050459057142857
2020-05-26,0.854080660169846,0.8893709327548807,0.820976395794136,0.8898263534074242,0.6487008644391054,0.87966815718893,0.8306596275870503,1.024,0.6963966057142857
2020-05-27,0.8335667862751669,0.905893536121673,0.8284384720329686,0.9067420130121759,1.1514531203706198,0.8948634544506138,0.7937887673447419,1.025,0.6925134671428571
2020-05-28,0.8971865410073028,0.936856098371552,0.8487402583684097,0.9234595592703264,1.3411316648531013,0.9128341853036102,0.7703957996242108,1.026,0.7013272328571428
2020-05-29,0.8887480152658864,0.9214237743451981,0.8786093817557679,0.9401292169950184,1.2563032225747206,0.9349935102137847,0.7499657175555281,1.026,0.7184796814285714
2020-05-30,0.9164700407175645,0.9205574912891986,0.9144635045181055,0.9571561566560757,0.859375,0.961129656707836,0.7551636174819807,1.026,0.7434184242857143
2020-05-31,0.923989011004102,0.8747813920951382,0.9466947920247711,0.9750595100196949,0.4501672918990166,0.9901774443024227,0.727359673179679,1.023,0.7703530328571428
2020-06-01,0.8539588223290747,0.8886129833274211,0.966845764856253,0.9949404926051498,0.8315772410439295,1.021137995269164,0.6764433925146058,1.017,0.78619117
2020-06-02,0.7865572248177126,0.8932215743440233,0.9727813568127903,1.0199335351752408,1.1700000000000004,1.0565713696409054,0.6961963709592369,1.011,0.7832998271428572
2020-06-03,0.7858036109116887,0.9140802422407267,0.9689175467298049,1.0547166747263947,1.473364578520034,1.0932628332132879,0.7829808874140497,1.005,0.7674389957142858
2020-06-04,0.8314491947457108,0.9544182327069173,0.9697613700122182,1.1034038092653187,0.8213662595624748,1.128892705462454,0.8731069652925143,0.999,0.7514957314285714
2020-06-05,0.870790306175461,0.9564870259481038,0.9866453729359118,1.1670476007890023,1.018610176202732,1.1629988144526633,0.8851001669711179,0.99,0.7426017285714286
2020-06-06,0.8686170323582673,0.9620563035495716,1.0297632448373448,1.2391150140548526,0.8612440191387561,1.1921843234221903,0.8862559141079286,0.981,0.7387220985714286
2020-06-07,0.88659212327761,1.010351966873706,1.1021577309635937,1.301085897528458,0.4997864160615122,1.216122141127943,0.904884801171236,0.968,0.7398389085714285
2020-06-08,0.9744155726604447,1.0268118977796397,1.1973197475625754,1.3310330518817834,0.7714029434238066,1.234301977718152,0.9286689166441136,0.962,0.7551912814285714
2020-06-09,1.022826078635616,1.0367278797996662,1.2990494917944984,1.318843177966531,1.5333288172334374,1.2427518774919726,0.91548887681344715,0.955,0.7887174842857143
2020-06-10,1.0190406560875802,1.0640373197625106,1.3800078752121376,1.2709500659719981,2.6979638009049776,1.2385184116936943,0.872422280431294,0.946,0.8356038314285714
2020-06-11,0.9208816814398032,1.0512295081967213,1.4185968734972727,1.2034504031280453,2.4127142146057032,1.224335831901112,0.8349465327925929,0.935,0.8729180228571428
2020-06-12,0.9083762273390432,1.0734394124847002,1.403076066491538,1.1304214500808918,2.8806784948333006,1.1990285913828505,0.8828972686197996,0.933,0.8970664514285714
2020-06-13,0.9393503531063844,1.109098228663446,1.3438542822218582,1.0636348239193267,1.4069161534817622,1.1666588413383263,0.9884871883795254,0.932,0.9127867985714284
2020-06-14,0.9636191981575492,1.19210840972499,1.258642107372065,1.0080314840779394,0.44681719260065295,1.1263554961528417,1.088191851783764,0.931,0.9229854057142856
2020-06-15,0.9595735009866431,1.4253411306042885,1.1616481556703233,0.9641620960359862,0.7602293862368259,1.0820561302488403,1.2075074375296553,0.93,0.92796231
2020-06-16,1.0114253377903937,1.475864690231851,1.0663846892453106,0.9291790687322351,0.8733318984072321,1.0367105218656634,1.400470406866019,0.933,0.9372643142857144
2020-06-17,1.1591111859953023,1.4707803992740471,0.9804929545061551,0.9012865830584812,0.8137988063565111,0.9908940205210589,1.5785457137588197,0.932,0.9715905257142856
2020-06-18,1.307753301456622,1.4205951186894015,0.9112670974317475,0.8795377677330971,0.933125972006221,0.9493868812699165,1.5944226374039787,0.938,1.0433929714285717
2020-06-19,1.4456167951779553,1.1920131291028446,0.8640297042514855,0.8656608536165235,1.0004282821990345,0.9117463595806654,1.5364108968494758,0.944,1.15728814
2020-06-20,1.3765725942447071,1.1254184908575844,0.8398328049830419,0.8593869061599702,0.5983276556209353,0.8799124379348253,1.3492365826600496,0.948,1.2860796157142858
2020-06-21,1.2606599264410352,1.035538005923001,0.8332740563796411,0.861616312032871,0.385128161018407,0.8540693143156988,1.171532173582539,0.955,1.40664748
2020-06-22,1.2313411572710602,0.8265474229230407,0.8381060720798076,0.8680846483564447,0.831774452164618,0.83633425930230465,1.054867196282943,0.965,1.5130050685714287
2020-06-23,1.1754904606833885,0.7620468104635154,0.8487350612379971,0.8755859378256547,0.9653994019649722,0.8236452255808269,0.9540421688341992,0.972,1.5894025685714286
2020-06-24,1.037740869498168,0.7308924485125858,0.8595496114385004,0.8809998770141892,1.0722313801888206,0.8170838834663428,0.8759304165180875,0.985,1.60583067
2020-06-25,0.982600980322731,0.7275977121067684,0.8699047713027971,0.8854280032049058,1.091446192117333,0.8178284936816345,0.8949709078125945,0.997,1.5649330428571429
2020-06-26,0.8868350198896565,0.8342824601366743,0.8770249564845878,0.8919495393238815,1.023000160093922,0.8242361155897244,0.9057888684804958,1.009,1.4684241471428572
2020-06-27,0.8550876903568757,0.8657031014754591,0.8802715734225484,0.9015213630174707,0.7010710808179165,0.8364369818290656,0.9217475484024682,1.018,1.3419829342857144
2020-06-28,0.889570350488139,0.8860363180964308,0.8823608950829416,0.9131368312922967,0.33964991167496394,0.8534875339676651,0.9406165409093116,1.029,1.212459472857143
