date,R.RKI,lower.RKI,upper.RKI,R.ETH,lower.ETH,upper.ETH,R.Ilmenau,lower.Ilmenau,upper.Ilmenau,R.SDSC,lower.SDSC,upper.SDSC,R.globalrt,lower.globalrt,upper.globalrt,R.epiforecasts,lower.epiforecasts,upper.epiforecasts,R.rtlive,lower.rtlive,upper.rtlive,R.HZI,lower.HZI,upper.HZI
2021-01-15,0.92,0.92,0.93,0.9059306846411352,0.8481085970372351,0.9637527722450352,1.01181790016748,0.995638138662359,1.0279976616726,0.870465197519491,0.86322607348398706,0.877734131550148,0.891966947029167,0.61908860693468,1.16281928102129,NA,NA,NA,0.866,0.776,0.97,1.0389615,1.035521125,1.045685975
2021-01-16,0.93,0.92,0.93,0.9101669458841364,0.8508458966959436,0.9694879950723294,0.793345432731104,0.77889519839793,0.807795667064279,0.872972837624503,0.865614529789224,0.880361858354508,0.889059603042335,0.620549750379884,1.16038968545842,NA,NA,NA,0.87,0.773,0.974,0.9889855,0.985455575,0.997750625
2021-01-17,0.94,0.93,0.94,0.9130341910544162,0.8534900506698312,0.9725783314390012,0.341917139060982,0.332459693474019,0.351374584647945,0.87525187525596,0.867777273196838,0.882758087905429,0.886832187450668,0.615260471454958,1.15760886215905,NA,NA,NA,0.869,0.778,0.976,0.861863,0.857652725,0.8760002499999999
2021-01-18,0.94,0.94,0.94,0.9106121287348912,0.8522122700078787,0.9690119874619034,0.454815134435425,0.44396188384751,0.465668385023341,0.877858929733341,0.870267631896758,0.885482737799876,0.877579200286818,0.604026868448537,1.14811588627376,NA,NA,NA,0.875,0.778,0.99,0.7251725,0.72003975,0.743521325
2021-01-19,0.94,0.94,0.94,0.9019078216320476,0.8448756700772521,0.958939973186843,1.07802075611564,1.06105624628328,1.094985265948,0.88042099885085,0.872713599889607,0.888161814316747,0.868590931389495,0.595741459624835,1.14057949787071,NA,NA,NA,0.878,0.777,0.986,0.6798109999999999,0.675162475,0.6958515
2021-01-20,0.94,0.94,0.94,0.8903937184146067,0.833810070228597,0.9469773666006164,1.17685117015818,1.15851545831346,1.1951868820029,0.882159472142136,0.874340041019863,0.890013232381083,0.86598198148555,0.594423028963835,1.13720468798055,NA,NA,NA,0.88,0.783,0.992,0.711033,0.70788825,0.719678475
2021-01-21,0.93,0.93,0.94,0.8813853516568697,0.8233698482063379,0.9394008551074016,1.05997288017319,1.04200379899004,1.07794196135633,0.882560296399626,0.874635472728128,0.890520366826471,0.851176140861358,0.575696531037386,1.12121763017051,NA,NA,NA,0.887,0.788,1.007,0.7666219999999999,0.7623783749999999,0.768772625
2021-01-22,0.93,0.92,0.93,0.8787531886075081,0.8184139561658142,0.939092421049202,1.03888038028703,1.02071478343616,1.05704597713791,0.881704382527903,0.873680333412792,0.889764603819437,0.856265846299265,0.58183502680756,1.12451204958029,NA,NA,NA,0.892,0.788,1.015,0.816827,0.8077532000000001,0.8216486249999999
2021-01-23,0.92,0.92,0.92,0.8812223248777379,0.8191009382566093,0.9433437114988664,0.838139191641834,0.821665775021561,0.854612608262106,0.879926698663316,0.871807354702444,0.888083156235169,0.853382875560336,0.582709592344599,1.12479888765496,NA,NA,NA,0.896,0.79,1.024,0.8277975,0.815857775,0.8336285
2021-01-24,0.91,0.9,0.91,0.8837093991537083,0.8211063180013847,0.946312480306032,0.352274295003971,0.341619229888304,0.362929360119638,0.877451060104362,0.869238304229397,0.885701898119842,0.852352212156099,0.579819678757822,1.12437189852988,NA,NA,NA,0.902,0.799,1.029,0.7496754999999999,0.74067985,0.755482
2021-01-25,0.9,0.89,0.9,0.8813971099302845,0.8203078050473446,0.9424864148132244,0.485531067435791,0.47310189514724,0.497960239724342,0.874399592719664,0.866093799244235,0.882744474672987,0.841633700566395,0.570352015581667,1.11537746929868,NA,NA,NA,0.908,0.802,1.035,0.64685,0.6394593,0.651154875
2021-01-26,0.88,0.88,0.88,0.8733715458055492,0.8160676308276715,0.9306754607834268,1.0470138762924,1.02852114948439,1.06550660310041,0.871123595369301,0.862722712631168,0.87956461999587,0.834187016572253,0.559735141345267,1.10633521778629,NA,NA,NA,0.915,0.798,1.034,0.636396,0.626981475,0.643277
2021-01-27,0.88,0.88,0.88,0.8633538755324989,0.8106104786982652,0.9160972723667326,1.21433283189471,1.19378613877623,1.23487952501319,0.868209355056909,0.859707825270658,0.876752135365765,0.833582839396479,0.561153865084009,1.10654647207951,NA,NA,NA,0.922,0.815,1.042,0.6978265,0.680722975,0.707927875
2021-01-28,0.89,0.88,0.89,0.8563260347312901,0.806184063399355,0.9064680060632252,1.10601173615217,1.08580972000695,1.1262137522974,0.865974171122154,0.857364331253334,0.874626431652315,0.840590368757581,0.56723510003477,1.11244305842292,NA,NA,NA,0.927,0.818,1.048,0.7739320000000001,0.7492110249999999,0.7870096
2021-01-29,0.89,0.89,0.89,0.8551078631562669,0.8045533400682883,0.9056623862442454,0.997428178392711,0.977884807456653,1.01697154932877,0.864219107523457,0.855494113710702,0.872987756111653,0.847340066193563,0.573182904136108,1.11979265943204,NA,NA,NA,0.934,0.825,1.059,0.8442810000000001,0.8143763500000001,0.859387625
2021-01-30,0.9,0.9,0.9,0.8588733657882917,0.8056573263162041,0.9120894052603792,0.85085908484477,0.832652656722716,0.869065512966824,0.862424525014263,0.853580451864442,0.871313549570837,0.848771649034263,0.573917334159791,1.12221221521278,NA,NA,NA,0.942,0.834,1.062,0.8723565,0.8420846750000001,0.8880750500000001
2021-01-31,0.89,0.89,0.9,0.8647640735199389,0.8079236617816529,0.9216044852582248,0.311018291708079,0.300053900565187,0.321982682850972,0.860308480942081,0.851343312569009,0.869319957556889,0.832362179198562,0.559467724803342,1.10501962918155,NA,NA,NA,0.953,0.844,1.077,0.8016175,0.7777883000000001,0.81603655
2021-02-01,0.89,0.89,0.9,0.8698077412748381,0.8101204014160069,0.9294950811336692,0.415740169566902,0.403145972985567,0.428334366148236,0.858415901979475,0.84932492749797,0.867554602495618,0.826767034363037,0.553391228766635,1.0966361983803,NA,NA,NA,0.962,0.846,1.085,0.7041835000000001,0.6854402,0.71555645
2021-02-02,0.9,0.89,0.9,0.8737760733089838,0.8133492407855353,0.9342029058324324,0.93156021147311,0.912418266846712,0.950702156099509,0.857861527756439,0.848633739060026,0.867138525648496,0.821675501727747,0.54871585423422,1.0927583763356301,NA,NA,NA,0.968,0.86,1.09,0.6897645,0.6708667500000001,0.701302925
2021-02-03,0.89,0.89,0.9,0.8789733449825551,0.8200031798232301,0.93794351014188,1.12694655902139,1.10515003020822,1.14874308783456,0.859736025595639,0.850354044874914,0.869168766807911,0.821887220543327,0.552435034554084,1.09487371774648,NA,NA,NA,0.976,0.867,1.092,0.7496885,0.727186925,0.7640308250000001
2021-02-04,0.89,0.89,0.9,0.8888304812291888,0.8325434420452203,0.9451175204131572,1.10869608120465,1.0862390112519,1.1311531511574,0.864828099796689,0.855270406642839,0.874438166050306,0.829649818302109,0.559673057453858,1.10216271853647,NA,NA,NA,0.983,0.864,1.109,0.827386,0.8005981500000001,0.84364065
2021-02-05,0.89,0.89,0.9,0.905630906684013,0.8517927767575576,0.9594690366104685,1.0687592382787,1.04608135323975,1.09143712331764,0.87347751427695,0.863722079257678,0.883286974789368,0.835461848323223,0.564382638688637,1.10595532984599,NA,NA,NA,0.992,0.872,1.108,0.8872755,0.8584946,0.904024125
2021-02-06,0.89,0.89,0.9,0.928364094435544,0.8754343651177705,0.9812938237533172,0.725616439538436,0.706620210551323,0.744612668525549,0.885694913233768,0.87572233982399,0.895723167668355,0.836669136173745,0.567333985148783,1.10884909203188,NA,NA,NA,0.993,0.878,1.125,0.906654,0.879613175,0.92269835
2021-02-07,0.88,0.88,0.89,0.9529663547510412,0.8986404552127032,1.0072922542893794,0.485802243224043,0.470276373412651,0.501328113035434,0.901265413223567,0.891061295066118,0.911526822674732,0.836803132861914,0.568890068275389,1.10816069095171,NA,NA,NA,1.002,0.892,1.137,0.8232535000000001,0.8007716,0.8348822250000001
2021-02-08,0.88,0.88,0.89,0.9740614248620888,0.917377475872552,1.0307453738516252,0.562768961041918,0.54612915724738,0.579408764836457,0.919529808532287,0.909087971320138,0.930030446874757,0.829520193315821,0.558539840172466,1.09697560058402,NA,NA,NA,1.011,0.895,1.14,0.7049829999999999,0.6876121,0.712217375
2021-02-09,0.88,0.88,0.89,0.9892316274261024,0.93135550322619,1.0471077516260143,1.20997672562551,1.18531626428112,1.2346371869699,0.93936692826155,0.928692369861205,0.950101640582218,0.825734204251043,0.554364548061812,1.09407297557087,NA,NA,NA,1.021,0.904,1.157,0.659246,0.64330585,0.6662208249999999
2021-02-10,0.89,0.89,0.89,1.000607117486702,0.9432315315560614,1.0579827034173424,1.38153623735572,1.35446133202535,1.40861114268609,0.959321080667627,0.948431567847916,0.970271891955436,0.827941040935723,0.557457243245853,1.09524425279699,NA,NA,NA,1.025,0.9,1.158,0.6914965,0.6725890250000001,0.6996544250000001
2021-02-11,0.91,0.91,0.92,1.0124001220053085,0.9560656272830986,1.0687346167275182,1.31794415555376,1.29106286194363,1.34482544916389,0.977984186181983,0.966908871354391,0.989121698273028,0.842942580166697,0.573896087638296,1.11059670289929,NA,NA,NA,1.034,0.916,1.167,0.757582,0.7354732749999999,0.7695045
2021-02-12,0.94,0.93,0.94,1.026745309586927,0.9706790764927752,1.082811542681079,1.25808512784871,1.23169291088679,1.28447734481064,0.994386515811591,0.983161632858927,1.00567423229963,0.858031002182513,0.588063605337929,1.12839918848953,NA,NA,NA,1.038,0.922,1.18,0.827422,0.802748825,0.842267125
2021-02-13,0.97,0.96,0.97,1.0415151081224374,0.984940374077638,1.098089842167237,1.09787738066142,1.07349114710881,1.12226361421402,1.00809481876384,0.996758589786285,1.01949426120818,0.870950056493576,0.602500591727544,1.14114690590611,NA,NA,NA,1.048,0.926,1.182,0.8405670000000001,0.8161971,0.8551305
2021-02-14,0.99,0.99,1,1.0522877917924347,0.9950851060017608,1.1094904775831087,0.411252841835424,0.396636160023778,0.42586952364707,1.01909250820503,1.00768109021441,1.03056728822874,0.884547829725095,0.614891550186239,1.15236797137614,NA,NA,NA,1.052,0.929,1.189,0.7858499999999999,0.764108375,0.797313275
2021-02-15,1.01,1.01,1.02,1.0550108652824732,0.9968461811068234,1.113175549458123,0.566937849196963,0.550195723954172,0.583679974439754,1.02750874150376,1.01605441027618,1.03902638773478,0.894540083795553,0.623851732135773,1.16570922645295,NA,NA,NA,1.06,0.93,1.191,0.7098435,0.690912475,0.7180922249999999
2021-02-16,1.03,1.03,1.04,1.0498823072398469,0.9896535805881014,1.1101110338915918,1.30533011219416,1.27998326307796,1.33067696131036,1.03340843563682,1.02193962249607,1.0449403600457,0.90166768585808,0.631695424776547,1.16931333484496,NA,NA,NA,1.065,0.935,1.196,0.7295105,0.70931855,0.7392636
2021-02-17,1.05,1.05,1.06,1.0408950753236843,0.979021576521108,1.1027685741262612,1.49613065851645,1.46854165279944,1.52371966423346,1.03687725850758,1.02541850077544,1.04839880466013,0.914634794006627,0.643060703860207,1.18449821505197,NA,NA,NA,1.073,0.943,1.207,0.8262084999999999,0.802176225,0.8404087250000001
2021-02-18,1.06,1.05,1.06,1.033233186494093,0.9712594938178488,1.095206879170337,1.35747142861486,1.3307611033168,1.38418175391292,1.03818329638212,1.02675439515454,1.0496745793564,0.933307128856268,0.663485719822493,1.20333565412045,NA,NA,NA,1.081,0.952,1.222,0.946395,0.91744735,0.962457775
2021-02-19,1.07,1.06,1.07,1.0299658593912082,0.9679447470977232,1.0919869716846933,1.28481179853726,1.25891709682585,1.31070650024867,1.03782990334377,1.02644482934317,1.04927690146187,0.950470500838909,0.683211064839828,1.22205870252628,NA,NA,NA,1.083,0.962,1.219,1.0529035,1.0215224,1.06880605
2021-02-20,1.06,1.06,1.07,1.0302173682360278,0.9673195618871108,1.093115174584945,1.00651138872129,0.983964107229769,1.02905867021281,1.03657308462428,1.02523893773094,1.04796867619824,0.964641552178818,0.692038486404283,1.23786905942597,NA,NA,NA,1.091,0.967,1.224,1.114784,1.086110875,1.12928785
2021-02-21,1.05,1.05,1.05,1.0313689194605375,0.9668470907937806,1.0958907481272946,0.43072944170246,0.416362829798241,0.44509605360668,1.03524063064327,1.02395783840438,1.04658438930837,0.977892373413467,0.706461044854426,1.2500473657091,NA,NA,NA,1.097,0.972,1.237,1.0448225,1.0236975,1.0560776
2021-02-22,1.04,1.04,1.05,1.0314417780167824,0.9654166916806738,1.0974668643528909,0.556703236901683,0.540758778984153,0.572647694819213,1.03459265391463,1.023356183301,1.04588962811374,0.983184971303765,0.709584239084503,1.25349145348539,NA,NA,NA,1.102,0.976,1.246,0.9394755,0.92324525,0.945489975
2021-02-23,1.02,1.02,1.03,1.031235815386098,0.9650134153244811,1.097458215447715,1.30248461964988,1.27810225647435,1.32686698282542,1.03552213205843,1.02432174744895,1.04678257696955,0.987733605652643,0.712462307053221,1.25998994533973,NA,NA,NA,1.107,0.976,1.256,0.944692,0.93018155,0.949836925
2021-02-24,1.01,1.01,1.02,1.034392400016436,0.9689378688620816,1.0998469311707904,1.4003172400119,1.37449848450559,1.4261359955182,1.03851675841818,1.02734021667154,1.04975293097346,1.00064587817016,0.726812942086021,1.27044645196466,NA,NA,NA,1.113,0.988,1.258,1.0378345,1.0225852,1.043268725
2021-02-25,1.01,1.01,1.02,1.0445297906514837,0.97856585994686,1.1104937213561077,1.29257864845894,1.26740517045705,1.31775212646083,1.04342229520891,1.03225977741423,1.0546440127293,1.01457866869768,0.743504502974132,1.28170877070355,NA,NA,NA,1.12,0.986,1.259,1.1374355,1.123828825,1.143075075
2021-02-26,1,1,1.01,1.0632967951117158,0.9955857466927724,1.1310078435306592,1.2343615300385,1.20974258983886,1.25898047023815,1.04977888871851,1.03862530495715,1.06099121744776,1.02544046250035,0.753331364755784,1.29524643479469,NA,NA,NA,1.125,0.989,1.268,1.214842,1.204554025,1.21912825
