date,3.6(3.1),3.6(3.1).lower,3.6(3.1).upper,4(0),4(0).lower,4(0).upper,4(4),4(4).lower,4(4).upper,4.7(2.9),4.7(2.9).lower,4.7(2.9).upper,4.8(2.3),4.8(2.3).lower,4.8(2.3).upper,5.6(4.2),5.6(4.2).lower,5.6(4.2).upper,7(7),7(7).lower,7(7).upper,10.3(7.6),10.3(7.6).lower,10.3(7.6).upper
2020-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,1.8112288368668075,1.6951268574220721,1.9325150392909434,2.856534766111616,2.673427400577411,3.0478183007054684,1.8460726177277902,1.7277371093953984,1.9696920812908323,2.6480499696197675,2.4783067340420564,2.825372634822093,3.085159995627608,2.887397473794252,3.2917530732797022,2.8798993876899077,2.6952943213908953,3.072747498865486,2.8031962876944565,2.6235079837380892,2.990908091671713,NA,NA,NA
2020-03-09,1.9474968614652624,1.8388304493136531,2.0603624297823595,2.3791399905828405,2.2463887590411704,2.517021079100248,2.007731542945257,1.8957041565846309,2.1240879623605804,2.577043360813576,2.4332495188209164,2.7263937753129293,2.8290938181370655,2.671236067020615,2.9930516082236616,2.852529717455931,2.6933642902425796,3.0178457156854948,2.909815763661837,2.7474538901636563,3.0784517272734266,NA,NA,NA
2020-03-10,2.214293546884244,2.110356075730152,2.321589001385396,2.464487271401535,2.3488058726812255,2.5839060730637677,2.2677430999108625,2.161296742171376,2.377628497417965,2.864782676154392,2.730311676505534,3.0035981280250468,3.049678706574378,2.9065288098319866,3.197453450968504,3.1642349169678816,3.0157078276531455,3.317560578799037,3.2472381352757917,3.0948149299195693,3.4045857877982613,NA,NA,NA
2020-03-11,2.237089885235676,2.146235302964807,2.3304730620048786,2.738958746839013,2.627721842839965,2.8532915103581136,2.2710871999214057,2.1788518900166185,2.365889531668658,2.982506565262465,2.8613784917347003,3.1070057816942054,3.2059107357497325,3.075709583522203,3.339735545793636,3.2469121579752733,3.1150458213877417,3.3824484965030104,3.2770002888556897,3.143911987705852,3.413792600718787,6.317900440219133,6.061312535945193,6.581629500688714
2020-03-12,2.2411500228414027,2.1625603544459953,2.3216210487287063,3.411615604050257,3.2919816053075137,3.534113520206263,2.2724291574463256,2.1927426339581118,2.35402329603241,3.0401795264104368,2.933570554048923,3.1493406101747685,3.3310842982416746,3.214274264228843,3.4506906467969336,3.2808538267908607,3.1658052081471166,3.398656593467507,3.2842766276312028,3.1691079827597255,3.4022022938425622,6.338140785410753,6.115883293724714,6.565718897550486
2020-03-13,2.351229431348978,2.2816413179554083,2.422218290224943,3.62084456811141,3.513680316496175,3.730165938723037,2.3829606975740747,2.3124334504138244,2.4549075941259795,3.2116805879486123,3.1166261496372187,3.308648385719736,3.552486163608415,3.4473450801028225,3.6597436415749653,3.4550262878874527,3.3527696735844685,3.5593412349076905,3.445935553830566,3.3439479932506884,3.549976031320762,6.650685048497474,6.453848185565628,6.8514840585989285
2020-03-14,2.174596751600345,2.117350682242137,2.2328654712151814,3.2257236525849966,3.140806759459687,3.3121575106918386,2.1980602017291186,2.140196459097709,2.2569576288023585,3.017974005396404,2.9385261035695267,3.098841173525803,3.363525382450536,3.274980870834691,3.4536516632348535,3.234952816929876,3.1497929668601046,3.32163397219151,3.1998535322991395,3.1156176678284986,3.285594195778412,6.245809204538892,6.0813888233081945,6.413166810053209
2020-03-15,1.89024301614971,1.843967420231731,1.937286425505851,2.783271530019324,2.715133440073863,2.852540180038038,1.9194235132273043,1.872433540967283,1.9671931519928434,2.585494052076786,2.5221978108104373,2.649840516547513,2.879512571042605,2.809018375830747,2.951176419271833,2.7804980153548535,2.712427824638639,2.8496976395474696,2.771160576955093,2.703318978818036,2.840127815717251,5.355499456927434,5.224389897632493,5.488784410822947
2020-03-16,1.9080862388040576,1.866537093473609,1.9502474480750696,2.617423994866194,2.560428808934628,2.6752587816563804,1.951552016175592,1.9090563906157996,1.9946736483554957,2.498146783582817,2.4437488944009673,2.553346012627284,2.730842651062461,2.671377740160583,2.7911835445483937,2.7112956672650785,2.6522563977488223,2.771204649206481,2.7581384307185774,2.6980791460966995,2.819082453693573,5.12432332722786,5.012739662761706,5.237550740002975
2020-03-17,1.9912416311757917,1.9532034522997037,2.029770490802975,2.4179113741955582,2.371722632498816,2.464695936384699,2.0334902827233727,1.9946450386776542,2.072836618411436,2.5627946600034868,2.5138382500060055,2.612382592559047,2.753405650957462,2.7008080480197876,2.8066817467167655,2.787045169688809,2.7338049596406897,2.840972161991673,2.8515572177756954,2.7970846505960387,2.9067324642362093,5.159108916159478,5.060555779904378,5.258933357412589
