date,"RKI, positive test","RKI, positive test.lower","RKI, positive test.upper",WHO,WHO.lower,WHO.upper,JHU,JHU.lower,JHU.upper,"RKI, symptom onset","RKI, symptom onset.lower","RKI, symptom onset.upper"
2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,2.082747594746861,1.9665824199422886,2.2033997730278627,1.9988552235522692,1.8613002571930863,2.143026164768571,1.9956290269987558,1.8755205783157292,2.1207591656496545,2.494755849300455,2.4339955778067157,2.5565189879612413
2020-03-10,2.3114521119516662,2.202985677782693,2.423421796265312,2.004700823532392,1.881961443076103,2.132664381610847,1.9531376683282355,1.847340422438285,2.062899241731301,2.404438837276737,2.3540448527682556,2.4555469457441044
2020-03-11,2.2945337660372984,2.201366498196475,2.3902934133309994,1.7884413857879913,1.6848581269151979,1.8961856353130477,2.0455974490128317,1.94838142350899,2.1459947501817345,2.3076516510910947,2.2655709822264596,2.3502501932136464
2020-03-12,2.285342521645201,2.2052161445176206,2.367386725489029,1.7572216211403668,1.6636247119548573,1.8542650147290822,1.5538114659949587,1.478838967770398,1.6312760920806364,2.1694886887695883,2.134379787157185,2.2049805057741105
2020-03-13,2.390510614117725,2.3197680614566294,2.4626769828175905,2.2187425243957275,2.1221961769786017,2.3181735937988055,2.5483532326195864,2.4583325036437467,2.6405452315350693,2.060182986498882,2.0303223574062907,2.0903349706745202
2020-03-14,2.2015204804849793,2.1435656463178585,2.260510626363426,2.026175349107356,1.945838244007026,2.1086938568522577,2.289397893767742,2.217251513397479,2.363092596034874,1.911721811603032,1.8863157853629002,1.9373549427321708
2020-03-15,1.9212456396661883,1.874211059392236,1.9690606265902608,1.9581198738737564,1.8882918769678765,2.029648495202434,2.1096060497349796,2.0502155357903833,2.170132590573298,1.7777011114175802,1.7557119017222882,1.799873160154845
2020-03-16,1.9522737798217606,1.9097571509795173,1.995416803724726,2.083549057893999,2.019139472930779,2.1493140583361487,2.0833941207030766,2.0315344337877175,2.1361289506094185,1.7134405502609376,1.6937600066764193,1.7332729579884696
2020-03-17,2.0339296646504126,1.9950704542421696,2.0732902196930074,2.0013782191818685,1.9457143881474819,2.0580937024666097,2.067792898993812,2.022244903450185,2.1140197486015992,1.5784603197499885,1.5611088157390973,1.5959399229926354
2020-03-18,2.0259930126322634,1.99163206816424,2.0607469150305233,1.8944318225957708,1.8463437551993231,1.943347702145187,2.1480359024266265,2.107055379318795,2.1895443718622296,1.4619643484271243,1.4463897722810222,1.4776503290023089
2020-03-19,1.949146638803844,1.9192909760513832,1.9793103228183433,1.7312081675401054,1.6898755355765116,1.7732093389437744,2.0878186007569717,2.052460973286301,2.123579985156094,1.3533688121036982,1.33918551197365,1.3676519039759778
2020-03-20,1.7990837200269387,1.773461767151188,1.8249512735974207,2.576259671798169,2.5299965071041246,2.623083403925386,1.9712075765026806,1.9409842990147044,2.0017429778384654,1.280384466402116,1.2671495019245211,1.2937112682632639
2020-03-21,1.643379173474357,1.6211302026560956,1.6658307877801353,2.3356432483768512,2.2986189836342064,2.3730629661754534,1.7053074687116017,1.6802578710364602,1.7306048008692898,1.200735537242341,1.1883254393200493,1.2132317379125943
2020-03-22,1.4929208885075287,1.4732902089998088,1.512725176305158,1.985812568134862,1.9566754504619182,2.0152375169055623,1.5559126007404387,1.5339389587428454,1.5780950956519388,1.1203004845925884,1.1085802339057091,1.1321030523901827
2020-03-23,1.4265426964388346,1.4084467641410328,1.4447929685423162,1.7704336014187407,1.745971765643136,1.7951228581730965,1.5576303659965212,1.5370377276774472,1.5784061164147425,1.0666390571215902,1.0553405886436917,1.0780178801991287
2020-03-24,1.3904305159768489,1.3734373341373929,1.4075632913454041,1.7151240233640834,1.6931490632923025,1.7372883043986007,1.486925645271661,1.4680871085432539,1.5059246547450347,1.0198125688559294,1.0088218032343796,1.0308828731864526
2020-03-25,1.3698037578180124,1.3537000885551973,1.3860346368387473,1.5227635759254743,1.5037362103978944,1.5419507757915767,1.391898842035195,1.3747150990302794,1.409225188251426,0.993844949873573,0.9829897944965398,1.0047797283098203
2020-03-26,1.336501984901,1.32128440508553,1.3518359619043094,1.5572305712122152,1.5391614264895814,1.5754405821011104,1.4505585357121569,1.4338176124689896,1.4674292634540937,0.9781321581740867,0.9673254808900448,0.9890190233909112
2020-03-27,1.3119732149779837,1.2974957035867412,1.3265580217800441,1.3579780224182123,1.3421763401330675,1.3739032447956805,1.412107687532357,1.3964525611463448,1.4278793817329527,0.9496302237477031,0.9389304724493335,0.9604109552795013
2020-03-28,1.2685688745127115,1.2548582466268714,1.2823790091645648,1.3434326494169249,1.3283863814991579,1.3585921073629244,1.458667816493017,1.4435430579628197,1.4738978546248105,0.9475275554638003,0.936752021033606,0.9583854093813785
2020-03-29,1.2174189650692282,1.204415604473753,1.2305155836581079,1.2697481990704567,1.2556850880021428,1.283915920657428,1.3685036180012786,1.3546482493059646,1.3824531415234838,0.9451939394935572,0.9343423233250527,0.9561292539397032
