date,1,1.lower,1.upper,3,3.lower,3.upper,4,4.lower,4.upper,7,7.lower,7.upper,10,10.lower,10.upper
2020-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,2.6971668370544837,2.328577130797603,3.102746688876588,3.4547778200840282,3.1369118368712705,3.7934257078772453,3.517890523936031,3.2079922429246923,3.8471328839532495,NA,NA,NA,NA,NA,NA
2020-03-06,1.8279842557456738,1.5781753931232503,2.102862907445296,2.5632008420367067,2.3510763608967773,2.7877169585437653,2.7169825911439456,2.5073253908663307,2.938014184263543,NA,NA,NA,NA,NA,NA
2020-03-07,1.1503265264151694,0.9717826110618529,1.3495097045368105,1.744943308525126,1.5985078659620948,1.9000604010144786,2.0324862065701073,1.8826337193228557,2.190087491989028,NA,NA,NA,NA,NA,NA
2020-03-08,0.8022802287973744,0.656307191968717,0.9684489393361756,1.219046011942977,1.1073909396344659,1.337965889131116,1.4607607657675354,1.3483974473481495,1.5791996951010223,1.8460726177277902,1.7277371093953984,1.9696920812908323,NA,NA,NA
2020-03-09,2.86965664174013,2.572685742402805,3.1886483182804657,1.5729303369219716,1.4480256914080285,1.7048195232895684,1.6277670263233788,1.514963583351229,1.7460358864767749,2.007731542945257,1.8957041565846309,2.1240879623605804,NA,NA,NA
2020-03-10,3.3976712181769044,3.12944408352254,3.6808046680887916,2.4558730860028293,2.3080644990703134,2.6098614954732513,2.1546985006767634,2.0330558762896866,2.2810992140144055,2.2677430999108625,2.161296742171376,2.377628497417965,NA,NA,NA
2020-03-11,2.544873887520729,2.3652675238790457,2.7333505913546983,2.86403356130328,2.7280840939148514,3.00442632820971,2.4921782586111725,2.377286512055771,2.610713478091731,2.2710871999214057,2.1788518900166185,2.365889531668658,2.398873257595441,2.306872299259617,2.4932883957444045
2020-03-12,2.3466545564407566,2.2021850396805562,2.4973085947277074,2.618210651924327,2.5124059399666554,2.7269450017656007,2.6475919234552956,2.5475351027544715,2.750234974073953,2.2724291574463256,2.1927426339581118,2.35402329603241,2.3716909123075065,2.2937155164821563,2.451413804654342
2020-03-13,2.5456979536894195,2.416234302231335,2.6797056228495477,2.48015654181045,2.39441266745494,2.5679233933414105,2.5896828612667786,2.5073825300917565,2.6737647068955965,2.3829606975740747,2.3124334504138244,2.4549075941259795,2.4013928066905144,2.3342890287899256,2.4697704533297484
2020-03-14,1.6169504425112282,1.5303021544426856,1.7068094403329277,2.0817113735440307,2.0153069130682204,2.149558753544775,2.146392827951832,2.0837971946507663,2.2102296402257804,2.1980602017291186,2.140196459097709,2.2569576288023585,2.1497696357389544,2.0956513699256267,2.20481168436498
2020-03-15,1.0286593493549216,0.9649771176772185,1.0950836145004594,1.6053221814284822,1.5540384754511483,1.6577219247213513,1.7185255224477947,1.6696278200376318,1.7683687344130097,1.9194235132273043,1.872433540967283,1.9671931519928434,1.8514708688308297,1.8076003458114283,1.8960455427962017
2020-03-16,2.1816594505640143,2.087731329099095,2.278363481008094,1.6059744133755909,1.558239410007185,1.654674482876042,1.7704911271200747,1.7249084596242574,1.816869860259488,1.951552016175592,1.9090563906157996,1.9946736483554957,1.9203481883431264,1.879953334357626,1.9613175880162261
2020-03-17,2.511457901461257,2.422550334978101,2.602514597128262,1.957138707155007,1.9078902082245726,2.0072275080040973,1.8865004824942908,1.8434193885780374,1.9302476161486828,2.0334902827233727,1.9946450386776542,2.072836618411436,2.065122759330925,2.0274613920423126,2.1032476538236606
2020-03-18,2.091129152054116,2.023099865227106,2.160666668564356,2.244311505082841,2.1970883305608586,2.2922065437788266,2.0050241122264403,1.9650060586231326,2.045581835253814,2.025858443114932,1.9915062475180367,2.060603421801821,2.093897204652104,2.060409766140952,2.1277455361435513
2020-03-19,1.7974240605133662,1.7421299290333103,1.8538760039069255,2.061866864968862,2.022712802893207,2.1015229728079325,2.0801720474680314,2.043961245637145,2.116808018976398,1.9491441337555038,1.9192949221382942,1.9793012332479933,2.0127419723328965,1.9838781838384183,2.0418843755342206
2020-03-20,1.4895794187914724,1.443829465978755,1.5362857579593976,1.747898420118004,1.7161656400083354,1.7800199810847195,1.8648281827487438,1.834645473394202,1.8953401255885136,1.7989541925976604,1.7733388401690935,1.824815036436045,1.8726470617298236,1.8479579154025627,1.8975551369200048
2020-03-21,1.0953611353282642,1.0583890755258203,1.1331843526283576,1.4255209580417596,1.399351243092019,1.4520149296641036,1.5432610863537082,1.5185384956310495,1.5682505634242698,1.642998510423108,1.620756825240405,1.6654427531421254,1.6969804577357335,1.6758055659644933,1.7183329751818404
2020-03-22,0.7268027366592067,0.6969520076838439,0.7574938919674185,1.0875359192638532,1.065810624084848,1.1095544579953118,1.2309575271430762,1.2102887123016477,1.2518603292460952,1.4926878726344648,1.473062031475602,1.512487263464454,1.507824324560026,1.4894682931786636,1.5263305518364285
2020-03-23,1.3241488381978568,1.2817105372724178,1.367513738606875,1.0396170825874291,1.0184822477868458,1.0610422988558168,1.1443777855809156,1.1249346418821302,1.1640436836355965,1.4263284130348906,1.4082363405270848,1.4445747826093103,1.451071629858541,1.4341217942968871,1.4681544953047174
