date,consensus,RKI,SDSC,ETH,Ilmenau,epiforecasts,globalrt,rtlive
2020-03-16,1.4263284130348906,1.2356890703952377,1.4563269581023364,1.4497127227944022,1.426305433459594,2.158140169473387,1.3622652599291083,1.288
2020-03-17,1.3902792415484524,1.1317340600836607,1.4052538816069258,1.3799363167271466,1.3902580636095134,2.0299496403129758,1.3155610949107532,1.239
2020-03-18,1.369643197038321,1.0370756092480733,1.3599177338387922,1.3145013323032384,1.369623692205195,1.8983635890849757,1.2869373941666502,1.194
2020-03-19,1.3363894697975105,0.9787797644755406,1.3195071969054786,1.2527666516133074,1.3363713199488692,1.7689626162217955,1.2546557953342483,1.147
2020-03-20,1.3118093939741817,0.919644857719023,1.2828371824418834,1.1966881358105637,1.3117924569875774,1.645895970348199,1.2252864765629412,1.109
2020-03-21,1.268615384774689,0.8950522218799877,1.249709991750021,1.1471966228996218,1.268599341018312,1.5338804229863658,1.1980954077142618,1.069
2020-03-22,1.2175192196609104,0.8962786560697787,1.2194270525653788,1.1037932020290222,1.2175038114882635,1.4318526689262723,1.1588232573328807,1.033
2020-03-23,1.1696809085323376,0.8834206036359358,1.190787210962517,1.0659365196773258,1.1696659438398445,1.342847222502793,1.1069649561987855,1
2020-03-24,1.160917231113325,0.8977310796406274,1.1627181920228715,1.033650477706406,1.1609027814775488,1.2664464848468668,1.0767537134693586,0.968
2020-03-25,1.1352972932188063,0.9047395588925388,1.1351945396992469,1.0068457300954132,1.1352832036893452,1.2013115743685523,1.0508950915616695,0.943
2020-03-26,1.1174310492999449,0.9013701261284334,1.108702570303598,0.9854301756030427,1.1174172878894673,1.144590557323223,1.0381159239569513,0.923
2020-03-27,1.0934627079712163,0.9208817555192967,1.0835664110149799,0.9685971562306238,1.0934491683191763,1.096319159635975,1.0241216765710877,0.901
2020-03-28,1.057396660470171,0.925365539233979,1.0589139603188145,0.9551112571736038,1.0573831916574914,1.054653649462034,0.9955542991942294,0.881
2020-03-29,1.0288337752891925,0.9337136929460581,1.0334618484238043,0.9445208548775168,1.0288202972674283,1.0158909504679858,0.9624891240971032,0.864
2020-03-30,1.011127854836455,0.9450935824128991,1.0070083605191722,0.9358674000957089,1.011114328217745,0.9798295288806156,0.9265827068452986,0.846
2020-03-31,0.9870019598776594,0.9303561742903634,0.980465334784791,0.9279602791641771,0.9869882896526583,0.9470326592602194,0.889513855597183,0.83
2020-04-01,0.9632142489932565,0.9226821131356088,0.95429481799299265,0.9201557957634967,0.9632003568101969,0.9155538232986515,0.84994867977101,0.818
2020-04-02,0.9272070620118488,0.8930859534125838,0.928236981997241,0.9121656396571446,0.9271927853289742,0.8852311053604159,0.8192366091406664,0.805
2020-04-03,0.8617199722213534,0.8867009883131036,0.9021522703042063,0.9034788342851459,0.8617049857347031,0.857419019751753,0.79668100574369,0.796
2020-04-04,0.8545348836679203,0.8717011932061098,0.8763404096320634,0.8936923503773891,0.8545192432330746,0.8313070813411951,0.8110430736561995,0.788
2020-04-05,0.8714497799331367,0.8504450095359186,0.8525433953386333,0.8829180126837122,0.8714335749989526,0.8068733535249601,0.7981874123099493,0.781
2020-04-06,0.833790230255627,0.829324929507381,0.8325821767381351,0.8715626237482014,0.8337731918270018,0.7852897105446407,0.7526486995266556,0.778
2020-04-07,0.7768882256047973,0.8056450245804374,0.8174356826883419,0.8600616385038832,0.7768700193520853,0.7665082865503612,0.7510034787139095,0.768
2020-04-08,0.7554961209952111,0.8142500445871232,0.8074143907113775,0.848897449810342,0.7554766069726799,0.7517285376474402,0.801109321148773,0.763
2020-04-09,0.7503093010663112,0.7852270603625491,0.80223046563612,0.838865096301383,0.7502883845812083,0.7400449717808324,0.8475849595799598,0.761
2020-04-10,0.7912915315743647,0.78525,0.8012182741018273,0.830418211387209,0.7912695233192086,0.7318282717146141,0.8761088908943975,0.754
2020-04-11,0.7986629769840109,0.7771173066806943,0.8041050270593717,0.8236169112476416,0.7986398263298088,0.7259613238670218,0.8747887129566574,0.752
2020-04-12,0.8158825524976,0.7569817106560071,0.8098927419296534,0.8183668527710465,0.8158584033134564,0.7223050588712367,0.8584784259032655,0.751
2020-04-13,0.8593819993644589,0.7818171000178497,0.8160257974847742,0.8148323912534593,0.8593571772653391,0.7204235224330104,0.8220152879330538,0.747
2020-04-14,0.872103549488433,0.7995542820757721,0.8196750640052441,0.8130889082934412,0.8720780397479602,0.719386103830685,0.7830091870347728,0.751
2020-04-15,0.8479660240404867,0.8065389562038855,0.8195610752941102,0.8125684098052111,0.847939523613734,0.7184372331167419,0.7668390341460318,0.753
2020-04-16,0.8089670435016323,0.8395543981481481,0.8158839375166146,0.8121700176375808,0.8089391292903144,0.7172000007997867,0.7647274112564718,0.754
2020-04-17,0.7834029998676075,0.8374429223744292,0.8093393630204023,0.8112772615153823,0.783373384548248,0.7158554702406896,0.7832899800104128,0.759
2020-04-18,0.779145813634359,0.8247989169387593,0.8001688369726495,0.8098019248370147,0.7791144031638741,0.7135658302023842,0.7891541627591101,0.763
2020-04-19,0.7806478495106319,0.8287033151489719,0.7886150245202609,0.807521211336348,0.780614588453003,0.7115492889359112,0.7814243031944563,0.767
2020-04-20,0.7857434189605286,0.8080303291401,0.7762589541353911,0.8040014578137052,0.7857083050343875,0.7095190235282198,0.7641423841372883,0.771
2020-04-21,0.7775156790801597,0.8135223555070883,0.7649412027223563,0.7991182019269536,0.7774784953142875,0.7062495313915687,0.7362777111986789,0.775
2020-04-22,0.7472362760169563,0.8251424157574587,0.7554739522490647,0.7934340084188651,0.7471964874812869,0.7031333744093127,0.7167699347777846,0.779
2020-04-23,0.7448450327056261,0.817095402066032,0.7480373378923885,0.788043762222276,0.7448025394112522,0.7030036985932099,0.7255612711229326,0.784
2020-04-24,0.7106845339973861,0.8168052889741949,0.7429496467205571,0.7837238628864036,0.710638537848124,0.7039973215974327,0.7266114369184169,0.79
2020-04-25,0.706080034657199,0.8079758713136729,0.7410061326703204,0.7811167419619658,0.7060303844969152,0.7066362488633985,0.7593865858556096,0.795
2020-04-26,0.735059235360867,0.8075122864498011,0.7431844323271465,0.7808965648147075,0.7350062233495838,0.7121764195189002,0.8048270112624056,0.798
2020-04-27,0.7424055562565449,0.8144521566683193,0.7500993038800016,0.7834305264434942,0.7423490526270154,0.7199931150712484,0.8424232250314155,0.808
2020-04-28,0.7506951045216111,0.8231070496083551,0.7615797342897365,0.7887648603708884,0.7506351314217634,0.7301831605479865,0.8786654707737169,0.814
2020-04-29,0.7726789440377834,0.8510991289921195,0.7770016804822983,0.7965447481077662,0.7726157460154922,0.7441676071772997,0.896747726796594,0.818
2020-04-30,0.7828992352624892,0.861614258803072,0.7952011132523756,0.8056980553264266,0.7828327492082577,0.7597511409047143,0.9088861508738733,0.825
2020-05-01,0.8314671949407221,0.88555775376655,0.8138953523928016,0.8154196211329251,0.831398523386866,0.776926590073223,0.9022986956515384,0.831
2020-05-02,0.8710030015089517,0.9035685963521015,0.8312089399446109,0.825398068852473,0.870932757872113,0.7947191154205739,0.8949302557782828,0.837
