date,RKI,ETH,Ilmenau,SDSC,globalrt,epiforecasts,rtlive,HZI
2020-03-02,NA,2.9735169863686624,3.08617433654706,2.46912676172087,2.99518686721835,NA,1.967,7.108503499999999
2020-03-03,NA,2.9309783250523345,4.65584584671469,2.55059270811576,3.01798562824951,NA,1.897,6.8384805
2020-03-04,NA,2.827741046174483,5.05354752342704,2.64619929581471,3.0688220489302,NA,1.822,6.926547
2020-03-05,NA,2.6760069860062483,5.20522388059702,2.72407099233247,3.12297079469458,NA,1.759,6.8693065
2020-03-06,2.34,2.487258760326319,5.54752851711027,2.75658208123216,3.04589837107563,NA,1.687,6.5328865
2020-03-07,2.56,2.287902195721688,3.54347826086957,2.72986565697927,3.0062840009798,NA,1.619,5.918533999999999
2020-03-08,2.93,2.0965165902743745,1.88336785462621,2.64736057583375,2.9801123886242,NA,1.55,5.1585015
2020-03-09,3.13,1.9171215511617945,2.92141638633356,2.52417036069165,2.9526118923034,NA,1.482,4.793347000000001
2020-03-10,3.22,1.7499716696758345,3.52318137730359,2.37951152955341,2.9568646113393,NA,1.421,4.7910699999999995
2020-03-11,3.12,1.5966008232715296,3.4818753020783,2.23055945932627,2.96324732177897,NA,1.357,4.8595975
2020-03-12,2.84,1.4626480305681688,3.17799043062201,2.08931454731298,2.96413409135292,NA,1.299,4.915363
2020-03-13,2.5,1.3486018270766382,2.49818286544976,1.96294021100148,3.04491292446533,NA,1.24,5.0094294999999995
2020-03-14,2.18,1.2520615028714397,1.64191437082781,1.85457052183264,2.9759578190534,NA,1.191,4.861743
2020-03-15,1.99,1.1682600185044,0.901469267489858,1.76382013050147,2.89459186695599,NA,1.143,4.466895
2020-03-16,1.74,1.0959286095291965,1.27626571570868,1.68753221447734,2.81368422321658,NA,1.097,4.2324114999999995
2020-03-17,1.56,1.0362257149204592,1.54224351213349,1.62087340978353,2.71842114837183,NA,1.054,4.1678370000000005
2020-03-18,1.39,0.9896597584339076,1.70930676107048,1.55888032983241,2.60581167414071,NA,1.01,4.13094
2020-03-19,1.24,0.9551699762816532,1.70265048969824,1.49779081686563,2.47050655154118,NA,0.976,4.0486275
2020-03-20,1.13,0.9307257482479868,1.61387505251155,1.43592392606324,2.34394452324264,NA,0.942,3.8689955
2020-03-21,1.04,0.9147325464706666,1.17648849722118,1.37318637127442,2.23735904446296,NA,0.909,3.562169
2020-03-22,0.98,0.904362578967374,0.697377499987409,1.31021901399542,2.14400163106283,NA,0.884,3.138025
2020-03-23,0.92,0.8971313225665842,0.866017846831451,1.24811977795982,2.06541153603224,NA,0.858,2.7809955
2020-03-24,0.9,0.891795738461181,1.23412134326872,1.18823400871904,1.97063633722977,NA,0.837,2.527475
2020-03-25,0.9,0.888107746436247,1.27467784920331,1.13207573282602,1.87670360816225,NA,0.817,2.358015
2020-03-26,0.88,0.8849921390589172,1.33859375922201,1.08092429182502,1.79664034087987,NA,0.801,2.2280065
2020-03-27,0.9,0.8811271514122351,1.25246253014137,1.035293758166,1.71223574052124,NA,0.782,2.1091865
2020-03-28,0.9,0.8751456010946961,0.854914626701065,0.994747835712502,1.64738398718307,NA,0.767,1.9453545
2020-03-29,0.9,0.866173724111073,0.4820935481295,0.95822933589888,1.56436569280626,NA,0.756,1.7113055
2020-03-30,0.92,0.8540782735842914,0.67264683846391,0.924718661217641,1.48736993377097,NA,0.745,1.495637
2020-03-31,0.93,0.8393479390497318,0.966947073111187,0.893612268528694,1.40964793421829,NA,0.734,1.3641645
2020-04-01,0.93,0.8237252546731505,1.02485034979522,0.864682294563129,1.33189412869121,NA,0.724,1.292367
2020-04-02,0.95,0.8090582165807666,0.998179783156776,0.837892391483051,1.26151721714647,NA,0.719,1.264699
2020-04-03,0.93,0.7968576532867809,0.709974049418933,0.813361703303833,1.19618522630279,NA,0.712,1.2448169999999998
2020-04-04,0.92,0.78737718515292,0.62718224359996,0.791507074371231,1.15245038821037,NA,0.71,1.177482
2020-04-05,0.89,0.7809892149418373,0.414825554065622,0.773129961447735,1.10649806820121,NA,0.704,1.0391735
2020-04-06,0.89,0.7776073216386141,0.368927160534971,0.759190570632484,1.05897060889329,NA,0.702,0.906697
2020-04-07,0.87,0.7763617504897615,0.608096440230575,0.750381075714304,1.01391313630219,NA,0.699,0.834767
2020-04-08,0.85,0.7762720425880721,0.897020725388601,0.74683182005504,0.963932389929947,NA,0.695,0.8116114999999999
2020-04-09,0.83,0.7776885206169988,1.0309534023272,0.748024461695421,0.913397534327638,NA,0.695,0.812422
2020-04-10,0.81,0.7817111163808768,1.02234586869937,0.752941242921781,0.872947129951327,NA,0.699,0.7852625
2020-04-11,0.81,0.7871602284326038,0.76019123096915,0.760216642449993,0.851785049596308,NA,0.7,0.732605
2020-04-12,0.79,0.7910285203512006,0.508399373898468,0.768193739107775,0.832137785679502,NA,0.702,0.6390395
2020-04-13,0.79,0.7906405722379278,0.633698243645693,0.775156120182945,0.808229809260745,NA,0.706,0.5227185000000001
2020-04-14,0.78,0.7854205821492495,0.82318223354935,0.779752780328558,0.782310735147486,NA,0.71,0.4387865
2020-04-15,0.76,0.776810747418615,0.98250259764743,0.781354868161488,0.764441641762031,NA,0.712,0.4269905
2020-04-16,0.78,0.7671010160330544,0.868791704404724,0.780082506802079,0.748481551105388,NA,0.716,0.480471
2020-04-17,0.8,0.7588115696608517,0.827984502498271,0.776542699808474,0.740911521339707,NA,0.72,0.5638510000000001
2020-04-18,0.81,0.7529015876175478,0.579730694633642,0.771377311462136,0.736899197473561,NA,0.729,0.617501
