,mean,std,2.5%,25%,median,75%,97.5%
2020-02-10,2.378,0.381,1.738,2.12,2.347,2.614,3.19
2020-02-11,2.376,0.367,1.766,2.121,2.337,2.587,3.215
2020-02-12,2.37,0.358,1.753,2.111,2.346,2.582,3.142
2020-02-13,2.369,0.347,1.776,2.121,2.352,2.588,3.126
2020-02-14,2.372,0.335,1.81,2.122,2.345,2.582,3.061
2020-02-15,2.371,0.32,1.799,2.15,2.348,2.569,3.069
2020-02-16,2.371,0.315,1.816,2.156,2.348,2.569,3.056
2020-02-17,2.373,0.307,1.812,2.159,2.343,2.576,3.046
2020-02-18,2.376,0.3,1.823,2.164,2.365,2.568,3.043
2020-02-19,2.37,0.29,1.867,2.176,2.346,2.559,3.003
2020-02-20,2.367,0.278,1.889,2.164,2.352,2.542,2.959
2020-02-21,2.362,0.265,1.897,2.171,2.351,2.529,2.94
2020-02-22,2.352,0.253,1.905,2.176,2.337,2.506,2.891
2020-02-23,2.337,0.242,1.904,2.167,2.321,2.486,2.862
2020-02-24,2.321,0.235,1.908,2.159,2.304,2.465,2.824
2020-02-25,2.292,0.22,1.892,2.13,2.284,2.43,2.743
2020-02-26,2.262,0.208,1.89,2.107,2.254,2.398,2.697
2020-02-27,2.219,0.196,1.865,2.069,2.211,2.347,2.62
2020-02-28,2.176,0.182,1.837,2.045,2.166,2.299,2.554
2020-02-29,2.119,0.166,1.805,2.012,2.113,2.224,2.469
2020-03-01,2.059,0.159,1.778,1.951,2.049,2.154,2.387
2020-03-02,1.995,0.151,1.722,1.89,1.986,2.088,2.316
2020-03-03,1.93,0.142,1.674,1.833,1.928,2.015,2.24
2020-03-04,1.857,0.13,1.614,1.769,1.851,1.938,2.144
2020-03-05,1.785,0.119,1.555,1.707,1.782,1.863,2.031
2020-03-06,1.713,0.111,1.508,1.633,1.713,1.789,1.947
2020-03-07,1.642,0.105,1.442,1.568,1.639,1.711,1.859
2020-03-08,1.573,0.101,1.385,1.505,1.572,1.642,1.768
2020-03-09,1.501,0.095,1.328,1.432,1.5,1.562,1.696
2020-03-10,1.436,0.089,1.27,1.378,1.433,1.491,1.614
2020-03-11,1.372,0.084,1.204,1.317,1.369,1.425,1.545
2020-03-12,1.313,0.082,1.163,1.255,1.311,1.368,1.492
2020-03-13,1.254,0.079,1.106,1.198,1.251,1.306,1.424
2020-03-14,1.198,0.072,1.068,1.147,1.195,1.246,1.346
2020-03-15,1.146,0.07,1.013,1.098,1.142,1.193,1.289
2020-03-16,1.097,0.065,0.968,1.054,1.093,1.14,1.227
2020-03-17,1.052,0.065,0.937,1.005,1.051,1.096,1.186
2020-03-18,1.011,0.063,0.89,0.967,1.007,1.053,1.14
2020-03-19,0.974,0.061,0.857,0.933,0.97,1.017,1.094
2020-03-20,0.94,0.059,0.827,0.901,0.937,0.978,1.057
2020-03-21,0.909,0.057,0.799,0.871,0.906,0.947,1.022
2020-03-22,0.881,0.054,0.785,0.842,0.879,0.916,0.991
2020-03-23,0.857,0.051,0.76,0.82,0.855,0.89,0.956
2020-03-24,0.832,0.05,0.74,0.799,0.828,0.865,0.939
2020-03-25,0.811,0.05,0.717,0.778,0.808,0.844,0.912
2020-03-26,0.793,0.049,0.7,0.761,0.791,0.828,0.888
2020-03-27,0.774,0.049,0.682,0.74,0.773,0.807,0.87
2020-03-28,0.757,0.047,0.669,0.726,0.756,0.79,0.846
2020-03-29,0.745,0.047,0.656,0.714,0.746,0.776,0.837
2020-03-30,0.734,0.046,0.648,0.699,0.735,0.766,0.824
2020-03-31,0.724,0.045,0.636,0.693,0.724,0.754,0.81
2020-04-01,0.714,0.046,0.615,0.684,0.713,0.744,0.807
2020-04-02,0.708,0.044,0.618,0.678,0.707,0.737,0.801
2020-04-03,0.701,0.044,0.618,0.672,0.698,0.731,0.792
2020-04-04,0.695,0.042,0.618,0.666,0.693,0.723,0.777
2020-04-05,0.689,0.043,0.61,0.66,0.685,0.719,0.78
2020-04-06,0.687,0.045,0.605,0.657,0.683,0.718,0.784
2020-04-07,0.686,0.048,0.599,0.653,0.682,0.716,0.783
2020-04-08,0.685,0.046,0.605,0.653,0.682,0.713,0.779
2020-04-09,0.685,0.045,0.607,0.653,0.683,0.713,0.782
2020-04-10,0.686,0.044,0.604,0.657,0.684,0.714,0.78
2020-04-11,0.686,0.043,0.607,0.658,0.685,0.712,0.778
2020-04-12,0.688,0.044,0.61,0.657,0.687,0.717,0.781
2020-04-13,0.691,0.045,0.604,0.663,0.69,0.72,0.781
2020-04-14,0.696,0.046,0.612,0.664,0.694,0.727,0.788
2020-04-15,0.702,0.047,0.615,0.669,0.701,0.731,0.798
2020-04-16,0.706,0.045,0.624,0.675,0.704,0.733,0.798
2020-04-17,0.712,0.046,0.629,0.682,0.712,0.741,0.805
2020-04-18,0.717,0.047,0.633,0.686,0.714,0.747,0.814
2020-04-19,0.723,0.048,0.636,0.69,0.72,0.756,0.826
2020-04-20,0.73,0.049,0.641,0.697,0.726,0.764,0.827
2020-04-21,0.737,0.049,0.643,0.702,0.737,0.772,0.837
2020-04-22,0.746,0.05,0.647,0.711,0.747,0.779,0.842
2020-04-23,0.754,0.05,0.653,0.722,0.752,0.786,0.857
2020-04-24,0.761,0.05,0.658,0.728,0.761,0.794,0.856
2020-04-25,0.768,0.05,0.67,0.738,0.768,0.8,0.875
2020-04-26,0.775,0.05,0.677,0.741,0.774,0.807,0.882
2020-04-27,0.783,0.05,0.686,0.752,0.782,0.814,0.89
2020-04-28,0.792,0.05,0.694,0.757,0.792,0.822,0.896
2020-04-29,0.8,0.053,0.7,0.764,0.796,0.835,0.906
2020-04-30,0.81,0.052,0.712,0.776,0.808,0.843,0.911
2020-05-01,0.819,0.053,0.722,0.782,0.816,0.853,0.926
2020-05-02,0.828,0.054,0.731,0.791,0.826,0.862,0.937
2020-05-03,0.835,0.054,0.734,0.797,0.832,0.873,0.943
2020-05-04,0.844,0.055,0.746,0.803,0.841,0.879,0.957
2020-05-05,0.853,0.056,0.747,0.813,0.849,0.889,0.97
2020-05-06,0.862,0.056,0.755,0.824,0.859,0.897,0.98
2020-05-07,0.871,0.058,0.768,0.83,0.869,0.909,0.989
2020-05-08,0.88,0.061,0.77,0.836,0.878,0.917,1.005
2020-05-09,0.89,0.061,0.775,0.846,0.89,0.931,1.016
2020-05-10,0.899,0.062,0.777,0.858,0.897,0.94,1.023
2020-05-11,0.91,0.06,0.799,0.868,0.908,0.953,1.028
2020-05-12,0.92,0.061,0.805,0.877,0.919,0.964,1.037
2020-05-13,0.93,0.062,0.813,0.884,0.93,0.974,1.05
2020-05-14,0.94,0.062,0.814,0.894,0.942,0.984,1.057
2020-05-15,0.948,0.061,0.834,0.905,0.945,0.99,1.064
2020-05-16,0.956,0.063,0.833,0.911,0.953,0.999,1.083
2020-05-17,0.965,0.063,0.849,0.92,0.961,1.004,1.096
2020-05-18,0.976,0.062,0.858,0.934,0.973,1.014,1.108
2020-05-19,0.984,0.064,0.866,0.94,0.978,1.026,1.122
2020-05-20,0.993,0.065,0.87,0.949,0.989,1.033,1.133
2020-05-21,0.999,0.065,0.879,0.954,0.996,1.042,1.132
2020-05-22,1.007,0.064,0.89,0.964,1.007,1.05,1.134
2020-05-23,1.013,0.064,0.894,0.968,1.01,1.054,1.148
2020-05-24,1.015,0.063,0.899,0.971,1.011,1.057,1.139
2020-05-25,1.019,0.064,0.902,0.976,1.016,1.063,1.151
2020-05-26,1.024,0.064,0.904,0.98,1.022,1.066,1.153
2020-05-27,1.027,0.063,0.912,0.981,1.026,1.068,1.153
2020-05-28,1.027,0.064,0.912,0.983,1.022,1.07,1.156
2020-05-29,1.025,0.064,0.911,0.979,1.02,1.064,1.158
2020-05-30,1.022,0.063,0.908,0.976,1.02,1.063,1.148
2020-05-31,1.02,0.064,0.901,0.974,1.02,1.062,1.149
2020-06-01,1.013,0.065,0.893,0.969,1.008,1.056,1.159
2020-06-02,1.007,0.064,0.889,0.962,1.001,1.049,1.144
2020-06-03,0.998,0.064,0.886,0.952,0.994,1.039,1.132
2020-06-04,0.989,0.062,0.876,0.945,0.986,1.026,1.124
2020-06-05,0.982,0.061,0.878,0.937,0.978,1.022,1.107
2020-06-06,0.975,0.061,0.869,0.931,0.973,1.018,1.096
2020-06-07,0.965,0.063,0.852,0.92,0.962,1.01,1.09
2020-06-08,0.957,0.063,0.849,0.909,0.959,0.999,1.082
2020-06-09,0.95,0.061,0.836,0.908,0.951,0.992,1.067
2020-06-10,0.944,0.062,0.832,0.901,0.942,0.982,1.074
2020-06-11,0.938,0.063,0.829,0.895,0.935,0.977,1.073
2020-06-12,0.937,0.062,0.827,0.892,0.933,0.976,1.065
2020-06-13,0.933,0.061,0.828,0.889,0.927,0.974,1.061
2020-06-14,0.933,0.06,0.829,0.89,0.928,0.971,1.059
2020-06-15,0.933,0.061,0.824,0.891,0.93,0.97,1.062
2020-06-16,0.935,0.06,0.829,0.891,0.933,0.975,1.055
2020-06-17,0.941,0.061,0.827,0.9,0.939,0.98,1.061
2020-06-18,0.947,0.063,0.831,0.904,0.945,0.986,1.073
2020-06-19,0.953,0.062,0.844,0.91,0.951,0.991,1.087
2020-06-20,0.959,0.061,0.849,0.914,0.955,1.0,1.084
2020-06-21,0.969,0.061,0.858,0.926,0.964,1.009,1.085
2020-06-22,0.975,0.061,0.86,0.933,0.973,1.014,1.107
2020-06-23,0.985,0.06,0.872,0.947,0.98,1.022,1.111
2020-06-24,0.996,0.061,0.887,0.954,0.992,1.036,1.123
2020-06-25,1.006,0.062,0.891,0.961,1.005,1.047,1.134
2020-06-26,1.02,0.065,0.897,0.972,1.019,1.064,1.163
2020-06-27,1.032,0.068,0.905,0.987,1.03,1.077,1.171
2020-06-28,1.044,0.07,0.907,0.997,1.044,1.091,1.183
2020-06-29,1.056,0.068,0.928,1.008,1.053,1.101,1.195
2020-06-30,1.067,0.069,0.939,1.024,1.066,1.112,1.206
2020-07-01,1.079,0.068,0.948,1.029,1.077,1.125,1.212
