date,I
2021-01-26,15174
2021-01-27,15526
2021-01-28,12972
2021-01-29,12197
2021-01-30,9685
2021-01-31,4109
2021-02-01,5764
2021-02-02,11954
2021-02-03,13037
2021-02-04,11204
2021-02-05,9705
2021-02-06,8204
2021-02-07,3011
2021-02-08,4108
2021-02-09,8876
2021-02-10,10032
2021-02-11,9138
2021-02-12,8346
2021-02-13,5507
2021-02-14,3663
2021-02-15,4292
2021-02-16,9069
2021-02-17,9780
2021-02-18,9041
2021-02-19,8528
2021-02-20,7606
2021-02-21,2976
2021-02-22,4303
2021-02-23,9954
2021-02-24,11048
2021-02-25,9683
2021-02-26,9222
2021-02-27,7471
2021-02-28,3372
2021-03-01,4617
2021-03-02,10725
2021-03-03,11105
2021-03-04,9963
2021-03-05,9490
2021-03-06,8135
2021-03-07,3319
2021-03-08,4755
2021-03-09,11309
2021-03-10,13768
2021-03-11,12963
2021-03-12,12353
2021-03-13,10308
2021-03-14,4747
2021-03-15,6698
2021-03-16,15566
2021-03-17,18118
2021-03-18,16457
2021-03-19,15510
2021-03-20,13023
2021-03-21,5861
2021-03-22,8767
2021-03-23,19165
2021-03-24,22311
2021-03-25,21590
2021-03-26,19716
2021-03-27,15512
2021-03-28,7474
2021-03-29,10855
2021-03-30,20065
2021-03-31,23638
2021-04-01,21135
2021-04-02,15217
2021-04-03,10490
2021-04-04,7008
2021-04-05,6934
2021-04-06,11360
2021-04-07,23268
2021-04-08,25258
2021-04-09,22913
2021-04-10,17744
2021-04-11,8693
2021-04-12,11922
2021-04-13,26368
2021-04-14,28038
2021-04-15,24621
2021-04-16,22657
2021-04-17,17344
2021-04-18,8667
2021-04-19,12140
2021-04-20,27491
2021-04-21,28810
2021-04-22,25009
2021-04-23,22520
2021-04-24,17700
2021-04-25,8608
2021-04-26,12008
2021-04-27,24816
2021-04-28,24563
2021-04-29,20994
2021-04-30,18845
2021-05-01,14759
2021-05-02,6570
2021-05-03,9037
2021-05-04,20657
2021-05-05,20445
2021-05-06,16874
2021-05-07,15248
2021-05-08,11775
2021-05-09,5244
2021-05-10,7340
2021-05-11,16475
2021-05-12,16170
2021-05-13,9450
2021-05-14,7542
2021-05-15,8392
2021-05-16,4206
2021-05-17,5203
2021-05-18,12081
2021-05-19,11061
2021-05-20,8235
2021-05-21,7405
2021-05-22,5661
2021-05-23,1975
2021-05-24,1769
2021-05-25,3603
2021-05-26,7044
2021-05-27,6690
2021-05-28,5062
2021-05-29,3593
2021-05-30,1579
2021-05-31,2413
2021-06-01,4975
2021-06-02,4404
2021-06-03,2857
2021-06-04,2227
2021-06-05,2254
2021-06-06,1100
2021-06-07,1696
2021-06-08,3457
2021-06-09,2798
2021-06-10,2218
2021-06-11,1792
2021-06-12,1261
2021-06-13,498
2021-06-14,924
2021-06-15,1657
2021-06-16,1408
2021-06-17,1128
2021-06-18,991
2021-06-19,716
2021-06-20,268
2021-06-21,587
2021-06-22,1020
2021-06-23,873
2021-06-24,793
2021-06-25,723
2021-06-26,476
2021-06-27,218
2021-06-28,499
2021-06-29,868
2021-06-30,829
2021-07-01,684
2021-07-02,645
2021-07-03,499
2021-07-04,201
2021-07-05,542
2021-07-06,1018
2021-07-07,930
2021-07-08,934
