date,I
2021-01-26,11277
2021-01-27,10264
2021-01-28,9752
2021-01-29,9359
2021-01-30,8288
2021-01-31,8039
2021-02-01,10337
2021-02-02,9443
2021-02-03,8675
2021-02-04,7753
2021-02-05,7524
2021-02-06,6735
2021-02-07,6435
2021-02-08,8136
2021-02-09,7684
2021-02-10,7430
2021-02-11,6692
2021-02-12,6908
2021-02-13,6423
2021-02-14,6625
2021-02-15,8545
2021-02-16,8145
2021-02-17,8073
2021-02-18,7719
2021-02-19,7651
2021-02-20,7383
2021-02-21,7126
2021-02-22,8955
2021-02-23,8500
2021-02-24,8089
2021-02-25,7658
2021-02-26,7940
2021-02-27,7181
2021-02-28,7344
2021-03-01,9528
2021-03-02,8913
2021-03-03,8996
2021-03-04,8646
2021-03-05,9016
2021-03-06,8900
2021-03-07,9030
2021-03-08,11789
2021-03-09,11498
2021-03-10,11736
2021-03-11,11499
2021-03-12,12056
2021-03-13,11832
2021-03-14,12079
2021-03-15,15431
2021-03-16,14880
2021-03-17,15017
2021-03-18,14230
2021-03-19,14821
2021-03-20,14970
2021-03-21,15274
2021-03-22,18829
2021-03-23,18506
2021-03-24,17875
2021-03-25,16682
2021-03-26,16349
2021-03-27,15140
2021-03-28,14640
2021-03-29,18210
2021-03-30,16995
2021-03-31,15822
2021-04-01,16545
2021-04-02,15053
2021-04-03,14366
2021-04-04,14514
2021-04-05,16572
2021-04-06,19124
2021-04-07,19329
2021-04-08,18966
2021-04-09,18723
2021-04-10,18620
2021-04-11,17771
2021-04-12,22232
2021-04-13,20601
2021-04-14,19865
2021-04-15,18806
2021-04-16,19710
2021-04-17,18979
2021-04-18,19464
2021-04-19,23618
2021-04-20,21898
2021-04-21,20457
2021-04-22,18705
2021-04-23,18207
2021-04-24,16853
2021-04-25,16317
2021-04-26,19718
2021-04-27,17670
2021-04-28,16583
2021-04-29,14604
2021-04-30,14707
2021-05-01,13564
2021-05-02,12926
2021-05-03,15632
2021-05-04,14150
2021-05-05,13176
2021-05-06,11753
2021-05-07,10919
2021-05-08,9894
2021-05-09,9706
2021-05-10,11641
2021-05-11,9828
2021-05-12,8720
2021-05-13,7329
2021-05-14,7451
2021-05-15,7176
2021-05-16,6868
2021-05-17,7958
2021-05-18,6928
2021-05-19,5991
2021-05-20,5321
2021-05-21,4760
2021-05-22,4264
2021-05-23,3793
2021-05-24,4141
2021-05-25,4445
2021-05-26,4051
2021-05-27,3688
2021-05-28,3449
2021-05-29,2961
2021-05-30,2668
2021-05-31,3177
2021-06-01,2844
2021-06-02,2716
2021-06-03,2247
2021-06-04,2136
2021-06-05,2018
2021-06-06,1959
2021-06-07,2206
2021-06-08,1826
2021-06-09,1542
2021-06-10,1408
2021-06-11,1194
2021-06-12,1056
2021-06-13,976
2021-06-14,1154
2021-06-15,975
2021-06-16,952
2021-06-17,807
2021-06-18,749
2021-06-19,604
2021-06-20,620
2021-06-21,771
2021-06-22,742
2021-06-23,650
2021-06-24,603
2021-06-25,583
2021-06-26,600
2021-06-27,543
2021-06-28,751
2021-06-29,672
2021-06-30,737
2021-07-01,678
2021-07-02,669
2021-07-03,668
2021-07-04,773
2021-07-05,1079
2021-07-06,1053
