Country/Region,flag,sigma2_irregular,sigma2_level,signal_to_noise
Austria,0,0.0022801141311600535,0.0001905687381525868,0.08357859615370708
Germany,0,0.006819289835212201,0.00014257447942446822,0.020907525984343447
Switzerland,0,0.02227035545919044,0.00016331685960255962,0.007333374624479227
