Country/Region,Date,Province/State,total_cases,new_cases,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Switzerland,2020-12-07,0.0,354306,9809.0,20766.41616576347,24702.920010503985,28872.655566312897,33253.46879224213,37811.56578540653,42505.896609531424,0.5161542357511839,0.3821590730245501,0.29817654328285603,0.24109381411278186,0.20025718199205356,0.16999810120898573
Switzerland,2020-12-08,0.0,358568,4262.0,20875.132932610777,24847.76667541999,29009.990485411057,33358.785193211865,37872.28069813913,42517.30694857828,0.00523522046266911,0.005863544263366993,0.0047565738725603435,0.003167080151178281,0.0016057233143209615,0.0002684413212519221
Switzerland,2020-12-09,0.0,363654,5086.0,21786.10634608862,25792.472229516658,29951.706130352337,34274.93704406038,38750.249509457004,43351.57625372046,0.043639167061529927,0.038019737002408016,0.032461770210330254,0.027463585545523417,0.023182359106274086,0.019621875537676026
Switzerland,2020-12-10,0.0,368695,5041.0,22469.885076870898,26534.72685793055,30713.890968873435,35031.569913552834,39485.66623062845,44057.418628348416,0.031385999862478364,0.028777955901585273,0.025447125956832073,0.02207539779051393,0.01897837382935985,0.016281815694472845
Switzerland,2020-12-11,0.0,373831,5136.0,23111.90806149672,27248.272381608793,31462.192259034375,35788.62367435873,40234.369982780845,44787.67676551358,0.02857259760917419,0.026891006924572247,0.024363610944614367,0.021610614730486644,0.018961406090487465,0.016575145796110746
Switzerland,2020-12-12,0.0,373831,0.0,18489.526449197376,22706.893651340662,26967.59336488661,31315.045715063887,35763.884429138525,40308.909088962224,-0.20000000000000007,-0.16666666666666663,-0.1428571428571428,-0.125,-0.11111111111111116,-0.09999999999999987
Switzerland,2020-12-13,0.0,373831,0.0,14791.621159357901,18922.41137611722,23115.080027045668,27400.6650006809,31790.119492567577,36278.018180066,-0.19999999999999996,-0.16666666666666663,-0.1428571428571428,-0.125,-0.11111111111111116,-0.10000000000000009
Switzerland,2020-12-14,0.0,384557,10726.0,22559.29692748632,26494.676146764352,30538.925737467718,34701.58187559579,38983.8839933934,43376.2163620594,0.5251402590996057,0.40017440801463655,0.32116893827474624,0.26645035347621904,0.22628931931217489,0.1956611341546135
Switzerland,2020-12-15,0.0,388828,4271.0,22318.437541989057,26349.896788970294,30447.222060686618,34634.884141146315,38923.341327460796,43309.59472585346,-0.01067672393654251,-0.005464469804879579,-0.00300284553456287,-0.0019220372918036244,-0.001553017804559076,-0.001535902432103664
Switzerland,2020-12-16,0.0,394453,5625.0,23479.750033591245,27583.247324141914,31722.61890915996,35930.523623503024,40223.525624409594,44603.63525326811,0.052033772051351734,0.04680665526127914,0.04188877546632175,0.03740851209655083,0.033403717476626404,0.029878841757948527
Switzerland,2020-12-17,0.0,399511,5058.0,23841.800026872996,28044.03943678493,32248.816207851396,36497.20817056515,40812.244999475195,45201.271727941305,0.01541966983310239,0.01670550632520018,0.016587448224191226,0.01577167516399469,0.01463619525953086,0.013398828846117539
Switzerland,2020-12-18,0.0,403989,4478.0,23551.440021498398,27848.032863987442,32119.84246387263,36413.05714924451,40755.551110644614,45159.14455514718,-0.012178610887069063,-0.006989241804459478,-0.0039993326622441705,-0.0023056837916854978,-0.0013891391868129377,-0.0009319908751170836
Switzerland,2020-12-19,0.0,403989,0.0,18841.152017198718,23206.69405332287,27531.293540462255,31861.425005588946,36227.15654279521,40643.23009963246,-0.20000000000000007,-0.16666666666666663,-0.1428571428571428,-0.125,-0.11111111111111116,-0.09999999999999987
